event_id	statement_id	record_unit_id	page	field_id	field_position	visible_surface	normalized_master_form	master_card_id	portable_value_de	normalization_rule	field_frame_mode	visible_owner	terminal_status	silent_owner_id	semantic_layer	noun_class	grounding
E001	H1-S001	H1	f10r	F001	1	dchey	dchey	MC071	Wurzel	MASTER_FORM	CH	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	NONCLOSE	ganze Bildpflanze	HERBAL_NOUN	PFLANZENTEIL	DIRECT_VISIBLE
E002	H1-S001	H1	f10r	F001	2	cthoor	cthoor	MC158	Vorbereitung	MASTER_FORM	CH	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	NONCLOSE	ganze Bildpflanze	OPERATION_CONTROL_OR_STATE	NONE	NOT_A_NOUN_CARD
E003	H1-S001	H1	f10r	F001	3	char	char	MC055	davon	MASTER_FORM	CH	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	NONCLOSE	ganze Bildpflanze	OPERATION_CONTROL_OR_STATE	NONE	NOT_A_NOUN_CARD
E004	H1-S001	H1	f10r	F001	4	chty	chety	MC086	Teil	R10_PAIRED_ALLOGRAPH	CH	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	NONCLOSE	ganze Bildpflanze	HERBAL_NOUN	MATERIALTEIL	OWNER_INHERITED
E005	H1-S001	H1	f10r	F001	5	os	os	MC159	Aufnahmegefäß	MASTER_FORM	CH	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	NONCLOSE	ganze Bildpflanze	HERBAL_NOUN	GEFÄSS_ORT	WORKSHOP_INFERRED
E006	H1-S001	H1	f10r	F001	6	chair	chair	MC014	Zuguss	MASTER_FORM	CH	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	NONCLOSE	ganze Bildpflanze	HERBAL_NOUN	ZUTAT_ZUGABE	WORKSHOP_INFERRED
E007	H1-S001	H1	f10r	F001	7	otytchol	otytchol	MC069	Folgeteil	MASTER_FORM	CH	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	NONCLOSE	ganze Bildpflanze	HERBAL_NOUN	MATERIALTEIL	OWNER_INHERITED
E008	H1-S001	H1	f10r	F001	8	oky	choky	MC026	einsetzen	R10_PAIRED_ALLOGRAPH	CH	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	NONCLOSE	ganze Bildpflanze	OPERATION_CONTROL_OR_STATE	NONE	NOT_A_NOUN_CARD
E009	H1-S001	H1	f10r	F001	9	daiin	aiin	MC039	Sollmaß	R2_AIIN_MEASURE	CH	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	NONCLOSE	ganze Bildpflanze	OPERATION_CONTROL_OR_STATE	NONE	NOT_A_NOUN_CARD
E010	H1-S001	H1	f10r	F001	10	etyd	etyd	MC108	kleiner Rest	MASTER_FORM	CH	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	NONCLOSE	ganze Bildpflanze	HERBAL_NOUN	MATERIALTEIL	OWNER_INHERITED
