component_recipe	portable_core_de	renderer_rule	base_surface	marked_surface	base_events	marked_events	semantic_effect	scribal_use_de
AIIN	SOLLWERT	D_ADDRESS_SHELL	aiin	daiin	27	51	NONE	bezeichneter Unter-/Adressrahmen; Kernwert bleibt unverändert.
AIN	EINHEIT	D_ADDRESS_SHELL	ain	dain	5	16	NONE	bezeichneter Unter-/Adressrahmen; Kernwert bleibt unverändert.
AL	ZIEL	D_ADDRESS_SHELL	al	dal	10	25	NONE	bezeichneter Unter-/Adressrahmen; Kernwert bleibt unverändert.
AL+Y	ZIEL · DIES	D_ADDRESS_SHELL	aly	daly	1	3	NONE	bezeichneter Unter-/Adressrahmen; Kernwert bleibt unverändert.
AR	QUELLE	CH_RENDERER_SHELL	ar	char	21	4	NONE	breiter ch-Renderer des gleichen Kartenkerns.
CKH+Y	DURCHLASS · DIES	CH_RENDERER_SHELL	ckhy	chckhy	2	10	NONE	breiter ch-Renderer des gleichen Kartenkerns.
Y	DIES	D_ADDRESS_SHELL	y	dy	23	37	NONE	bezeichneter Unter-/Adressrahmen; Kernwert bleibt unverändert.
Y	DIES	CH_RENDERER_SHELL	y	chy	23	15	NONE	breiter ch-Renderer des gleichen Kartenkerns.
Y	DIES	S_SERIES_SHELL	y	sy	23	4	NONE	s-Reihen- oder Fortsetzungsrenderer.
Y	DIES	SH_HOLD_SHELL	y	shy	23	8	NONE	sh-Halterenderer derselben Karte.
OK	SETZEN	CH_RENDERER_SHELL	ok	chok	1	1	NONE	breiter ch-Renderer des gleichen Kartenkerns.
OK+AIN	SETZEN · EINHEIT	Q_POST_CLOSE_ENTRY_SHELL	okain	qokain	6	30	NONE	Eintritt in eine neue Zelle, besonders nach einer Schließkarte; kein allgemeines Zeilenanfangszeichen.
OK+AIN	SETZEN · EINHEIT	CH_RENDERER_SHELL	okain	chokain	6	1	NONE	breiter ch-Renderer des gleichen Kartenkerns.
OK+AL	SETZEN · ZIEL	Q_POST_CLOSE_ENTRY_SHELL	okal	qokal	9	16	NONE	Eintritt in eine neue Zelle, besonders nach einer Schließkarte; kein allgemeines Zeilenanfangszeichen.
OK+AL	SETZEN · ZIEL	CH_RENDERER_SHELL	okal	chokal	9	1	NONE	breiter ch-Renderer des gleichen Kartenkerns.
OK+CHEO	SETZEN · AUSZUG	CH_RENDERER_SHELL	okcheo	chokcheo	1	1	NONE	breiter ch-Renderer des gleichen Kartenkerns.
OK+OL	SETZEN · FORTSETZEN	Q_POST_CLOSE_ENTRY_SHELL	okchol	qokchol	1	1	NONE	Eintritt in eine neue Zelle, besonders nach einer Schließkarte; kein allgemeines Zeilenanfangszeichen.
OK+OL	SETZEN · FORTSETZEN	Q_POST_CLOSE_ENTRY_SHELL	okol	qokol	4	6	NONE	Eintritt in eine neue Zelle, besonders nach einer Schließkarte; kein allgemeines Zeilenanfangszeichen.
OK+OL	SETZEN · FORTSETZEN	CH_RENDERER_SHELL	okchol	chokchol	1	1	NONE	breiter ch-Renderer des gleichen Kartenkerns.
OK+OL	SETZEN · FORTSETZEN	CH_RENDERER_SHELL	okol	chokol	4	1	NONE	breiter ch-Renderer des gleichen Kartenkerns.
OK+E+AR	SETZEN · KURZ · QUELLE	CH_RENDERER_SHELL	okear	chokear	1	1	NONE	breiter ch-Renderer des gleichen Kartenkerns.
OK+EE+Y	SETZEN · LÄNGER · DIES	Q_POST_CLOSE_ENTRY_SHELL	okeey	qokeey	8	20	NONE	Eintritt in eine neue Zelle, besonders nach einer Schließkarte; kein allgemeines Zeilenanfangszeichen.
