component_recipe	portable_core_de	primary_surface	primary_events	surface_variants	variant_count	total_events	simple_renderer_rules	residual_internal_or_ligature_variants	writing_instruction_de
AIIN	SOLLWERT	daiin	51	daiin|aiin	2	78	D_ADDRESS_SHELL	NONE	Primärform verwenden; markierte Form nur in der belegten Eintritts-, Adress- oder Reihenstellung.
AIN	EINHEIT	dain	16	dain|ain	2	21	D_ADDRESS_SHELL	NONE	Primärform verwenden; markierte Form nur in der belegten Eintritts-, Adress- oder Reihenstellung.
AL	ZIEL	dal	25	dal|al|cheal	3	37	D_ADDRESS_SHELL	cheal	Primärform verwenden; markierte Form nur in der belegten Eintritts-, Adress- oder Reihenstellung.
AL+Y	ZIEL · DIES	daly	3	daly|aly	2	4	D_ADDRESS_SHELL	NONE	Primärform verwenden; markierte Form nur in der belegten Eintritts-, Adress- oder Reihenstellung.
AR	QUELLE	ar	21	ar|char	2	25	CH_RENDERER_SHELL	NONE	Primärform verwenden; markierte Form nur in der belegten Eintritts-, Adress- oder Reihenstellung.
A_ADDR+Y	ORT · DIES	ay	2	ay|ajy	2	3	NONE	ajy|ay	Primärform verwenden; markierte Form nur in der belegten Eintritts-, Adress- oder Reihenstellung.
CHD+DY	UMSETZEN · SCHLIESSEN	schedy	2	schedy|dchdy	2	3	NONE	dchdy|schedy	Primärform verwenden; markierte Form nur in der belegten Eintritts-, Adress- oder Reihenstellung.
CHD+Y	UMSETZEN · DIES	chedy	43	chedy|chdy|chedchy	3	52	NONE	chdy|chedchy|chedy	Primärform verwenden; markierte Form nur in der belegten Eintritts-, Adress- oder Reihenstellung.
CHK+AL	BEHANDELN · ZIEL	chekal	1	chekal|chkal	2	2	NONE	chekal|chkal	Primärform verwenden; markierte Form nur in der belegten Eintritts-, Adress- oder Reihenstellung.
CHK+AR	BEHANDELN · QUELLE	chekar	1	chekar|chkar	2	2	NONE	chekar|chkar	Primärform verwenden; markierte Form nur in der belegten Eintritts-, Adress- oder Reihenstellung.
CHK+E+Y	BEHANDELN · KURZ · DIES	cheky	6	cheky|chekey	2	7	NONE	chekey|cheky	Primärform verwenden; markierte Form nur in der belegten Eintritts-, Adress- oder Reihenstellung.
CHK+EE+DY	BEHANDELN · LÄNGER · SCHLIESSEN	chekeedy	1	chekeedy|chkeedy	2	2	NONE	chekeedy|chkeedy	Primärform verwenden; markierte Form nur in der belegten Eintritts-, Adress- oder Reihenstellung.
CHK+EE+Y	BEHANDELN · LÄNGER · DIES	cheeky	4	cheeky|chkeey	2	5	NONE	cheeky|chkeey	Primärform verwenden; markierte Form nur in der belegten Eintritts-, Adress- oder Reihenstellung.
CKH+Y	DURCHLASS · DIES	chckhy	10	chckhy|ckhy|qckhsy	3	13	CH_RENDERER_SHELL	qckhsy	Primärform verwenden; markierte Form nur in der belegten Eintritts-, Adress- oder Reihenstellung.
CTH+E+Y	BEREIT · KURZ · DIES	cthey	1	cthey|qcthey	2	2	Q_POST_CLOSE_ENTRY_SHELL	NONE	Primärform verwenden; markierte Form nur in der belegten Eintritts-, Adress- oder Reihenstellung.
CTH+Y	BEREIT · DIES	cthy	7	cthy|checthy	2	10	NONE	checthy|cthy	Primärform verwenden; markierte Form nur in der belegten Eintritts-, Adress- oder Reihenstellung.
DA+IIN	ZWEIT · STUFE	daii	1	daii|daiiin	2	2	NONE	daii|daiiin	Primärform verwenden; markierte Form nur in der belegten Eintritts-, Adress- oder Reihenstellung.
D_ADDR+OL	TEIL · FORTSETZEN	dol	4	dol|dchol	2	6	NONE	dchol|dol	Primärform verwenden; markierte Form nur in der belegten Eintritts-, Adress- oder Reihenstellung.
E+Y	KURZ · DIES	ey	3	ey|qey	2	4	Q_POST_CLOSE_ENTRY_SHELL	NONE	Primärform verwenden; markierte Form nur in der belegten Eintritts-, Adress- oder Reihenstellung.
HO+Y	TEILSTOFF · DIES	choy	1	choy|shochy	2	2	NONE	choy|shochy	Primärform verwenden; markierte Form nur in der belegten Eintritts-, Adress- oder Reihenstellung.
K+AR	GEBEN · QUELLE	kar	4	kar|skar	2	5	S_SERIES_SHELL	NONE	Primärform verwenden; markierte Form nur in der belegten Eintritts-, Adress- oder Reihenstellung.
K+OL	GEBEN · FORTSETZEN	kchol	4	kchol|kol	2	5	NONE	kchol|kol	Primärform verwenden; markierte Form nur in der belegten Eintritts-, Adress- oder Reihenstellung.
K+Y	GEBEN · DIES	kchy	4	kchy|ky	2	5	NONE	kchy|ky	Primärform verwenden; markierte Form nur in der belegten Eintritts-, Adress- oder Reihenstellung.
L	LEITEN	l	6	l|dl	2	8	D_ADDRESS_SHELL	NONE	Primärform verwenden; markierte Form nur in der belegten Eintritts-, Adress- oder Reihenstellung.
L+Y	LEITEN · DIES	lchey	3	lchey|ly	2	5	NONE	lchey|ly	Primärform verwenden; markierte Form nur in der belegten Eintritts-, Adress- oder Reihenstellung.
O	AUSFÜHREN	o	8	o|qo	2	10	Q_POST_CLOSE_ENTRY_SHELL	NONE	Primärform verwenden; markierte Form nur in der belegten Eintritts-, Adress- oder Reihenstellung.
O+CKH+E+Y	AUSFÜHREN · DURCHLASS · KURZ · DIES	qockhey	3	qockhey|ockhey	2	4	Q_POST_CLOSE_ENTRY_SHELL	NONE	Primärform verwenden; markierte Form nur in der belegten Eintritts-, Adress- oder Reihenstellung.
O+IIN	AUSFÜHREN · STUFE	oiin	4	oiin|oiiin	2	5	NONE	oiiin|oiin	Primärform verwenden; markierte Form nur in der belegten Eintritts-, Adress- oder Reihenstellung.
O+P+Y	AUSFÜHREN · EINSETZEN · DIES	qopchy	3	qopchy|opchey|opchy	3	5	Q_POST_CLOSE_ENTRY_SHELL	opchey	Primärform verwenden; markierte Form nur in der belegten Eintritts-, Adress- oder Reihenstellung.
O+Y	AUSFÜHREN · DIES	ochy	1	ochy|qoy	2	2	NONE	ochy|qoy	Primärform verwenden; markierte Form nur in der belegten Eintritts-, Adress- oder Reihenstellung.
OK	SETZEN	chok	1	chok|ok	2	2	CH_RENDERER_SHELL	NONE	Primärform verwenden; markierte Form nur in der belegten Eintritts-, Adress- oder Reihenstellung.
OK+AIIN	SETZEN · SOLLWERT	qokaiin	18	qokaiin|okaiin	2	26	Q_POST_CLOSE_ENTRY_SHELL	NONE	Primärform verwenden; markierte Form nur in der belegten Eintritts-, Adress- oder Reihenstellung.
OK+AIN	SETZEN · EINHEIT	qokain	30	qokain|okain|chokain	3	37	CH_RENDERER_SHELL|Q_POST_CLOSE_ENTRY_SHELL	NONE	Primärform verwenden; markierte Form nur in der belegten Eintritts-, Adress- oder Reihenstellung.
OK+AIR	SETZEN · LAUF	okair	1	okair|qokair	2	2	Q_POST_CLOSE_ENTRY_SHELL	NONE	Primärform verwenden; markierte Form nur in der belegten Eintritts-, Adress- oder Reihenstellung.
OK+AL	SETZEN · ZIEL	qokal	16	qokal|okal|chokal	3	26	CH_RENDERER_SHELL|Q_POST_CLOSE_ENTRY_SHELL	NONE	Primärform verwenden; markierte Form nur in der belegten Eintritts-, Adress- oder Reihenstellung.
OK+AL+AL	SETZEN · ZIEL · ZIEL	okalal	1	okalal|okaldal	2	2	NONE	okalal|okaldal	Primärform verwenden; markierte Form nur in der belegten Eintritts-, Adress- oder Reihenstellung.
OK+AR	SETZEN · QUELLE	okar	13	okar|qokar	2	21	Q_POST_CLOSE_ENTRY_SHELL	NONE	Primärform verwenden; markierte Form nur in der belegten Eintritts-, Adress- oder Reihenstellung.
OK+CHD+DY	SETZEN · UMSETZEN · SCHLIESSEN	qokchdy	5	qokchdy|okchdy|okchedy	3	8	Q_POST_CLOSE_ENTRY_SHELL	okchedy	Primärform verwenden; markierte Form nur in der belegten Eintritts-, Adress- oder Reihenstellung.
OK+CHEO	SETZEN · AUSZUG	chokcheo	1	chokcheo|okcheo	2	2	CH_RENDERER_SHELL	NONE	Primärform verwenden; markierte Form nur in der belegten Eintritts-, Adress- oder Reihenstellung.
OK+E+AL	SETZEN · KURZ · ZIEL	okeal	1	okeal|qokeal	2	2	Q_POST_CLOSE_ENTRY_SHELL	NONE	Primärform verwenden; markierte Form nur in der belegten Eintritts-, Adress- oder Reihenstellung.
OK+E+AR	SETZEN · KURZ · QUELLE	chokear	1	chokear|okear	2	2	CH_RENDERER_SHELL	NONE	Primärform verwenden; markierte Form nur in der belegten Eintritts-, Adress- oder Reihenstellung.
OK+E+DY	SETZEN · KURZ · SCHLIESSEN	qokedy	38	qokedy|okedy	2	45	Q_POST_CLOSE_ENTRY_SHELL	NONE	Primärform verwenden; markierte Form nur in der belegten Eintritts-, Adress- oder Reihenstellung.
OK+E+O+D_ADDR+Y	SETZEN · KURZ · AUSFÜHREN · TEIL · DIES	okeody	2	okeody|qokeody	2	3	Q_POST_CLOSE_ENTRY_SHELL	NONE	Primärform verwenden; markierte Form nur in der belegten Eintritts-, Adress- oder Reihenstellung.
OK+E+OL	SETZEN · KURZ · FORTSETZEN	qokeol	3	qokeol|okeol	2	4	Q_POST_CLOSE_ENTRY_SHELL	NONE	Primärform verwenden; markierte Form nur in der belegten Eintritts-, Adress- oder Reihenstellung.
OK+E+Y	SETZEN · KURZ · DIES	qokey	9	qokey|okey	2	15	Q_POST_CLOSE_ENTRY_SHELL	NONE	Primärform verwenden; markierte Form nur in der belegten Eintritts-, Adress- oder Reihenstellung.
OK+EE+DY	SETZEN · LÄNGER · SCHLIESSEN	qokeedy	38	qokeedy|okeedy	2	45	Q_POST_CLOSE_ENTRY_SHELL	NONE	Primärform verwenden; markierte Form nur in der belegten Eintritts-, Adress- oder Reihenstellung.
OK+EE+O+D_ADDR+Y	SETZEN · LÄNGER · AUSFÜHREN · TEIL · DIES	okeeody	2	okeeody|qokeeody	2	3	Q_POST_CLOSE_ENTRY_SHELL	NONE	Primärform verwenden; markierte Form nur in der belegten Eintritts-, Adress- oder Reihenstellung.
OK+EE+OL	SETZEN · LÄNGER · FORTSETZEN	okeeol	2	okeeol|qokeeol	2	3	Q_POST_CLOSE_ENTRY_SHELL	NONE	Primärform verwenden; markierte Form nur in der belegten Eintritts-, Adress- oder Reihenstellung.
OK+EE+OR	SETZEN · LÄNGER · SATZ	iokeeor	1	iokeeor|okeeor	2	2	NONE	iokeeor|okeeor	Primärform verwenden; markierte Form nur in der belegten Eintritts-, Adress- oder Reihenstellung.
OK+EE+Y	SETZEN · LÄNGER · DIES	qokeey	20	qokeey|okeey|chokeey	3	30	CH_RENDERER_SHELL|Q_POST_CLOSE_ENTRY_SHELL	NONE	Primärform verwenden; markierte Form nur in der belegten Eintritts-, Adress- oder Reihenstellung.
OK+OL	SETZEN · FORTSETZEN	qokol	6	qokol|okol|chokchol|chokol|okchol|qokchol	6	14	CH_RENDERER_SHELL|Q_POST_CLOSE_ENTRY_SHELL	NONE	Primärform verwenden; markierte Form nur in der belegten Eintritts-, Adress- oder Reihenstellung.
OK+OR	SETZEN · SATZ	chokor	2	chokor|okor|qokor	3	4	CH_RENDERER_SHELL|Q_POST_CLOSE_ENTRY_SHELL	NONE	Primärform verwenden; markierte Form nur in der belegten Eintritts-, Adress- oder Reihenstellung.
OK+SH+E+DY	SETZEN · HALTEN · KURZ · SCHLIESSEN	qokshedy	3	qokshedy|okshedy	2	5	Q_POST_CLOSE_ENTRY_SHELL	NONE	Primärform verwenden; markierte Form nur in der belegten Eintritts-, Adress- oder Reihenstellung.
OK+Y	SETZEN · DIES	qoky	21	qoky|oky|qokchy|choky|okchy|okchey	6	41	CH_RENDERER_SHELL|Q_POST_CLOSE_ENTRY_SHELL	okchey	Primärform verwenden; markierte Form nur in der belegten Eintritts-, Adress- oder Reihenstellung.
OL	FORTSETZEN	ol	36	ol|chol|qol|sol|ls	5	87	CH_RENDERER_SHELL|Q_POST_CLOSE_ENTRY_SHELL|S_SERIES_SHELL	ls	Primärform verwenden; markierte Form nur in der belegten Eintritts-, Adress- oder Reihenstellung.
OL+AIIN	FORTSETZEN · SOLLWERT	olaiin	3	olaiin|cholaiin	2	4	CH_RENDERER_SHELL	NONE	Primärform verwenden; markierte Form nur in der belegten Eintritts-, Adress- oder Reihenstellung.
OL+CHD+DY	FORTSETZEN · UMSETZEN · SCHLIESSEN	olchedy	5	olchedy|qolchedy	2	7	Q_POST_CLOSE_ENTRY_SHELL	NONE	Primärform verwenden; markierte Form nur in der belegten Eintritts-, Adress- oder Reihenstellung.
OL+DY	FORTSETZEN · SCHLIESSEN	oldy	12	oldy|qoldy	2	14	Q_POST_CLOSE_ENTRY_SHELL	NONE	Primärform verwenden; markierte Form nur in der belegten Eintritts-, Adress- oder Reihenstellung.
OL+K+AL	FORTSETZEN · GEBEN · ZIEL	cholkal	1	cholkal|olkal	2	2	CH_RENDERER_SHELL	NONE	Primärform verwenden; markierte Form nur in der belegten Eintritts-, Adress- oder Reihenstellung.
OL+OR	FORTSETZEN · SATZ	olor	4	olor|cholor	2	5	CH_RENDERER_SHELL	NONE	Primärform verwenden; markierte Form nur in der belegten Eintritts-, Adress- oder Reihenstellung.
OL+S	FORTSETZEN · AUSWÄHLEN	ols	2	ols|sols	2	3	S_SERIES_SHELL	NONE	Primärform verwenden; markierte Form nur in der belegten Eintritts-, Adress- oder Reihenstellung.
OL+SH+E+DY	FORTSETZEN · HALTEN · KURZ · SCHLIESSEN	olshedy	3	olshedy|solshedy	2	4	S_SERIES_SHELL	NONE	Primärform verwenden; markierte Form nur in der belegten Eintritts-, Adress- oder Reihenstellung.
OL+Y	FORTSETZEN · DIES	oly	6	oly|olchey|choly|qoly|qolchey	5	14	CH_RENDERER_SHELL|Q_POST_CLOSE_ENTRY_SHELL	NONE	Primärform verwenden; markierte Form nur in der belegten Eintritts-, Adress- oder Reihenstellung.
OR	SATZ	or	19	or|qor	2	20	Q_POST_CLOSE_ENTRY_SHELL	NONE	Primärform verwenden; markierte Form nur in der belegten Eintritts-, Adress- oder Reihenstellung.
OR+Y	SATZ · DIES	orchey	1	orchey|ory	2	2	NONE	orchey|ory	Primärform verwenden; markierte Form nur in der belegten Eintritts-, Adress- oder Reihenstellung.
OT	DANACH	ot	1	ot|qot	2	2	Q_POST_CLOSE_ENTRY_SHELL	NONE	Primärform verwenden; markierte Form nur in der belegten Eintritts-, Adress- oder Reihenstellung.
OT+AIIN	DANACH · SOLLWERT	otaiin	5	otaiin|qotaiin	2	8	Q_POST_CLOSE_ENTRY_SHELL	NONE	Primärform verwenden; markierte Form nur in der belegten Eintritts-, Adress- oder Reihenstellung.
OT+AIN	DANACH · EINHEIT	otain	4	otain|qotain	2	5	Q_POST_CLOSE_ENTRY_SHELL	NONE	Primärform verwenden; markierte Form nur in der belegten Eintritts-, Adress- oder Reihenstellung.
OT+AIR	DANACH · LAUF	otair	1	otair|qotair	2	2	Q_POST_CLOSE_ENTRY_SHELL	NONE	Primärform verwenden; markierte Form nur in der belegten Eintritts-, Adress- oder Reihenstellung.
OT+AL	DANACH · ZIEL	otal	6	otal|qotal	2	11	Q_POST_CLOSE_ENTRY_SHELL	NONE	Primärform verwenden; markierte Form nur in der belegten Eintritts-, Adress- oder Reihenstellung.
OT+AL+AL	DANACH · ZIEL · ZIEL	otalal	1	otalal|otaldal	2	2	NONE	otalal|otaldal	Primärform verwenden; markierte Form nur in der belegten Eintritts-, Adress- oder Reihenstellung.
OT+AL+Y	DANACH · ZIEL · DIES	otaly	3	otaly|otalchy	2	4	NONE	otalchy|otaly	Primärform verwenden; markierte Form nur in der belegten Eintritts-, Adress- oder Reihenstellung.
OT+AR	DANACH · QUELLE	otar	15	otar|qotar	2	19	Q_POST_CLOSE_ENTRY_SHELL	NONE	Primärform verwenden; markierte Form nur in der belegten Eintritts-, Adress- oder Reihenstellung.
OT+CH+OL	DANACH · NEHMEN · FORTSETZEN	otchol	2	otchol|qotchol	2	4	Q_POST_CLOSE_ENTRY_SHELL	NONE	Primärform verwenden; markierte Form nur in der belegten Eintritts-, Adress- oder Reihenstellung.
OT+CH+OR	DANACH · NEHMEN · SATZ	otchor	2	otchor|qotchor	2	3	Q_POST_CLOSE_ENTRY_SHELL	NONE	Primärform verwenden; markierte Form nur in der belegten Eintritts-, Adress- oder Reihenstellung.
OT+CHD+DY	DANACH · UMSETZEN · SCHLIESSEN	otchdy	2	otchdy|qotchedy|otchedy	3	5	Q_POST_CLOSE_ENTRY_SHELL	otchdy	Primärform verwenden; markierte Form nur in der belegten Eintritts-, Adress- oder Reihenstellung.
OT+E+DY	DANACH · KURZ · SCHLIESSEN	otedy	8	otedy|qotedy	2	13	Q_POST_CLOSE_ENTRY_SHELL	NONE	Primärform verwenden; markierte Form nur in der belegten Eintritts-, Adress- oder Reihenstellung.
OT+E+OR	DANACH · KURZ · SATZ	qoteor	2	qoteor|oteor	2	3	Q_POST_CLOSE_ENTRY_SHELL	NONE	Primärform verwenden; markierte Form nur in der belegten Eintritts-, Adress- oder Reihenstellung.
OT+EE+AL	DANACH · LÄNGER · ZIEL	oteeal	1	oteeal|qoteeal	2	2	Q_POST_CLOSE_ENTRY_SHELL	NONE	Primärform verwenden; markierte Form nur in der belegten Eintritts-, Adress- oder Reihenstellung.
OT+EE+DY	DANACH · LÄNGER · SCHLIESSEN	qoteedy	8	qoteedy|oteedy	2	11	Q_POST_CLOSE_ENTRY_SHELL	NONE	Primärform verwenden; markierte Form nur in der belegten Eintritts-, Adress- oder Reihenstellung.
OT+EE+Y	DANACH · LÄNGER · DIES	oteey	7	oteey|qoteey	2	11	Q_POST_CLOSE_ENTRY_SHELL	NONE	Primärform verwenden; markierte Form nur in der belegten Eintritts-, Adress- oder Reihenstellung.
OT+OR	DANACH · SATZ	otor	7	otor|qotor	2	10	Q_POST_CLOSE_ENTRY_SHELL	NONE	Primärform verwenden; markierte Form nur in der belegten Eintritts-, Adress- oder Reihenstellung.
OT+Y	DANACH · DIES	qoty	10	qoty|oty|qotchy|otchey	4	24	Q_POST_CLOSE_ENTRY_SHELL	otchey|qotchy	Primärform verwenden; markierte Form nur in der belegten Eintritts-, Adress- oder Reihenstellung.
S+AIIN	AUSWÄHLEN · SOLLWERT	saiin	9	saiin|saii	2	10	NONE	saii|saiin	Primärform verwenden; markierte Form nur in der belegten Eintritts-, Adress- oder Reihenstellung.
SH+E+OL	HALTEN · KURZ · FORTSETZEN	sheol	4	sheol|dsheol	2	6	D_ADDRESS_SHELL	NONE	Primärform verwenden; markierte Form nur in der belegten Eintritts-, Adress- oder Reihenstellung.
SH+E+Y	HALTEN · KURZ · DIES	shey	25	shey|tshey	2	26	T_ENTRY_SHELL	NONE	Primärform verwenden; markierte Form nur in der belegten Eintritts-, Adress- oder Reihenstellung.
SH+EE+Y	HALTEN · LÄNGER · DIES	cheey	15	cheey|sheey	2	21	NONE	cheey|sheey	Primärform verwenden; markierte Form nur in der belegten Eintritts-, Adress- oder Reihenstellung.
SH+K+Y	HALTEN · GEBEN · DIES	shkchy	1	shkchy|shky	2	2	NONE	shkchy|shky	Primärform verwenden; markierte Form nur in der belegten Eintritts-, Adress- oder Reihenstellung.
SOLK+EE+D_ADDR+Y	AUFFANGEN · LÄNGER · TEIL · DIES	solkeedy	2	solkeedy|qolkeedy	2	3	NONE	qolkeedy|solkeedy	Primärform verwenden; markierte Form nur in der belegten Eintritts-, Adress- oder Reihenstellung.
SOLK+EE+Y	AUFFANGEN · LÄNGER · DIES	olkeey	3	olkeey|solkeey	2	5	S_SERIES_SHELL	NONE	Primärform verwenden; markierte Form nur in der belegten Eintritts-, Adress- oder Reihenstellung.
SOLK+Y	AUFFANGEN · DIES	olky	1	olky|qolky	2	2	Q_POST_CLOSE_ENTRY_SHELL	NONE	Primärform verwenden; markierte Form nur in der belegten Eintritts-, Adress- oder Reihenstellung.
T+E+Y	EINSTELLEN · KURZ · DIES	tey	1	tey|ytey	2	2	NONE	tey|ytey	Primärform verwenden; markierte Form nur in der belegten Eintritts-, Adress- oder Reihenstellung.
T+OL	EINSTELLEN · FORTSETZEN	tchol	3	tchol|tol	2	5	NONE	tchol|tol	Primärform verwenden; markierte Form nur in der belegten Eintritts-, Adress- oder Reihenstellung.
