page	panel_id	record_id	locus	zl3b_line
f77r	F77_TOP_ARCH	F77_P1	f77r.9	poldarais ol qokol chey qopchedy qopchedy dylches olkedy loly
f77r	F77_TOP_ARCH	F77_P1	f77r.10	tolchd ar shey qotaiin qotedy qokol chdy qokain chetey sal
f77r	F77_TOP_ARCH	F77_P1	f77r.11	qoteedy qokaiin shedy chol shedy shcthey qokeedy oteedy cham
f77r	F77_TOP_ARCH	F77_P1	f77r.12	solteedy qoteedy qodeedy chedaiin chedy shedaiin shealol ched
f77r	F77_TOP_ARCH	F77_P1	f77r.13	qokeedy qol sheedy shol tedy chedy lsheedy qokedy qolal chedy
f77r	F77_TOP_ARCH	F77_P1	f77r.14	sokcheey sain sheeol qoteedy qokaiin shedy qokeedy qotedy
f77r	F77_TOP_ARCH	F77_P1	f77r.15	qokeedy shedy qotol shedy qokaiin sheety qokeed y lchedy lol
f77r	F77_TOP_ARCH	F77_P1	f77r.16	sshedy qotaiin chedy qokaiin shedy qolcheedy qokeedy lol
f77r	F77_TOP_ARCH	F77_P1	f77r.17	qoteedy qoteedy qokedy sheed qeey saiin sheety qokeedy lol
f77r	F77_TOP_ARCH	F77_P1	f77r.18	daiin cheedy lshey qo l or chees sheckhedy qol cheedy qotaiin
f77r	F77_TOP_ARCH	F77_P1	f77r.19	qokeedy lchey lsheey qokeedy qokeedy qokar qokeey laiin chey
f77r	F77_TOP_ARCH	F77_P1	f77r.20	qotain sheal qokeedy qoteey qokain sheey qotedy dalchedy
f77r	F77_TOP_ARCH	F77_P1	f77r.21	chedaiin shedy qokeedy qokedy qokeey chedy shear olaiiny
f77r	F77_TOP_ARCH	F77_P1	f77r.22	qoteedy al lchedy r oin chy chedaiin cheey okedy qoky
f77r	F77_TOP_ARCH	F77_P1	f77r.23	sheoky qokaiin chedy lchedy olshedy qokeedy chedy qokal
f77r	F77_TOP_ARCH	F77_P1	f77r.24	daiin dol shor cphey lfcheal shear qolchy
f77r	F77_MIDDLE_BODY	F77_P2	f77r.25	otedy qokar shedy qokal shedar dal chedy daror
f77r	F77_MIDDLE_BODY	F77_P2	f77r.26	qoteedy qokeedy qokaiin chcthy lchedy qokaly
f77r	F77_MIDDLE_BODY	F77_P2	f77r.27	solchedy qokain okaiin shedy qokeedy qotedy
f77r	F77_MIDDLE_BODY	F77_P2	f77r.28	olchey qotey qokain olcheedy sar lom
f77r	F77_MIDDLE_BODY	F77_P2	f77r.29	saiin cheeol qokeedy qokeedy qotal
f77r	F77_MIDDLE_BODY	F77_P2	f77r.30	qokaiin chckhey sa iin qolkain cheeky lol
f77r	F77_MIDDLE_BODY	F77_P2	f77r.31	qokain chckhy qokeey qotedy qotedy qotary
f77r	F77_MIDDLE_BODY	F77_P2	f77r.32	qor ain cheol ol chealor cheey qeteiiin dary
f77r	F77_MIDDLE_BODY	F77_P2	f77r.33	daiin chedy qol keedy qoteeedy sar oiiiin cheety dy
f77r	F77_MIDDLE_BODY	F77_P2	f77r.34	qokaiin shedy chedy qolchedy qokaiin qokaiin checkhy raiin
f77r	F77_MIDDLE_BODY	F77_P2	f77r.35	solkeey okaiin chedy qokain sheedy qokaiin chedaiin chealy
f77r	F77_MIDDLE_BODY	F77_P2	f77r.36	dshedy pchedy qotain chedy dolchl qokeedy qokol olchey
f77r	F77_MIDDLE_BODY	F77_P2	f77r.37	teeolain chey qoteedy qokain cheedy cheey lchedy
f77r	F77_LOWER_VESSEL	F77_P3	f77r.38	pol shedy qoeedy qokaiin chcphey qol ltaiin shedy qol
f77r	F77_LOWER_VESSEL	F77_P3	f77r.39	olaiin cheey sheckhey lsheey qykaiin sheedy laiin
f77r	F77_LOWER_VESSEL	F77_P3	f77r.40	daiiin ol eeedy okaiin sheeol qotaiin shody qoty
f77r	F77_LOWER_VESSEL	F77_P3	f77r.41	daiin sh qolchey qotedy qotal r ain chl s arol
f77r	F77_LOWER_VESSEL	F77_P3	f77r.42	qokeedy qotedy qokeedy qokeedy qokeey s aiin al
f77r	F77_LOWER_VESSEL	F77_P3	f77r.43	d chee ol cheedy qotaiin qoteedy qotedy raiin
f77r	F77_LOWER_VESSEL	F77_P3	f77r.44	sheey qepchedy qol cheedy qokear cheey loly dy
f77r	F77_LOWER_VESSEL	F77_P3	f77r.45	qokaiin ches lchear dal chr sl s ain ol raiin lod
f77r	F77_LOWER_VESSEL	F77_P3	f77r.46	daiin chlchpsheey tal cheol dag as otey daiin
f77r	F77_LOWER_VESSEL	F77_P3	f77r.47	ysheey dal saiisol sal dalo tain dary dalo
f77r	F77_LOWER_VESSEL	F77_P3	f77r.48	sodar oloky
f82r	F82_TOP_COUPLED	F82_P1	f82r.1	qosheedy qokeol daiin shckhy okeeor cheey daiin shey
f82r	F82_TOP_COUPLED	F82_P1	f82r.2	dchedy qolchedy qokain dy qokeedy qokal lcheckhy lched
f82r	F82_TOP_COUPLED	F82_P1	f82r.3	qokeey lcheckhedy qokaly solkaiin chckhy qokaiin
f82r	F82_TOP_COUPLED	F82_P1	f82r.4	qokaiin octheol chkeey ldy oteey qokal sheckhy qoky
f82r	F82_TOP_COUPLED	F82_P1	f82r.5	sol lkchedy qokeedy qokal cthol chedy qoteedy qokal
f82r	F82_TOP_COUPLED	F82_P1	f82r.6	sar shedy qol shedaiin sheckhy okal sheky qotaiin chedol
f82r	F82_TOP_COUPLED	F82_P1	f82r.7	dshedy sotaiin qokar shedy solshedy qokeey qoky ls cheey
f82r	F82_TOP_COUPLED	F82_P1	f82r.8	qekeey sheedy qokedy lcho r cheey qokey qotal chedy qoteor
f82r	F82_TOP_COUPLED	F82_P1	f82r.9	ssholshecthy qokaiin chkedy rchey dairchey qokaiin
f82r	F82_MIDDLE_TRANSFER	F82_P2	f82r.11	kolchdy qokedy qopol qotedor chopchedy qotal chedy kam
f82r	F82_MIDDLE_TRANSFER	F82_P2	f82r.12	otedy qodched olqo dar checkho lolol okal okarchedy
f82r	F82_MIDDLE_TRANSFER	F82_P2	f82r.13	tcheol olchedy qokeedy qotedy chedar cheey lchey solarol
f82r	F82_MIDDLE_TRANSFER	F82_P2	f82r.14	r olchy qokal chey qokain deeedy qokeey qokaiin olchedy
f82r	F82_MIDDLE_TRANSFER	F82_P2	f82r.15	kedy lchedy qokedy qokeedy lkeedy qokaiin dy daiin chdy dy
f82r	F82_MIDDLE_TRANSFER	F82_P2	f82r.16	qokeedy lchedy qokeedy cheey r or ol s aiin chey ra dam
f82r	F82_MIDDLE_TRANSFER	F82_P2	f82r.17	dshedy qoteey chedy qokeeey qokedy lteedy qokeedy ralchey
f82r	F82_MIDDLE_TRANSFER	F82_P2	f82r.18	polched otain shedy shedy dal chedar qokeey ykeey l s araiin ory
f82r	F82_MIDDLE_TRANSFER	F82_P2	f82r.19	okain char okain qokeedy lchy
f82r	F82_BOTTOM_COMMUNAL	F82_P3	f82r.20	posalshy qokedy cphal shedy sheol keeedy lkaiin shedy qoly
f82r	F82_BOTTOM_COMMUNAL	F82_P3	f82r.21	daiin cheoky lkedy salshey daiin chey qol chedy qokeey dal
f82r	F82_BOTTOM_COMMUNAL	F82_P3	f82r.22	qokaiin cheor sheey qokaiin shckhey qol keeedy qokeeey rasy
f82r	F82_BOTTOM_COMMUNAL	F82_P3	f82r.23	cheey qcthey qokeey lcheey daiin chey qokeeedy lchedy lar
f82r	F82_BOTTOM_COMMUNAL	F82_P3	f82r.24	qokeedy lcheedy qokeoy sal raiin qokeey lkeey qokeey raiin ydy
f82r	F82_BOTTOM_COMMUNAL	F82_P3	f82r.25	dol qoesedy sheeal sheedy lshed qockhey lchedy lar sheey ry
f82r	F82_BOTTOM_COMMUNAL	F82_P3	f82r.26	tshey qokeedy cheal lchedar ches aiin oteey qokaiin okey
f82r	F82_BOTTOM_COMMUNAL	F82_P3	f82r.27	pchedy rsheal daldy qokeedy rshedy qoteedy qokeedy lochedy
f82r	F82_BOTTOM_COMMUNAL	F82_P3	f82r.28	qokoiin shedy qokeedy qotaiin chcthey qoteeol chey qokaiin oly
