page	panel_id	record_id	groups	operators	entry_edge	exit_edge	set	remove	state_changes	R0_same_pair_conflict	visual_A_B_binding	complete_configuration_reconstructed
f77r	F77_TOP_ARCH	F77_P1	142	15	0	1	12	3	7	True	UNRESOLVED	False
f77r	F77_MIDDLE_BODY	F77_P2	92	5	0	1	5	0	1	False	UNRESOLVED	False
f77r	F77_LOWER_VESSEL	F77_P3	87	3	0	1	3	0	1	False	UNRESOLVED	False
f82r	F82_TOP_COUPLED	F82_P1	72	3	0	0	2	1	2	True	UNRESOLVED	False
f82r	F82_MIDDLE_TRANSFER	F82_P2	80	9	0	1	6	3	5	True	UNRESOLVED	False
f82r	F82_BOTTOM_COMMUNAL	F82_P3	126	8	0	1	7	1	1	True	UNRESOLVED	False
f83r	F83_UPPER_SPRAY	F83_P1	72	3	0	0	1	2	2	True	UNRESOLVED	False
f83r	F83_MIDDLE_LOOP	F83_P2	84	5	0	1	1	4	1	True	UNRESOLVED	False
f83r	F83_LOWER_DRIP	F83_P3	63	6	0	0	1	5	2	True	UNRESOLVED	False
f83r	F83_LOWER_COUPLED	F83_P4	33	5	0	1	3	2	5	True	UNRESOLVED	False
f83r	F83_LOWER_COUPLED	F83_P5	62	0	1	1	0	0	0	False	UNRESOLVED	False
f83r	F83_LOWER_COUPLED	F83_Q1	11	0	1	1	0	0	0	False	UNRESOLVED	False
f83r	F83_LOWER_COUPLED	F83_Q2	16	0	1	1	0	0	0	False	UNRESOLVED	False
