order	operator_sequence	final_edge
F83_P4|F83_P5|F83_Q1|F83_Q2	qokeedy qokedy qokeedy qokedy qokeedy	1
F83_P4|F83_P5|F83_Q2|F83_Q1	qokeedy qokedy qokeedy qokedy qokeedy	1
F83_P4|F83_Q1|F83_P5|F83_Q2	qokeedy qokedy qokeedy qokedy qokeedy	1
F83_P4|F83_Q1|F83_Q2|F83_P5	qokeedy qokedy qokeedy qokedy qokeedy	1
F83_P4|F83_Q2|F83_P5|F83_Q1	qokeedy qokedy qokeedy qokedy qokeedy	1
F83_P4|F83_Q2|F83_Q1|F83_P5	qokeedy qokedy qokeedy qokedy qokeedy	1
F83_P5|F83_P4|F83_Q1|F83_Q2	qokeedy qokedy qokeedy qokedy qokeedy	1
F83_P5|F83_P4|F83_Q2|F83_Q1	qokeedy qokedy qokeedy qokedy qokeedy	1
F83_P5|F83_Q1|F83_P4|F83_Q2	qokeedy qokedy qokeedy qokedy qokeedy	1
F83_P5|F83_Q1|F83_Q2|F83_P4	qokeedy qokedy qokeedy qokedy qokeedy	1
F83_P5|F83_Q2|F83_P4|F83_Q1	qokeedy qokedy qokeedy qokedy qokeedy	1
F83_P5|F83_Q2|F83_Q1|F83_P4	qokeedy qokedy qokeedy qokedy qokeedy	1
F83_Q1|F83_P4|F83_P5|F83_Q2	qokeedy qokedy qokeedy qokedy qokeedy	1
F83_Q1|F83_P4|F83_Q2|F83_P5	qokeedy qokedy qokeedy qokedy qokeedy	1
F83_Q1|F83_P5|F83_P4|F83_Q2	qokeedy qokedy qokeedy qokedy qokeedy	1
F83_Q1|F83_P5|F83_Q2|F83_P4	qokeedy qokedy qokeedy qokedy qokeedy	1
F83_Q1|F83_Q2|F83_P4|F83_P5	qokeedy qokedy qokeedy qokedy qokeedy	1
F83_Q1|F83_Q2|F83_P5|F83_P4	qokeedy qokedy qokeedy qokedy qokeedy	1
F83_Q2|F83_P4|F83_P5|F83_Q1	qokeedy qokedy qokeedy qokedy qokeedy	1
F83_Q2|F83_P4|F83_Q1|F83_P5	qokeedy qokedy qokeedy qokedy qokeedy	1
F83_Q2|F83_P5|F83_P4|F83_Q1	qokeedy qokedy qokeedy qokedy qokeedy	1
F83_Q2|F83_P5|F83_Q1|F83_P4	qokeedy qokedy qokeedy qokedy qokeedy	1
F83_Q2|F83_Q1|F83_P4|F83_P5	qokeedy qokedy qokeedy qokedy qokeedy	1
F83_Q2|F83_Q1|F83_P5|F83_P4	qokeedy qokedy qokeedy qokedy qokeedy	1
