page	panel_id	owner_display_de	record_ids	prose_token_count
f77r	F77_TOP_ARCH	oberes bogenförmiges Mehrstellen-System zwischen zwei Frauen	F77_P1	142
f77r	F77_MIDDLE_BODY	mittlere Körper-/Mehrfachauslass-Konfiguration	F77_P2	92
f77r	F77_LOWER_VESSEL	untere Frau mit blauem Rundgefäß und lamellen-/faserartigem Auslass	F77_P3	87
f82r	F82_TOP_COUPLED	oberes gekoppeltes System aus zwei Frauen und einem Zentralapparat	F82_P1	72
f82r	F82_MIDDLE_TRANSFER	mittlere Transferkonfiguration zwischen stehender und liegender Frau	F82_P2	80
f82r	F82_BOTTOM_COMMUNAL	unteres gemeinsames grünes Becken mit mehreren Frauen	F82_P3	126
f83r	F83_UPPER_SPRAY	obere Frau in geflochtener Gefäßform mit gehaltenem Sprüh-/Strahlkopf	F83_P1	72
f83r	F83_MIDDLE_LOOP	mittlere sitzende Frau im Rundbecken mit Schlaufen-/Ringkontakt	F83_P2	84
f83r	F83_LOWER_DRIP	untere Frau im geflochtenen Behälter mit zwei herabhängenden Strömen	F83_P3	63
f83r	F83_LOWER_COUPLED	unteres gekoppeltes Doppelbild mit zwei Frauen und blau-grünem Bogen	F83_P4|F83_P5|F83_Q1|F83_Q2	122
