page	panel_id	groups	operators	final_edge	changes	R0_same_pair_conflict	image_match
f77r	F77_TOP_ARCH	142	15	1	7	True	NOT_SCORED_UNBOUND_TARGETS
f77r	F77_MIDDLE_BODY	92	5	1	1	False	NOT_SCORED_UNBOUND_TARGETS
f77r	F77_LOWER_VESSEL	87	3	1	1	False	NOT_SCORED_UNBOUND_TARGETS
f82r	F82_TOP_COUPLED	72	3	0	2	True	NOT_SCORED_UNBOUND_TARGETS
f82r	F82_MIDDLE_TRANSFER	80	9	1	5	True	NOT_SCORED_UNBOUND_TARGETS
f82r	F82_BOTTOM_COMMUNAL	126	8	1	1	True	NOT_SCORED_UNBOUND_TARGETS
f83r	F83_UPPER_SPRAY	72	3	0	2	True	NOT_SCORED_UNBOUND_TARGETS
f83r	F83_MIDDLE_LOOP	84	5	1	1	True	NOT_SCORED_UNBOUND_TARGETS
f83r	F83_LOWER_DRIP	63	6	0	2	True	NOT_SCORED_UNBOUND_TARGETS
f83r	F83_LOWER_COUPLED	122	5	1	5	True	NOT_SCORED_UNBOUND_TARGETS
