rule_id	surface	expected_v63_gloss_de	v64_main_gloss_de	practical_head_de	live_rivals_de	decision_class	basis
P001	qoteed	Ansatz vollständig abkühlen und abziehen	Auszug vollständig abkühlen und abziehen	Auszug	Zubereitung|Absud	EXACT_WORKFLOW_WHOLE	Abkühlen plus Abziehen bezeichnet hier praktisch das bearbeitete Flüssigprodukt, nicht einen bloßen Stütz-Ansatz.
P002	oteed	vollständig abgekühlter und abgezogener Ansatz	vollständig abgekühlter und abgezogener Auszug	Auszug	Zubereitung|Absud	EXACT_WORKFLOW_WHOLE	Gleicher Abkühl-und-Abzieh-Schluss wie qoteed; Auszug bleibt enger als Absud, weil Kochen nicht geschrieben ist.
P003	keeod	vollständig erhitzter und abgezogener Ansatz	vollständig erhitzter und abgezogener Auszug	Auszug	Absud	EXACT_WORKFLOW_WHOLE	Abziehen trägt den Auszugkopf; Erhitzen allein beweist kein Kochen und daher keinen Absud.
P004	olord	abgezogene Portion Holzansatz	abgezogene Portion Holzauszug	Holzauszug	Holzzubereitung|Holzansatz	EXACT_MATERIAL_WORKFLOW_WHOLE	Holzkopf plus abgezogene Portion verlangt ein Produkt, nicht den offenen Arbeitsrahmen.
P005	qoeeo	zweiter Mazerationsansatz	zweites Mazerat	Mazerat	zweite Einweichung|zweite Zubereitung	EXACT_LEARNED_WHOLE	Kurzer praktischer Kopf für die bereits geschriebene Mazerationslesung; keine freie q/o/e-Komposition.
P006	osheey	vollständig eingeweichter Ansatz	vollständig eingeweichtes Mazerat	Mazerat	Einweichung|eingeweichte Zubereitung	EXACT_MOIST_WHOLE	Die explizite vollständige Einweichung trägt den engeren Produktkopf.
P007	otsheody	fertiger kalt angefeuchteter Ansatz	fertiges kalt angefeuchtetes Mazerat	Mazerat	Einweichung|feuchte Zubereitung	EXACT_MOIST_WHOLE	Feuchtbindung plus fertiger Endpunkt; Mazerat ist die konkrete Arbeitswahl.
P008	sheody	feucht angesetzte Zubereitung auf Anfangsstufe, abgeschlossen	feucht angesetztes Mazerat auf Anfangsstufe, abgeschlossen	Mazerat	Einweichung|feuchte Zubereitung	EXACT_MOIST_WHOLE	Feuchtansetzen und Abschluss stützen den Mazeratkopf lokal.
P009	shoko	erhitzter Feuchtansatz	erhitztes Mazerat	Mazerat	Feuchtzubereitung|Einweichung	EXACT_MOIST_WHOLE	Der Feuchtkopf wird praktisch kurz gelesen; Erhitzen bleibt sichtbare Zustandsangabe.
P010	shotchey	Feuchtansatz aus kalt bis Mittelstufe getrockneter Droge	Mazerat aus kalt bis Mittelstufe getrockneter Droge	Mazerat	Feuchtzubereitung|Einweichung	EXACT_MOIST_WHOLE	Der explizite Feuchtansatz wird lokal zum Mazerat, ohne sh global zu lexikalisieren.
P011	cheody	getrockneter Ansatz	getrocknete Masse	Masse	getrocknete Zubereitung|Trockenextrakt|Rückstand	TERMINAL_DRY_RESULT	Ohne sichtbares Abziehen ist getrocknete Masse praktisch sicherer als Rückstand oder Extrakt.
P012	ochdy	fertiger Trockenansatz	fertige Trockenmasse	Trockenmasse	Trockenzubereitung|Trockenextrakt	TERMINAL_DRY_RESULT	Fertig plus Trockenbindung trägt einen festen Ergebnis- statt Arbeitskopf.
P013	oechedy	fertiger bis zur Mittelstufe getrockneter Ansatz	fertige, bis zur Mittelstufe getrocknete Masse	Masse	getrocknete Zubereitung|Trockenextrakt|Rückstand	TERMINAL_DRY_RESULT	Fertig und Mittelstufe bleiben erhalten; Masse behauptet keinen unbelegten Trennvorgang.
P014	kchody	fertiger heiß-trockener Ansatz	fertige heiß-trockene Zubereitung	Trockenzubereitung	heiß getrocknete Masse|Trockenextrakt	INTERMEDIATE_DRY_PREPARATION	K fügt Hitze zu chody hinzu, ohne dessen Zubereitungskopf zu wechseln.
P015	chody	leicht abgeschlossener Trockenansatz	leicht getrocknete Zubereitung, abgeschlossen	Trockenzubereitung	Trockenrückstand|Trockengut	INTERMEDIATE_DRY_PREPARATION	Leichte Trocknung bleibt Zubereitung; der Schlusswert abgeschlossen wird nicht gelöscht.
P016	otchdy	kalt-trockener Ansatz, Anfangsstufe erreicht	kalt-trockene Zubereitung, Anfangsstufe erreicht	Trockenzubereitung	Kaltansatz|Trockenrückstand	INTERMEDIATE_DRY_PREPARATION	Anfangsstufe ist noch kein fertiger Rückstand.
P017	otchey	kalt-trockener Ansatz in der Mitte des Grades	kalt-trockene Zubereitung in der Mitte des Grades	Trockenzubereitung	Kaltansatz|Trockenrückstand	INTERMEDIATE_DRY_PREPARATION	Mittelposition bleibt laufende Zubereitung.
P018	otchy	kalt-trockener Ansatz am Anfang des Grades	kalt-trockene Zubereitung am Anfang des Grades	Trockenzubereitung	Kaltansatz|Trockenrückstand	INTERMEDIATE_DRY_PREPARATION	Gradanfang bleibt laufende Zubereitung.
P019	okchedy	heiß-trockener Ansatz, Mittelstufe erreicht	heiß-trockene Zubereitung, Mittelstufe erreicht	Trockenzubereitung	Heißansatz|Trockenrückstand	INTERMEDIATE_DRY_PREPARATION	Mittelstufe ist noch kein fertiger Rückstand.
P020	etyd	bis Mittelstufe gekühlter Ansatz, abgeschlossen	bis Mittelstufe gekühlte Zubereitung, abgeschlossen	Zubereitung	Auszug|Kaltansatz	FINISHED_GENERIC_PREPARATION	Abschluss ist sichtbar, aber kein Extraktions- oder Kochkopf geschrieben.
P021	teeedy	vollständig abgekühlter Ansatz, fertig	vollständig abgekühlte Zubereitung, fertig	Zubereitung	Auszug|Absud	FINISHED_GENERIC_PREPARATION	Kühlen allein identifiziert weder Absud noch Kaltauszug.
P022	adeeody	gleicher abgemessener Teil des fertigen Ansatzes	gleicher abgemessener Teil der fertigen Zubereitung	Zubereitung	Auszug|Charge	FINISHED_GENERIC_PREPARATION	Der Mengenbezug bleibt erhalten; der generische Fertigkopf wird grammatisch konkretisiert.
P023	okeeeey	Ansatz vollständig bis zur letzten Heizstufe geführt	Zubereitung vollständig bis zur letzten Heizstufe geführt	Zubereitung	Heißansatz|Absud	FINISHED_GENERIC_PREPARATION	Mehrstufiges Erhitzen ohne Kochsignal bleibt Zubereitung.
P024	okiin	erhitzter Ansatz, Form III	erhitzte Zubereitung, Form III	Zubereitung	Heißansatz|Absud	FINISHED_GENERIC_PREPARATION	Formwert und Hitze werden bewahrt; Absud wäre ohne Kochsignal zu eng.
