tablet_no	event_id	hidden_target_surface	hidden_target_value_de	apprentice_first_guess_surface	apprentice_first_guess_value_de	guess_is_useful_allograph	visible_owner	slot_cue	left_value_cue	right_value_cue	decisive_cue	confusion_type	master_correction_de	apprentice_final_surface	apprentice_final_value_de	exact_recovery
T01	E001	dchey	Wurzelteil	dchdy	Transfer	NO	Wurzel und übrige Teile der abgebildeten Pflanze	S1_BEZUG_FOLGE	START	Bereitansatz	CUE1_VISIBLE_OWNER	OWNER_MISMATCH	Sieh auf den Besitzer: Die geratene Karte ist in diesem Bild-/Stationsraum nicht eingetragen.	dchey	Wurzelteil	YES
T02	E039	tshol	Blütenkraut	dchol	Vorfortsetzung	NO	Blütenkraut der abgebildeten Pflanze	S1_BEZUG_FOLGE	START	Zieleingabe	CUE3_RIGHT_NEIGHBOR	NEIGHBOR_CARD_CONFUSION	Besitzer und Slot passen beiden; die rechte Folgehandlung trennt das Kartenpaar.	tshol	Blütenkraut	YES
T03	E041	cfhy	Auswringen	cphy	Nachseihen	NO	Blütenkraut der abgebildeten Pflanze	S3_PROZESS_TRANSFER	Zieleingabe	Standzeit	CUE3_RIGHT_NEIGHBOR	NEIGHBOR_CARD_CONFUSION	Besitzer und Slot passen beiden; die rechte Folgehandlung trennt das Kartenpaar.	cfhy	Auswringen	YES
T04	E043	cphy	Nachseihen	cfhy	Auswringen	NO	Blütenkraut der abgebildeten Pflanze	S3_PROZESS_TRANSFER	Standzeit	Klarauszug	CUE3_RIGHT_NEIGHBOR	NEIGHBOR_CARD_CONFUSION	Besitzer und Slot passen beiden; die rechte Folgehandlung trennt das Kartenpaar.	cphy	Nachseihen	YES
T05	E063	talam	Verwahren	tal	Stelle	NO	Blattmaterial der abgebildeten Pflanze	S6_BEREIT_ABSCHLUSS	Umsetzen	END	CUE1_VISIBLE_OWNER	OWNER_MISMATCH	Sieh auf den Besitzer: Die geratene Karte ist in diesem Bild-/Stationsraum nicht eingetragen.	talam	Verwahren	YES
T06	E086	cheeckhody	Auftragsschluss	lcheckhedy	Trennabzug	NO	Stängel-/Pflanzenteil der abgebildeten Pflanze	S6_BEREIT_ABSCHLUSS	Einsetzen	END	CUE1_VISIBLE_OWNER	OWNER_MISMATCH	Sieh auf den Besitzer: Die geratene Karte ist in diesem Bild-/Stationsraum nicht eingetragen.	cheeckhody	Auftragsschluss	YES
T07	E087	sh	Pflanzenteil	sy	Diesposten	NO	Stängel-/Pflanzenteil der abgebildeten Pflanze	S1_BEZUG_FOLGE	START	Zutat	CUE1_VISIBLE_OWNER	OWNER_MISMATCH	Sieh auf den Besitzer: Die geratene Karte ist in diesem Bild-/Stationsraum nicht eingetragen.	sh	Pflanzenteil	YES
T08	E097	sotodan	Gebrauchen	sotaiin	Folgemaß	NO	Stängel-/Pflanzenteil der abgebildeten Pflanze	S5_ZIEL_ANWENDUNG	Quellenzutatbindung	END	CUE1_VISIBLE_OWNER	OWNER_MISMATCH	Sieh auf den Besitzer: Die geratene Karte ist in diesem Bild-/Stationsraum nicht eingetragen.	sotodan	Gebrauchen	YES
T09	E159	ly	Auffanggefäß	dy	Diesposten	NO	B1_SHARED_TWO_ROW_POOL	S3_PROZESS_TRANSFER	START	Kurzhalt	CUE2_SLOT	SLOT_MISMATCH	Der Besitzer passt, aber der Slot nicht; wähle die Karte der verlangten Arbeitsstelle.	ly	Auffanggefäß	YES
T10	E216	ches	teilen	chey	Diesposten	NO	B2_LOWER_POOL_EDGE_STATIONS	S2_MATERIAL_MASS	Quellabführung	Sollmaß	CUE1_VISIBLE_OWNER	OWNER_MISMATCH	Sieh auf den Besitzer: Die geratene Karte ist in diesem Bild-/Stationsraum nicht eingetragen.	ches	teilen	YES
T11	E326	qokylddy	befestigen	qokchedy	Rücktransfer	NO	B4_MAIN_ARCH_LINKED_PAIR	S6_BEREIT_ABSCHLUSS	START	END	CUE1_VISIBLE_OWNER	OWNER_MISMATCH	Sieh auf den Besitzer: Die geratene Karte ist in diesem Bild-/Stationsraum nicht eingetragen.	qokylddy	befestigen	YES
T12	E374	qekey	Kurzbearbeitung	qokey	Kurzkontakt	NO	B6_RIGHT_S_RUN_MULTIPORT_STATION	S4_DAUER_ZUSTAND	Langsammlung	Endposten	CUE1_VISIBLE_OWNER	OWNER_MISMATCH	Sieh auf den Besitzer: Die geratene Karte ist in diesem Bild-/Stationsraum nicht eingetragen.	qekey	Kurzbearbeitung	YES
