exercise_id	source_instruction_de	provenance	master_card_ids	atom_program	master_rendering	s_flow_rendering	short_hand_rendering	uses_only_17_card_deck
EX01	den Posten zum Ziel führen	B1-S021	MC154	AL	al	sal	al	YES
EX02	den aktuellen Posten ansetzen	B3-S009	MC026	OK+Y	choky	choky	oky	YES
EX03	weiterführen und schließen	B4-S010	MC019	OL+CLOSE	oldy	oldy	oldy	YES
EX04	aus der Quelle den Posten ansetzen	GENERATED_CORE_EXERCISE	MC055 MC026	AR | OK+Y	char choky	sar choky	dar oky	YES
EX05	den aktuellen Ansatz auf Sollmaß bringen	GENERATED_CORE_EXERCISE	MC080 MC123 MC039	OR | Y | AIIN	chor chey aiin	shor shy saiin	or y aiin	YES
EX06	zwei Posten unter dasselbe Sollmaß stellen	GENERATED_CORE_EXERCISE	MC123 MC039 MC123	Y | AIIN | Y	chey aiin chey	shy saiin shy	y aiin y	YES
EX07	am Ziel ansetzen und den Posten länger wärmen	GENERATED_CORE_EXERCISE	MC040 MC032	OK+AL | CHK+EE+Y	okal cheeky	okal cheeky	okal cheeky	YES
EX08	Sollmaß ansetzen und den Posten bereit halten	GENERATED_CORE_EXERCISE	MC120 MC161	OK+AIIN | CTH+Y	okaiin checthy	okaiin shcthy	okaiin cthy	YES
EX09	einen Teil abteilen und am Ziel umsetzen	GENERATED_CORE_EXERCISE	MC086 MC154 MC074	PARTITION+TY | AL | CHD+Y	chety al chdy	chety sal chdy	chty al chdy	YES
EX10	den vorigen Ansatz weiterführen	GENERATED_CORE_EXERCISE	MC157 MC153	OL+OR | OL	cholor cheol	cholor sol	olor ol	YES
EX11	danach den nächsten Posten ansetzen	GENERATED_CORE_EXERCISE	MC171 MC026	OT+Y | OK+Y	otchey choky	otchey choky	otchey oky	YES
EX12	das Ergebnis übernehmen, weiterführen und schließen	GENERATED_CORE_EXERCISE	MC119 MC019	CHEEY | OL+CLOSE	cheey oldy	shey oldy	shey oldy	YES
