statement_order	statement_id	record_unit_id	page	master_card_ids	visible_surface_sequence	portable_card_count	total_card_count	coverage_status	missing_card_forms	missing_teaching_tiers	current_reading_de
1	H1-S001	H1	f10r	MC071 MC158 MC055 MC086 MC159 MC014 MC069 MC026 MC039 MC108	dchey cthoor char chty os chair otytchol oky daiin etyd	4	10	PORTABLE_SKELETON_ONLY	dchey|cthoor|os|chair|otytchol|etyd	SPECIALIST_TABLET_CARD|SECTIONAL_CARD_WITH_PORTABLE_CORE_ATOMS|SPECIALIST_TABLET_CARD|SECTIONAL_CARD_WITH_SHARED_BRIDGE_ATOM|SECTIONAL_CARD_WITH_PORTABLE_CORE_ATOMS|SECTIONAL_CARD_WITH_PORTABLE_CORE_ATOMS	Bei der Bildpflanze, dem Wurzelansatz und dem ersten Auszug: Nimm die Wurzel der Bildpflanze, säubere und zerteile sie, setze sie mit Wasser im Gefäß an und trenne den ersten Auszug ab; bemiss davon eine Portion als dosiertes Mittel und verwahre den Restteil.
2	H1-S002	H1	f10r	MC103 MC163 MC153 MC161	qokchy qotchol chol cthy	2	4	PORTABLE_SKELETON_ONLY	chokchy|qotchol	SECTIONAL_CARD_WITH_PORTABLE_CORE_ATOMS|SECTIONAL_CARD_WITH_PORTABLE_CORE_ATOMS	Bei der Bildpflanze, dem Wurzelansatz und dem ersten Auszug: Nimm den frischen Auszug wieder auf, erwärme ihn gelinde und verwende ihn, sobald der örtliche Bereitschaftszustand erreicht ist.
3	H2-S001	H2	f10r	MC075 MC161 MC080 MC169 MC115 MC123 MC123 MC039 MC123	ycheor cthy chor cthaiin qoctholy dy chy taiin shy	6	9	PORTABLE_SKELETON_ONLY	ycheor|cthaiin|qoctholy	SPECIALIST_TABLET_CARD|SECTIONAL_CARD_WITH_PORTABLE_CORE_ATOMS|SECTIONAL_CARD_WITH_PORTABLE_CORE_ATOMS	Bei der Bildpflanze, dem Spross-/Blattansatz und dem streichfähigen Mittel: Nimm jungen Spross und Blatt der Bildpflanze, zerstoße sie, wringe sie durch Tuch aus und richte den Auszug als neuen Ansatz ein.
4	H2-S002	H2	f10r	MC013 MC080 MC053 MC153 MC157 MC153 MC039 MC055	qotchor chor otol chol cholor chol daiin dar	6	8	PORTABLE_SKELETON_ONLY	otchor|otol	SECTIONAL_CARD_WITH_PORTABLE_CORE_ATOMS|SECTIONAL_CARD_WITH_PORTABLE_CORE_ATOMS	Bei der Bildpflanze, dem Spross-/Blattansatz und dem streichfähigen Mittel: Gib dem Ansatz Trägerstoff zu, führe ihn als denselben Posten weiter und halte das vorgeschriebene Maß ein.
5	H2-S003	H2	f10r	MC027 MC080 MC080 MC123 MC048 MC123 MC087	oykchor shor chor chy kaiiin dy chodaiin	4	7	PORTABLE_SKELETON_ONLY	oykchor|kaiiin|chodaiin	SECTIONAL_CARD_WITH_PORTABLE_CORE_ATOMS|SECTIONAL_CARD_WITH_SHARED_BRIDGE_ATOM|SPECIALIST_TABLET_CARD	Bei der Bildpflanze, dem Spross-/Blattansatz und dem streichfähigen Mittel: Bearbeite den Ansatz bis zur streichfähigen Stufe, teile eine örtliche Portion ab und verwende sie als gebundene Anwendung.
6	H3-S001	H3	f11r	MC098 MC049 MC129 MC111 MC156 MC119 MC037	tshol schoal cfhy shfydaiin cphy shey tchody	1	7	PORTABLE_SKELETON_ONLY	tshol|schoal|cfhy|shfydaiin|cphy|tchody	SPECIALIST_TABLET_CARD|SPECIALIST_TABLET_CARD|SPECIALIST_TABLET_CARD|SECTIONAL_CARD_WITH_PORTABLE_CORE_ATOMS|SPECIALIST_TABLET_CARD|SPECIALIST_TABLET_CARD	Bei der Bildpflanze, dem Blüten-/Blattauszug und der zweiten äußeren Anwendung: Nimm Blüte und junges Blatt, setze sie in Auszugsflüssigkeit an, wringe den Ansatz durch Tuch, lass ihn absetzen und seih ihn nochmals bis zum Klarlauf.
7	H3-S002	H3	f11r	MC062	shoyty	0	1	NO_PORTABLE_CARD	shoyty	SPECIALIST_TABLET_CARD	Bei der Bildpflanze, dem Blüten-/Blattauszug und der zweiten äußeren Anwendung: Behalte einen Teil des frischen Pflanzenstoffs als zweiten Vorrat zurück.
8	H3-S003	H3	f11r	MC142 MC123 MC117 MC123 MC039	dchol chy kchy dy daiin	3	5	PORTABLE_SKELETON_ONLY	dchol|kchy	SPECIALIST_TABLET_CARD|SECTIONAL_CARD_WITH_PORTABLE_CORE_ATOMS	Bei der Bildpflanze, dem Blüten-/Blattauszug und der zweiten äußeren Anwendung: Bemiss eine Portion des geklärten Auszugs und gebrauche sie als dosiertes Mittel.
9	H3-S004	H3	f11r	MC107 MC041 MC161 MC123	qotchy okchol cthy dy	2	4	PORTABLE_SKELETON_ONLY	qotchy|okchol	SECTIONAL_CARD_WITH_PORTABLE_CORE_ATOMS|SECTIONAL_CARD_WITH_PORTABLE_CORE_ATOMS	Bei der Bildpflanze, dem Blüten-/Blattauszug und der zweiten äußeren Anwendung: Setze den übrigen Auszug mit Trägerstoff als zweite äußere Anwendung an und halte ihn bis zur Gebrauchsstufe bereit.
10	H4-S001	H4	f55v	MC120 MC039 MC047 MC148 MC100	qokaiin chaiin ykain ykan ody	2	5	PORTABLE_SKELETON_ONLY	ykain|ykan|ody	SECTIONAL_CARD_WITH_SHARED_BRIDGE_ATOM|SECTIONAL_CARD_WITH_SHARED_BRIDGE_ATOM|SPECIALIST_TABLET_CARD	Bei der Bildpflanze, dem geklärten Blattauszug und dem gebundenen Rest: Nimm Blatt der Bildpflanze, bemiss den Posten und setze ihn in Auszugsflüssigkeit im Gefäß an.
11	H4-S002	H4	f55v	MC039 MC074 MC160	daiin chedy talam	2	3	PORTABLE_SKELETON_ONLY	talam	SPECIALIST_TABLET_CARD	Bei der Bildpflanze, dem geklärten Blattauszug und dem gebundenen Rest: Wringe den Ansatz durch Tuch aus, sammle den klaren Anteil und verwende ihn frisch als Waschung.
12	H4-S003	H4	f55v	MC170 MC085 MC032 MC019	ykaiin cheoar cheeky oldy	2	4	PORTABLE_SKELETON_ONLY	ykaiin|cheoar	SECTIONAL_CARD_WITH_PORTABLE_CORE_ATOMS|SPECIALIST_TABLET_CARD	Bei der Bildpflanze, dem geklärten Blattauszug und dem gebundenen Rest: Nimm den Pflanzenrest, gib Bindestoff zu und bearbeite ihn bis zum gebundenen Zustand.
13	H4-S004	H4	f55v	MC039 MC040 MC021 MC080 MC123 MC072	aiin okal oltchy or y orain	4	6	PORTABLE_SKELETON_ONLY	oltchy|orain	SECTIONAL_CARD_WITH_PORTABLE_CORE_ATOMS|SECTIONAL_CARD_WITH_SHARED_BRIDGE_ATOM	Bei der Bildpflanze, dem geklärten Blattauszug und dem gebundenen Rest: Teile eine Portion der gebundenen Bereitung ab, bringe sie an die örtliche Stelle und verwende sie als gebundene Anwendung.
14	H5-S001	H5	f56r	MC125 MC034 MC010 MC039 MC034 MC090 MC013 MC026 MC154	chochor cho chodaly daiin sho kchol otchor choky dal	3	9	PORTABLE_SKELETON_ONLY	chochor|cho|chodaly|cho|kchol|otchor	SPECIALIST_TABLET_CARD|SPECIALIST_TABLET_CARD|SPECIALIST_TABLET_CARD|SPECIALIST_TABLET_CARD|SECTIONAL_CARD_WITH_PORTABLE_CORE_ATOMS|SECTIONAL_CARD_WITH_PORTABLE_CORE_ATOMS	Bei der Bildpflanze, dem frischen Kraut und den zwei getrennten Zubereitungen: Nimm frisches Kraut, setze es mit Wasser kurz an und bereite daraus eine Waschung.
15	H5-S002	H5	f56r	MC142 MC131 MC026 MC099	schol choy choky cheeckhody	1	4	PORTABLE_SKELETON_ONLY	dchol|choy|cheeckhody	SPECIALIST_TABLET_CARD|SPECIALIST_TABLET_CARD|SPECIALIST_TABLET_CARD	Bei der Bildpflanze, dem frischen Kraut und den zwei getrennten Zubereitungen: Nimm vom selben nassen Pflanzenstoff einen zweiten Teil und verwende ihn als gebundene Anwendung.
16	H5-S003	H5	f56r	MC114 MC034 MC122 MC015	sh cho kchey qokokchy	0	4	NO_PORTABLE_CARD	sh|cho|kchey|qokokchy	SECTIONAL_CARD_WITH_PORTABLE_CORE_ATOMS|SPECIALIST_TABLET_CARD|SECTIONAL_CARD_WITH_PORTABLE_CORE_ATOMS|SECTIONAL_CARD_WITH_PORTABLE_CORE_ATOMS	Bei der Bildpflanze, dem frischen Kraut und den zwei getrennten Zubereitungen: Halte den übrigen Pflanzenstoff zurück und beginne damit eine zweite Zubereitung.
17	H5-S004	H5	f56r	MC103 MC006 MC077	okchy chokcheo kchal	0	3	NO_PORTABLE_CARD	chokchy|chokcheo|kchal	SECTIONAL_CARD_WITH_PORTABLE_CORE_ATOMS|SPECIALIST_TABLET_CARD|SECTIONAL_CARD_WITH_PORTABLE_CORE_ATOMS	Bei der Bildpflanze, dem frischen Kraut und den zwei getrennten Zubereitungen: Gib Auszugsflüssigkeit zu, führe den Ansatz durch Tuch und trenne den Auszug ab.
18	H5-S005	H5	f56r	MC034 MC103 MC136 MC068	sho chokchy kchoar sotodan	0	4	NO_PORTABLE_CARD	cho|chokchy|kchoar|sotodan	SPECIALIST_TABLET_CARD|SECTIONAL_CARD_WITH_PORTABLE_CORE_ATOMS|SPECIALIST_TABLET_CARD|SPECIALIST_TABLET_CARD	Bei der Bildpflanze, dem frischen Kraut und den zwei getrennten Zubereitungen: Gib Bindestoff zum abgetrennten Pflanzenstoff und führe ihn bis zur gebundenen Stufe weiter.
19	H5-S006	H5	f56r	MC171 MC104 MC039	otchey keol daiin	2	3	PORTABLE_SKELETON_ONLY	keol	SECTIONAL_CARD_WITH_PORTABLE_CORE_ATOMS	Bei der Bildpflanze, dem frischen Kraut und den zwei getrennten Zubereitungen: Bemiss eine örtliche Portion des zweiten Auszugs und gebrauche sie als dosiertes Mittel.
20	B1-S001	B1	f81v	MC083	qokedy	0	1	NO_PORTABLE_CARD	qokedy	SECTIONAL_CARD_WITH_PORTABLE_CORE_ATOMS	Im gemeinsamen zweireihigen Figurenbecken: Setze kurz an und schließe
21	B1-S002	B1	f81v	MC120 MC023 MC040 MC055 MC153 MC105 MC097 MC154 MC153 MC016 MC012 MC157 MC153 MC058 MC039 MC096 MC039 MC035 MC025	okaiin kair okal sar ol kain olkain al ol rol dl olor ol sheckhal daiin qokeedal daiin chckhy schedy	10	19	PORTABLE_SKELETON_ONLY	kair|chkain|olkain|rol|dl|sheckhal|qokeedal|chckhy|dchedy	SECTIONAL_CARD_WITH_SHARED_BRIDGE_ATOM|SECTIONAL_CARD_WITH_SHARED_BRIDGE_ATOM|SECTIONAL_CARD_WITH_SHARED_BRIDGE_ATOM|SECTIONAL_CARD_WITH_PORTABLE_CORE_ATOMS|SPECIALIST_TABLET_CARD|SECTIONAL_CARD_WITH_SHARED_BRIDGE_ATOM|SECTIONAL_CARD_WITH_PORTABLE_CORE_ATOMS|SECTIONAL_CARD_WITH_SHARED_BRIDGE_ATOM|SECTIONAL_CARD_WITH_SHARED_BRIDGE_ATOM	Im gemeinsamen zweireihigen Figurenbecken: Stelle das Sollmaß ein, setze den Posten dort an, gib die weiteren Portionen und den Zusatz zu, führe den Ansatz weiter, leite kurz zur Zielstelle durch, stelle das Sollmaß ein, halte dort länger, leite durch, setze um und schließe.
22	B1-S003	B1	f81v	MC153 MC061	qol sshkchdy	1	2	PORTABLE_SKELETON_ONLY	sshkchdy	SECTIONAL_CARD_WITH_SHARED_BRIDGE_ATOM	Im gemeinsamen zweireihigen Figurenbecken: Führe weiter, schwenke den Posten und schließe
23	B1-S004	B1	f81v	MC074 MC153 MC128	chedy ol shedy	2	3	PORTABLE_SKELETON_ONLY	cheedy	SPECIALIST_TABLET_CARD	Im gemeinsamen zweireihigen Figurenbecken: Setze um, führe weiter, lass absetzen und schließe
24	B1-S005	B1	f81v	MC028	qolchedy	0	1	NO_PORTABLE_CARD	olchedy	SECTIONAL_CARD_WITH_SHARED_BRIDGE_ATOM	Im gemeinsamen zweireihigen Figurenbecken: Führe den Posten weiter und schließe
25	B1-S006	B1	f81v	MC017 MC035 MC012 MC056	qokain shckhy dl ral	0	4	NO_PORTABLE_CARD	okain|chckhy|dl|ral	SECTIONAL_CARD_WITH_SHARED_BRIDGE_ATOM|SECTIONAL_CARD_WITH_SHARED_BRIDGE_ATOM|SPECIALIST_TABLET_CARD|SECTIONAL_CARD_WITH_PORTABLE_CORE_ATOMS	Im gemeinsamen zweireihigen Figurenbecken: Gib eine Portion und den Zusatz zu, leite durch, führe zur Zielstelle und übergib an den folgenden Umsetzschritt.
26	B1-S007	B1	f81v	MC088	qokchdy	0	1	NO_PORTABLE_CARD	qokchdy	SECTIONAL_CARD_WITH_SHARED_BRIDGE_ATOM	Im gemeinsamen zweireihigen Figurenbecken: Setze die abgekühlte Badmischung um und schließe
27	B1-S008	B1	f81v	MC123 MC153 MC147 MC153 MC128	chey ol cheky ol shedy	3	5	PORTABLE_SKELETON_ONLY	cheky|cheedy	SECTIONAL_CARD_WITH_SHARED_BRIDGE_ATOM|SPECIALIST_TABLET_CARD	Im gemeinsamen zweireihigen Figurenbecken: Führe den aktuellen Posten weiter, wärme kurz, lass absetzen und schließe
28	B1-S009	B1	f81v	MC083	qokedy	0	1	NO_PORTABLE_CARD	qokedy	SECTIONAL_CARD_WITH_PORTABLE_CORE_ATOMS	Im gemeinsamen zweireihigen Figurenbecken: Setze kurz an und schließe
29	B1-S010	B1	f81v	MC083	qokedy	0	1	NO_PORTABLE_CARD	qokedy	SECTIONAL_CARD_WITH_PORTABLE_CORE_ATOMS	Im gemeinsamen zweireihigen Figurenbecken: Setze kurz an und schließe
30	B1-S011	B1	f81v	MC035 MC026	chckhy qoky	1	2	PORTABLE_SKELETON_ONLY	chckhy	SECTIONAL_CARD_WITH_SHARED_BRIDGE_ATOM	Im gemeinsamen zweireihigen Figurenbecken: Leite durch und setze den Posten an
31	B1-S012	B1	f81v	MC130 MC007 MC038	lsho qokey lshedy	0	3	NO_PORTABLE_CARD	lsho|okey|lshedy	SPECIALIST_TABLET_CARD|SECTIONAL_CARD_WITH_PORTABLE_CORE_ATOMS|SPECIALIST_TABLET_CARD	Im gemeinsamen zweireihigen Figurenbecken: Beginne mit dem durchgeleiteten Waschposten den Waschgang, setze kurz an, wasche und schließe
32	B1-S013	B1	f81v	MC038	lshedy	0	1	NO_PORTABLE_CARD	lshedy	SPECIALIST_TABLET_CARD	Im gemeinsamen zweireihigen Figurenbecken: Wasche und schließe
33	B1-S014	B1	f81v	MC074 MC134 MC051 MC153 MC121	chedy qolky lchedal qol otar	2	5	PORTABLE_SKELETON_ONLY	qolky|lchedal|otar	SECTIONAL_CARD_WITH_PORTABLE_CORE_ATOMS|SECTIONAL_CARD_WITH_SHARED_BRIDGE_ATOM|SECTIONAL_CARD_WITH_PORTABLE_CORE_ATOMS	Im gemeinsamen zweireihigen Figurenbecken: Setze um, führe weiter, leite am Auslass ab und führe danach von dort weiter.
34	B1-S015	B1	f81v	MC109 MC005	ytey okchedy	0	2	NO_PORTABLE_CARD	ytey|okchedy	SECTIONAL_CARD_WITH_PORTABLE_CORE_ATOMS|SECTIONAL_CARD_WITH_SHARED_BRIDGE_ATOM	Im gemeinsamen zweireihigen Figurenbecken: Fülle das Gefäß mit der abgeleiteten Arbeitsflüssigkeit, setze den Inhalt um und schließe
