owner_id	physical_page	locus_scope	visible_owner_de	reading_rule_de	image_object_id	image_source	page_image_observation_de
F17R_WHOLE_PLANT	f17r	P1-P12	ganze Pflanze	stummer Artikelbesitzer; Textplatz beweist keine Teilzuordnung	1006106	https://collections.library.yale.edu/iiif/2/1006106/full/full/0/default.jpg	eine ganze Pflanze; schmale Blaetter, drei dunkle Bluetenkoepfe, langer Wurzelstock; kein sichtbares Gefaess
F17R_PLANT_CAPTION	f17r	L13	Pflanzenbild-Kennung	lokale Kennung, kein portables Wort	1006106	https://collections.library.yale.edu/iiif/2/1006106/full/full/0/default.jpg	eine ganze Pflanze; schmale Blaetter, drei dunkle Bluetenkoepfe, langer Wurzelstock; kein sichtbares Gefaess
F77R_UPPER_STATION_LABELS	f77r	L1-L8	obere Bogen-/Auslassstation	acht lokale Kennungen	1006212	https://collections.library.yale.edu/iiif/2/1006212/full/full/0/default.jpg	mehrere lokale Figuren-, Becken-, Bogen- und Auslassszenen; sichtbare Strahlen, aber kein einziger geschlossener Gesamtkreislauf
F77R_STATION_ARTICLE	f77r	P9-P48	lokale Koerper-, Becken- und Auslassszenen	Prosa gehoert zur Seite; keine mechanische Zeile-zu-Rohr-Bindung	1006212	https://collections.library.yale.edu/iiif/2/1006212/full/full/0/default.jpg	mehrere lokale Figuren-, Becken-, Bogen- und Auslassszenen; sichtbare Strahlen, aber kein einziger geschlossener Gesamtkreislauf
F77R_LOWER_STATION_LABELS	f77r	L49-L50	untere Gefaess-/Beckenstation	zwei lokale Kennungen	1006212	https://collections.library.yale.edu/iiif/2/1006212/full/full/0/default.jpg	mehrere lokale Figuren-, Becken-, Bogen- und Auslassszenen; sichtbare Strahlen, aber kein einziger geschlossener Gesamtkreislauf
F88V_BATCH_A	f88v	L1-L5+P6-P10	erste Gefaess-/Zutatengruppe	Bildbesitzer vor Detailglosse	1006233	https://collections.library.yale.edu/iiif/2/1006233/full/full/0/default.jpg	mehrere Gefaess-/Pflanzenteilgruppen mit kurzen Etiketten und Prosa; kein einzelner Seitenbesitzer
F88V_BATCH_B	f88v	L11-L14+P15-P26	zweite Gefaess-/Zutatengruppe	Bildbesitzer vor Detailglosse	1006233	https://collections.library.yale.edu/iiif/2/1006233/full/full/0/default.jpg	mehrere Gefaess-/Pflanzenteilgruppen mit kurzen Etiketten und Prosa; kein einzelner Seitenbesitzer
F88V_BATCH_C	f88v	L27-L30	dritte Gefaess-/Zutatengruppe	Etiketten ohne anschliessenden Prosablock	1006233	https://collections.library.yale.edu/iiif/2/1006233/full/full/0/default.jpg	mehrere Gefaess-/Pflanzenteilgruppen mit kurzen Etiketten und Prosa; kein einzelner Seitenbesitzer
F71V_RING_A	f71v	C1+L2-L11	erste Figuren-/Sternringgruppe	ein Ringtext plus lokale Adressen	1006203	https://collections.library.yale.edu/iiif/2/1006203/full/full/0/default.jpg	drei lokale Ringtexte mit Figuren-/Sternetiketten; keine sichtbare Startmarke oder Laufrichtung
F71V_RING_B	f71v	C12+L13-L17	zweite Figuren-/Sternringgruppe	ein Ringtext plus lokale Adressen	1006203	https://collections.library.yale.edu/iiif/2/1006203/full/full/0/default.jpg	drei lokale Ringtexte mit Figuren-/Sternetiketten; keine sichtbare Startmarke oder Laufrichtung
F71V_RING_C	f71v	C18	dritte Ringgruppe	Ringtext ohne nachfolgende lokale Labelzeile	1006203	https://collections.library.yale.edu/iiif/2/1006203/full/full/0/default.jpg	drei lokale Ringtexte mit Figuren-/Sternetiketten; keine sichtbare Startmarke oder Laufrichtung
