event_id	physical_page	locus	kind	surface	component_recipe	portable_default_de	local_contextual_expansion_de	edition_source
P912-E0001	f10r	f10r.1	CURRENT_BASE	pchocthy	P+CH+O+CTH+Y	EINSETZEN · NEHMEN · AUSFÜHREN · BEREIT · POSTEN	EINSETZEN · ENTNEHMEN · AUSFÜHREN · BEREIT · POSTEN	PASS1002
P912-E0002	f10r	f10r.1	CURRENT_BASE	shor	SH+OR	HALTEN · ANSATZ	HALTEN · ANSATZ	PASS1002
P912-E0003	f10r	f10r.1	CURRENT_BASE	octhody	O+CTH+O+D_ADDR+Y	AUSFÜHREN · BEREIT · AUSFÜHREN · TEIL · POSTEN	AUSFÜHREN · BEREIT · AUSFÜHREN · TEIL · POSTEN	PASS1002
P912-E0004	f10r	f10r.1	CURRENT_BASE	chorchy	CH+OR+CH+Y	NEHMEN · ANSATZ · NEHMEN · POSTEN	ENTNEHMEN · ANSATZ · ENTNEHMEN · POSTEN	PASS1002
P912-E0005	f10r	f10r.1	CURRENT_BASE	pchodol	P+CH+O+D_ADDR+OL	EINSETZEN · NEHMEN · AUSFÜHREN · TEIL · FORTSETZEN	EINSETZEN · ENTNEHMEN · AUSFÜHREN · TEIL · FORTSETZEN	PASS1002
P912-E0006	f10r	f10r.1	CURRENT_BASE	chopchal	CH+O+P+CH+AL	NEHMEN · AUSFÜHREN · EINSETZEN · NEHMEN · ZIEL	ENTNEHMEN · AUSFÜHREN · EINSETZEN · ENTNEHMEN · ZIELSTELLE	PASS1002
P912-E0007	f10r	f10r.1	CURRENT_BASE	ypch	Y+P+CH	POSTEN · EINSETZEN · NEHMEN	POSTEN · EINSETZEN · ENTNEHMEN	PASS1002
P912-E0008	f10r	f10r.1	CURRENT_BASE	kom	K+O+M_LOCAL	GEBEN · AUSFÜHREN · MITTE	ZUGEBEN · AUSFÜHREN · MITTE	PASS1002
P912-E0009	f10r	f10r.2	CURRENT_BASE	dchey	CH+E+Y	NEHMEN · KURZ · POSTEN	Wurzel	PASS1002
P912-E0010	f10r	f10r.2	CURRENT_BASE	cthoor	CTH+O+OR	BEREIT · AUSFÜHREN · ANSATZ	BEREIT · AUSFÜHREN · ANSATZ	PASS1002
P912-E0011	f10r	f10r.2	CURRENT_BASE	char	AR	QUELLE	VORRAT	PASS1002
P912-E0012	f10r	f10r.2	CURRENT_BASE	chty	CH+T+Y	NEHMEN · STELLEN · POSTEN	ENTNEHMEN · STELLEN · POSTEN	PASS1002
