surface	events	pages	kinds	primary_transfer_class	component_recipe	portable_default_de	source_surface	edit_distance	owner_bound_label_use	confidence
aiin	5	f71v|f77r|f88v	C|P	EXACT_REGISTERED_SURFACE	AIIN	MASS	aiin	0	NO	HIGH
ain	4	f77r|f88v	P	EXACT_REGISTERED_SURFACE	AIN	PORTION	ain	0	NO	HIGH
al	6	f71v|f77r	C|P	EXACT_REGISTERED_SURFACE	AL	ZIEL	al	0	NO	HIGH
alcphy	1	f71v	L	LOCAL_OWNER_ADDRESS	LOCAL_ADDRESS	BILDADRESSE	OWNER_COPY		YES	OWNER_BOUND
aly	2	f71v	C|L	EXACT_REGISTERED_SURFACE	AL+Y	ZIEL · POSTEN	aly	0	YES	HIGH
am	1	f71v	L	LOCAL_OWNER_ADDRESS	LOCAL_ADDRESS	BILDADRESSE	am	0	YES	OWNER_BOUND
ar	6	f71v|f77r	C|L|P	EXACT_REGISTERED_SURFACE	AR	QUELLE	ar	0	YES	HIGH
archeey	1	f88v	P	VISIBLE_NEW_COMPOSITION	AR+CH+EE+Y	QUELLE · NEHMEN · LÄNGER · POSTEN	cheey	2	NO	MEDIUM_HIGH
arody	1	f88v	L	LOCAL_OWNER_ADDRESS	LOCAL_ADDRESS	BILDADRESSE	OWNER_COPY		YES	OWNER_BOUND
arol	2	f71v|f77r	C|P	VISIBLE_NEW_COMPOSITION	AR+OL	QUELLE · FORTSETZEN	aral	1	NO	MEDIUM_HIGH
arom	1	f71v	L	LOCAL_OWNER_ADDRESS	LOCAL_ADDRESS	BILDADRESSE	OWNER_COPY		YES	OWNER_BOUND
as	1	f77r	P	VISIBLE_NEW_COMPOSITION	A_ADDR+S	ORT · AUSWÄHLEN	a	1	NO	MEDIUM_HIGH
ateey	1	f71v	C	VISIBLE_NEW_COMPOSITION	A_ADDR+T+EE+Y	ORT · STELLEN · LÄNGER · POSTEN	dateey	1	NO	MEDIUM_HIGH
chal	1	f71v	C	EXACT_REGISTERED_SURFACE	CH+AL	NEHMEN · ZIEL	chal	0	NO	HIGH
chaly	1	f88v	P	VISIBLE_NEW_COMPOSITION	CH+AL+Y	NEHMEN · ZIEL · POSTEN	chal	1	NO	MEDIUM_HIGH
cham	1	f77r	P	VISIBLE_NEW_COMPOSITION	CH+AM_ADDR	NEHMEN · INNEN	chal	1	NO	MEDIUM_HIGH
char	1	f71v	L	LOCAL_OWNER_ADDRESS	LOCAL_ADDRESS	BILDADRESSE	char	0	YES	OWNER_BOUND
chckhey	1	f77r	P	EXACT_REGISTERED_SURFACE	CH+CKH+E+Y	NEHMEN · DURCHLASS · KURZ · POSTEN	chckhey	0	NO	HIGH
chckho	1	f17r	P	NEAR_REGISTERED_ALLOGRAPH	CKH+Y	DURCHLASS · POSTEN	chckhy	1	NO	MEDIUM
chckhy	2	f77r|f88v	P	EXACT_REGISTERED_SURFACE	CKH+Y	DURCHLASS · POSTEN	chckhy	0	NO	HIGH
chcphey	1	f77r	P	VISIBLE_NEW_COMPOSITION	CH+CPH+E+Y	NEHMEN · UMLEITEN · KURZ · POSTEN	chckhey	1	NO	MEDIUM_HIGH
