physical_page	locus	kind	owner_id	visible_owner_de	surface_sequence	component_sequence	portable_reading_de	local_workshop_reading_de	groups
f17r	f17r.1	P	F17R_WHOLE_PLANT	abgebildete ganze Bluetenpflanze mit Blatt-, Blueten- und Wurzelteilen	fshody daram ydar chog opydy ypod chop otchy dody oldckhy	CH+O+D_ADDR+Y | DA+R+A_ADDR+AM_ADDR | Y+D_ADDR+AR | HO | O+P+Y+DY | Y+P+O+D_ADDR | CH+O+P | OT+CH+Y | O+DY | OL+D_ADDR+CKH+Y	NEHMEN · AUSFÜHREN · TEIL · POSTEN ; ZWEIT · MERKEN · ORT · INNEN ; POSTEN · TEIL · QUELLE ; TEILSTOFF ; AUSFÜHREN · EINSETZEN · POSTEN · SCHLUSS ; POSTEN · EINSETZEN · AUSFÜHREN · TEIL ; NEHMEN · AUSFÜHREN · EINSETZEN ; DANACH · NEHMEN · POSTEN ; AUSFÜHREN · SCHLUSS ; FORTSETZEN · TEIL · DURCHLASS · POSTEN	am Stoffbild abgebildete ganze Bluetenpflanze mit Blatt-, Blueten- und Wurzelteilen: vom bezeichneten Pflanzenteil entnehmen · den Arbeitsschritt ausführen · Wurzel-, Blatt-, Blüten- oder Fruchtteil · dieser Pflanzen-/Drogenposten ; am Stoffbild abgebildete ganze Bluetenpflanze mit Blatt-, Blueten- und Wurzelteilen: zweiter Ansatz oder zweite Zugabe · Teilgang oder Zustand merken · die bezeichnete Gefäß-/Gebrauchsstelle · im Gefäß oder inneren Anteil ; am Stoffbild abgebildete ganze Bluetenpflanze mit Blatt-, Blueten- und Wurzelteilen: dieser Pflanzen-/Drogenposten · Wurzel-, Blatt-, Blüten- oder Fruchtteil · aus Wurzelstock oder Vorrat ; am Stoffbild abgebildete ganze Bluetenpflanze mit Blatt-, Blueten- und Wurzelteilen: weiterer Pflanzenteil oder Hilfsstoff ; am Stoffbild abgebildete ganze Bluetenpflanze mit Blatt-, Blueten- und Wurzelteilen: den Arbeitsschritt ausführen · den Pflanzenteil einbringen · dieser Pflanzen-/Drogenposten · Teilansatz abschließen ; am Stoffbild abgebildete ganze Bluetenpflanze mit Blatt-, Blueten- und Wurzelteilen: dieser Pflanzen-/Drogenposten · den Pflanzenteil einbringen · den Arbeitsschritt ausführen · Wurzel-, Blatt-, Blüten- oder Fruchtteil ; am Stoffbild abgebildete ganze Bluetenpflanze mit Blatt-, Blueten- und Wurzelteilen: vom bezeichneten Pflanzenteil entnehmen · den Arbeitsschritt ausführen · den Pflanzenteil einbringen ; am Stoffbild abgebildete ganze Bluetenpflanze mit Blatt-, Blueten- und Wurzelteilen: den nächsten Teilgang nehmen · vom bezeichneten Pflanzenteil entnehmen · dieser Pflanzen-/Drogenposten ; am Stoffbild abgebildete ganze Bluetenpflanze mit Blatt-, Blueten- und Wurzelteilen: den Arbeitsschritt ausführen · Teilansatz abschließen ; am Stoffbild abgebildete ganze Bluetenpflanze mit Blatt-, Blueten- und Wurzelteilen: denselben Ansatz fortführen · Wurzel-, Blatt-, Blüten- oder Fruchtteil · durch Tuch, Sieb oder Auslass · dieser Pflanzen-/Drogenposten	10
f17r	f17r.2	P	F17R_WHOLE_PLANT	abgebildete ganze Bluetenpflanze mit Blatt-, Blueten- und Wurzelteilen	ydair choky okshy qodar ckhody dor otchol qodcthy ods	Y+D_ADDR+AIR | OK+Y | OK+Y | O+D_ADDR+AR | CKH+O+DY | D_ADDR+OR | OT+CH+OL | O+D_ADDR+CTH+Y | O+DY	POSTEN · TEIL · LAUF ; SETZEN · POSTEN ; SETZEN · POSTEN ; AUSFÜHREN · TEIL · QUELLE ; DURCHLASS · AUSFÜHREN · SCHLUSS ; TEIL · ANSATZ ; DANACH · NEHMEN · FORTSETZEN ; AUSFÜHREN · TEIL · BEREIT · POSTEN ; AUSFÜHREN · SCHLUSS	am Stoffbild abgebildete ganze Bluetenpflanze mit Blatt-, Blueten- und Wurzelteilen: dieser Pflanzen-/Drogenposten · Wurzel-, Blatt-, Blüten- oder Fruchtteil · der Flüssigkeitslauf ; am Stoffbild abgebildete ganze Bluetenpflanze mit Blatt-, Blueten- und Wurzelteilen: im Ansatz ansetzen · dieser Pflanzen-/Drogenposten ; am Stoffbild abgebildete ganze Bluetenpflanze mit Blatt-, Blueten- und Wurzelteilen: im Ansatz ansetzen · dieser Pflanzen-/Drogenposten ; am Stoffbild abgebildete ganze Bluetenpflanze mit Blatt-, Blueten- und Wurzelteilen: den Arbeitsschritt ausführen · Wurzel-, Blatt-, Blüten- oder Fruchtteil · aus Wurzelstock oder Vorrat ; am Stoffbild abgebildete ganze Bluetenpflanze mit Blatt-, Blueten- und Wurzelteilen: durch Tuch, Sieb oder Auslass · den Arbeitsschritt ausführen · Teilansatz abschließen ; am Stoffbild abgebildete ganze Bluetenpflanze mit Blatt-, Blueten- und Wurzelteilen: Wurzel-, Blatt-, Blüten- oder Fruchtteil · der laufende Ansatz ; am Stoffbild abgebildete ganze Bluetenpflanze mit Blatt-, Blueten- und Wurzelteilen: den nächsten Teilgang nehmen · vom bezeichneten Pflanzenteil entnehmen · denselben Ansatz fortführen ; am Stoffbild abgebildete ganze Bluetenpflanze mit Blatt-, Blueten- und Wurzelteilen: den Arbeitsschritt ausführen · Wurzel-, Blatt-, Blüten- oder Fruchtteil · gebrauchsfertig · dieser Pflanzen-/Drogenposten ; am Stoffbild abgebildete ganze Bluetenpflanze mit Blatt-, Blueten- und Wurzelteilen: den Arbeitsschritt ausführen · Teilansatz abschließen	9
f17r	f17r.3	P	F17R_WHOLE_PLANT	abgebildete ganze Bluetenpflanze mit Blatt-, Blueten- und Wurzelteilen	chol or chy qodam okor chor okchom	OL | OR | Y | O+D_ADDR+AM_ADDR | OK+OR | CH+OR | OK+CH+O+AM_ADDR	FORTSETZEN ; ANSATZ ; POSTEN ; AUSFÜHREN · TEIL · INNEN ; SETZEN · ANSATZ ; NEHMEN · ANSATZ ; SETZEN · NEHMEN · AUSFÜHREN · INNEN	am Stoffbild abgebildete ganze Bluetenpflanze mit Blatt-, Blueten- und Wurzelteilen: denselben Ansatz fortführen ; am Stoffbild abgebildete ganze Bluetenpflanze mit Blatt-, Blueten- und Wurzelteilen: der laufende Ansatz ; am Stoffbild abgebildete ganze Bluetenpflanze mit Blatt-, Blueten- und Wurzelteilen: dieser Pflanzen-/Drogenposten ; am Stoffbild abgebildete ganze Bluetenpflanze mit Blatt-, Blueten- und Wurzelteilen: den Arbeitsschritt ausführen · Wurzel-, Blatt-, Blüten- oder Fruchtteil · im Gefäß oder inneren Anteil ; am Stoffbild abgebildete ganze Bluetenpflanze mit Blatt-, Blueten- und Wurzelteilen: im Ansatz ansetzen · der laufende Ansatz ; am Stoffbild abgebildete ganze Bluetenpflanze mit Blatt-, Blueten- und Wurzelteilen: vom bezeichneten Pflanzenteil entnehmen · der laufende Ansatz ; am Stoffbild abgebildete ganze Bluetenpflanze mit Blatt-, Blueten- und Wurzelteilen: im Ansatz ansetzen · vom bezeichneten Pflanzenteil entnehmen · den Arbeitsschritt ausführen · im Gefäß oder inneren Anteil	7
f17r	f17r.4	P	F17R_WHOLE_PLANT	abgebildete ganze Bluetenpflanze mit Blatt-, Blueten- und Wurzelteilen	tcho shol qokol qor olaiin opydg som ypchy ypaim	T+CH+O | SH+OL | OK+OL | OR | OL+AIIN | O+P+E+DY | K+O+M_LOCAL | Y+P+CH+Y | Y+P+AIR	STELLEN · NEHMEN · AUSFÜHREN ; HALTEN · FORTSETZEN ; SETZEN · FORTSETZEN ; ANSATZ ; FORTSETZEN · MASS ; AUSFÜHREN · EINSETZEN · KURZ · SCHLUSS ; GEBEN · AUSFÜHREN · MITTE ; POSTEN · EINSETZEN · NEHMEN · POSTEN ; POSTEN · EINSETZEN · LAUF	am Stoffbild abgebildete ganze Bluetenpflanze mit Blatt-, Blueten- und Wurzelteilen: Menge, Dauer oder Stufe stellen · vom bezeichneten Pflanzenteil entnehmen · den Arbeitsschritt ausführen ; am Stoffbild abgebildete ganze Bluetenpflanze mit Blatt-, Blueten- und Wurzelteilen: halten, ziehen oder stehen lassen · denselben Ansatz fortführen ; am Stoffbild abgebildete ganze Bluetenpflanze mit Blatt-, Blueten- und Wurzelteilen: im Ansatz ansetzen · denselben Ansatz fortführen ; am Stoffbild abgebildete ganze Bluetenpflanze mit Blatt-, Blueten- und Wurzelteilen: der laufende Ansatz ; am Stoffbild abgebildete ganze Bluetenpflanze mit Blatt-, Blueten- und Wurzelteilen: denselben Ansatz fortführen · nach vorgeschriebenem Maß ; am Stoffbild abgebildete ganze Bluetenpflanze mit Blatt-, Blueten- und Wurzelteilen: den Arbeitsschritt ausführen · den Pflanzenteil einbringen · kurz einwirken lassen · Teilansatz abschließen ; am Stoffbild abgebildete ganze Bluetenpflanze mit Blatt-, Blueten- und Wurzelteilen: dem Ansatz zugeben · den Arbeitsschritt ausführen · im Mittelgefäß oder mittleren Anteil ; am Stoffbild abgebildete ganze Bluetenpflanze mit Blatt-, Blueten- und Wurzelteilen: dieser Pflanzen-/Drogenposten · den Pflanzenteil einbringen · vom bezeichneten Pflanzenteil entnehmen · dieser Pflanzen-/Drogenposten ; am Stoffbild abgebildete ganze Bluetenpflanze mit Blatt-, Blueten- und Wurzelteilen: dieser Pflanzen-/Drogenposten · den Pflanzenteil einbringen · der Flüssigkeitslauf	9
f17r	f17r.5	P	F17R_WHOLE_PLANT	abgebildete ganze Bluetenpflanze mit Blatt-, Blueten- und Wurzelteilen	ychekchy cthy chor shor cphor cphaldy dair cthey qody	Y+CHK+Y | CTH+Y | CH+OR | SH+OR | CPH+OR | CPH+AL+DY | D_ADDR+AIR | CTH+E+Y | CARRIER_Q+O+DY	POSTEN · BEHANDELN · POSTEN ; BEREIT · POSTEN ; NEHMEN · ANSATZ ; HALTEN · ANSATZ ; UMLEITEN · ANSATZ ; UMLEITEN · ZIEL · SCHLUSS ; TEIL · LAUF ; BEREIT · KURZ · POSTEN ; BEGINN · AUSFÜHREN · SCHLUSS	am Stoffbild abgebildete ganze Bluetenpflanze mit Blatt-, Blueten- und Wurzelteilen: dieser Pflanzen-/Drogenposten · zerkleinern, wärmen, mischen oder bearbeiten · dieser Pflanzen-/Drogenposten ; am Stoffbild abgebildete ganze Bluetenpflanze mit Blatt-, Blueten- und Wurzelteilen: gebrauchsfertig · dieser Pflanzen-/Drogenposten ; am Stoffbild abgebildete ganze Bluetenpflanze mit Blatt-, Blueten- und Wurzelteilen: vom bezeichneten Pflanzenteil entnehmen · der laufende Ansatz ; am Stoffbild abgebildete ganze Bluetenpflanze mit Blatt-, Blueten- und Wurzelteilen: halten, ziehen oder stehen lassen · der laufende Ansatz ; am Stoffbild abgebildete ganze Bluetenpflanze mit Blatt-, Blueten- und Wurzelteilen: in einen anderen Empfänger leiten · der laufende Ansatz ; am Stoffbild abgebildete ganze Bluetenpflanze mit Blatt-, Blueten- und Wurzelteilen: in einen anderen Empfänger leiten · in das Zielgefäß oder an die Gebrauchsstelle · Teilansatz abschließen ; am Stoffbild abgebildete ganze Bluetenpflanze mit Blatt-, Blueten- und Wurzelteilen: Wurzel-, Blatt-, Blüten- oder Fruchtteil · der Flüssigkeitslauf ; am Stoffbild abgebildete ganze Bluetenpflanze mit Blatt-, Blueten- und Wurzelteilen: gebrauchsfertig · kurz einwirken lassen · dieser Pflanzen-/Drogenposten ; am Stoffbild abgebildete ganze Bluetenpflanze mit Blatt-, Blueten- und Wurzelteilen: einen neuen Ansatz beginnen · den Arbeitsschritt ausführen · Teilansatz abschließen	9
f17r	f17r.6	P	F17R_WHOLE_PLANT	abgebildete ganze Bluetenpflanze mit Blatt-, Blueten- und Wurzelteilen	tsho qof cho qokcheor cheteg	SH+O | O+LOCAL_CHAR_F | HO | OK+CHEO+R | SH+EE+Y	HALTEN · AUSFÜHREN ; AUSFÜHREN · NEBENWEG ; TEILSTOFF ; SETZEN · AUSZUG · MERKEN ; HALTEN · LÄNGER · POSTEN	am Stoffbild abgebildete ganze Bluetenpflanze mit Blatt-, Blueten- und Wurzelteilen: halten, ziehen oder stehen lassen · den Arbeitsschritt ausführen ; am Stoffbild abgebildete ganze Bluetenpflanze mit Blatt-, Blueten- und Wurzelteilen: den Arbeitsschritt ausführen · zweiter Auszug oder Nebenweg ; am Stoffbild abgebildete ganze Bluetenpflanze mit Blatt-, Blueten- und Wurzelteilen: weiterer Pflanzenteil oder Hilfsstoff ; am Stoffbild abgebildete ganze Bluetenpflanze mit Blatt-, Blueten- und Wurzelteilen: im Ansatz ansetzen · der gewonnene Auszug · Teilgang oder Zustand merken ; am Stoffbild abgebildete ganze Bluetenpflanze mit Blatt-, Blueten- und Wurzelteilen: halten, ziehen oder stehen lassen · länger halten oder ziehen lassen · dieser Pflanzen-/Drogenposten	5
f17r	f17r.7	P	F17R_WHOLE_PLANT	abgebildete ganze Bluetenpflanze mit Blatt-, Blueten- und Wurzelteilen	ksheo qokchy choldshy zepchy d opchordy	SH+E+O | OK+Y | CH+OL+D_ADDR+SH+Y | O+P+Y | D_ADDR | O+P+CH+OR+DY	HALTEN · KURZ · AUSFÜHREN ; SETZEN · POSTEN ; NEHMEN · FORTSETZEN · TEIL · HALTEN · POSTEN ; AUSFÜHREN · EINSETZEN · POSTEN ; TEIL ; AUSFÜHREN · EINSETZEN · NEHMEN · ANSATZ · SCHLUSS	am Stoffbild abgebildete ganze Bluetenpflanze mit Blatt-, Blueten- und Wurzelteilen: halten, ziehen oder stehen lassen · kurz einwirken lassen · den Arbeitsschritt ausführen ; am Stoffbild abgebildete ganze Bluetenpflanze mit Blatt-, Blueten- und Wurzelteilen: im Ansatz ansetzen · dieser Pflanzen-/Drogenposten ; am Stoffbild abgebildete ganze Bluetenpflanze mit Blatt-, Blueten- und Wurzelteilen: vom bezeichneten Pflanzenteil entnehmen · denselben Ansatz fortführen · Wurzel-, Blatt-, Blüten- oder Fruchtteil · halten, ziehen oder stehen lassen · dieser Pflanzen-/Drogenposten ; am Stoffbild abgebildete ganze Bluetenpflanze mit Blatt-, Blueten- und Wurzelteilen: den Arbeitsschritt ausführen · den Pflanzenteil einbringen · dieser Pflanzen-/Drogenposten ; am Stoffbild abgebildete ganze Bluetenpflanze mit Blatt-, Blueten- und Wurzelteilen: Wurzel-, Blatt-, Blüten- oder Fruchtteil ; am Stoffbild abgebildete ganze Bluetenpflanze mit Blatt-, Blueten- und Wurzelteilen: den Arbeitsschritt ausführen · den Pflanzenteil einbringen · vom bezeichneten Pflanzenteil entnehmen · der laufende Ansatz · Teilansatz abschließen	6
f17r	f17r.8	P	F17R_WHOLE_PLANT	abgebildete ganze Bluetenpflanze mit Blatt-, Blueten- und Wurzelteilen	dchchy dychear schar ykchy	D_ADDR+CH+Y | CH+E+AR | AR | Y+K+Y	TEIL · NEHMEN · POSTEN ; NEHMEN · KURZ · QUELLE ; QUELLE ; POSTEN · GEBEN · POSTEN	am Stoffbild abgebildete ganze Bluetenpflanze mit Blatt-, Blueten- und Wurzelteilen: Wurzel-, Blatt-, Blüten- oder Fruchtteil · vom bezeichneten Pflanzenteil entnehmen · dieser Pflanzen-/Drogenposten ; am Stoffbild abgebildete ganze Bluetenpflanze mit Blatt-, Blueten- und Wurzelteilen: vom bezeichneten Pflanzenteil entnehmen · kurz einwirken lassen · aus Wurzelstock oder Vorrat ; am Stoffbild abgebildete ganze Bluetenpflanze mit Blatt-, Blueten- und Wurzelteilen: aus Wurzelstock oder Vorrat ; am Stoffbild abgebildete ganze Bluetenpflanze mit Blatt-, Blueten- und Wurzelteilen: dieser Pflanzen-/Drogenposten · dem Ansatz zugeben · dieser Pflanzen-/Drogenposten	4
f17r	f17r.9	P	F17R_WHOLE_PLANT	abgebildete ganze Bluetenpflanze mit Blatt-, Blueten- und Wurzelteilen	soy chckho o das chypcham	Y | CKH+Y | O | O+DA+S | CH+O+P+CH+AL	POSTEN ; DURCHLASS · POSTEN ; AUSFÜHREN ; AUSFÜHREN · ZWEIT · AUSWÄHLEN ; NEHMEN · AUSFÜHREN · EINSETZEN · NEHMEN · ZIEL	am Stoffbild abgebildete ganze Bluetenpflanze mit Blatt-, Blueten- und Wurzelteilen: dieser Pflanzen-/Drogenposten ; am Stoffbild abgebildete ganze Bluetenpflanze mit Blatt-, Blueten- und Wurzelteilen: durch Tuch, Sieb oder Auslass · dieser Pflanzen-/Drogenposten ; am Stoffbild abgebildete ganze Bluetenpflanze mit Blatt-, Blueten- und Wurzelteilen: den Arbeitsschritt ausführen ; am Stoffbild abgebildete ganze Bluetenpflanze mit Blatt-, Blueten- und Wurzelteilen: den Arbeitsschritt ausführen · zweiter Ansatz oder zweite Zugabe · den bezeichneten Drogenposten wählen ; am Stoffbild abgebildete ganze Bluetenpflanze mit Blatt-, Blueten- und Wurzelteilen: vom bezeichneten Pflanzenteil entnehmen · den Arbeitsschritt ausführen · den Pflanzenteil einbringen · vom bezeichneten Pflanzenteil entnehmen · in das Zielgefäß oder an die Gebrauchsstelle	5
f17r	f17r.10	P	F17R_WHOLE_PLANT	abgebildete ganze Bluetenpflanze mit Blatt-, Blueten- und Wurzelteilen	dar chear dcheor sain y mol	D_ADDR+AR | CH+E+AR | D_ADDR+CHEO+R | S+AIN | Y | OL	TEIL · QUELLE ; NEHMEN · KURZ · QUELLE ; TEIL · AUSZUG · MERKEN ; AUSWÄHLEN · PORTION ; POSTEN ; FORTSETZEN	am Stoffbild abgebildete ganze Bluetenpflanze mit Blatt-, Blueten- und Wurzelteilen: Wurzel-, Blatt-, Blüten- oder Fruchtteil · aus Wurzelstock oder Vorrat ; am Stoffbild abgebildete ganze Bluetenpflanze mit Blatt-, Blueten- und Wurzelteilen: vom bezeichneten Pflanzenteil entnehmen · kurz einwirken lassen · aus Wurzelstock oder Vorrat ; am Stoffbild abgebildete ganze Bluetenpflanze mit Blatt-, Blueten- und Wurzelteilen: Wurzel-, Blatt-, Blüten- oder Fruchtteil · der gewonnene Auszug · Teilgang oder Zustand merken ; am Stoffbild abgebildete ganze Bluetenpflanze mit Blatt-, Blueten- und Wurzelteilen: den bezeichneten Drogenposten wählen · eine Portion ; am Stoffbild abgebildete ganze Bluetenpflanze mit Blatt-, Blueten- und Wurzelteilen: dieser Pflanzen-/Drogenposten ; am Stoffbild abgebildete ganze Bluetenpflanze mit Blatt-, Blueten- und Wurzelteilen: denselben Ansatz fortführen	6
