component	short_value_de	f17r_uses	f77r_uses	f88v_uses	f71v_uses	total_uses	new_portable_root
Y	POSTEN	29	86	53	24	192	NO
EE	LÄNGER	1	76	15	17	109	NO
OK	SETZEN	8	65	19	12	104	NO
DY	SCHLUSS	8	82	11	2	103	NO
E	KURZ	5	45	36	14	100	NO
O	AUSFÜHREN	24	15	41	17	97	NO
OL	FORTSETZEN	11	50	17	3	81	NO
SH	HALTEN	6	42	17	12	77	NO
AIIN	MASS	2	44	17	7	70	NO
OT	DANACH	4	36	11	19	70	NO
D_ADDR	TEIL	16	19	24	6	65	NO
CH	NEHMEN	19	20	10	10	59	NO
AL	ZIEL	2	22	8	18	50	NO
AR	QUELLE	7	14	5	13	39	NO
S	AUSWÄHLEN	2	22	9	2	35	NO
L	LEITEN	0	27	4	3	34	NO
CHD	UMSETZEN	0	31	1	0	32	NO
OR	ANSATZ	9	4	11	5	29	NO
K	GEBEN	2	2	13	8	25	NO
CHEO	AUSZUG	2	2	16	4	24	NO
AIN	PORTION	1	16	6	0	23	NO
T	STELLEN	1	13	4	5	23	NO
R	MERKEN	3	10	6	2	21	NO
P	EINSETZEN	9	7	0	4	20	NO
CKH	DURCHLASS	3	5	7	0	15	NO
SHED	ABSETZEN	0	13	1	0	14	NO
AM_ADDR	INNEN	3	2	4	1	10	NO
DA	ZWEIT	3	5	2	0	10	NO
IIN	STUFE	1	7	1	1	10	NO
CARRIER_Q	BEGINN	1	6	2	0	9	NO
AIR	LAUF	3	0	4	0	7	NO
A_ADDR	ORT	1	4	0	2	7	NO
CHK	BEHANDELN	1	1	2	2	6	NO
CTH	BEREIT	3	2	1	0	6	NO
CPH	UMLEITEN	2	2	1	0	5	NO
HO	TEILSTOFF	2	0	3	0	5	NO
S_ADDR	SONDERORT	0	1	2	1	4	NO
EEE	VOLL	0	2	0	1	3	NO
SOLK	AUFFANGEN	0	3	0	0	3	NO
M_LOCAL	MITTE	1	0	1	0	2	NO
LOCAL_CHAR_F	NEBENWEG	1	0	0	0	1	NO
LOCAL_CHAR_G	EINMAL	0	1	0	0	1	NO
LSH	SPÜLEN	0	1	0	0	1	NO
LOCAL_ADDRESS	BILDADRESSE	2	11	14	22	49	NO
