source_id	source_title	dating	register	url	relevant_expression_or_category	observation_de	caveat_de
HSR76901	Wellcome MS.5262 Medical Recipe Collection	erstes Viertel 15. Jahrhundert	englisch-lateinische medizinische Rezeptsammlung	https://wellcomecollection.org/works/hkxxeu85	129 Rezepte; medicine; lye of betony	Direkter zeitnaher Registerzeuge für kurze medizinische Rezepte mit Zutaten-, Zubereitungs- und Anwendungsangaben.	Katalogbeschreibung und Gattungszeuge; identifiziert kein Voynich-Wort und liefert keine Target-Zählung.
HSR76902	Wellcome MS.409 Middle English medical miscellany	spätes 14. bis frühes 15. Jahrhundert	medizinische Rezepte, Kräuterglossar und Drogenliste	https://wellcomecollection.org/works/y7xcant4/items?shouldScrollToCanvas=true	receipts; glossary of herbs; list of names of drugs	Belegt das Nebeneinander von Rezeptkanal, Kräuterglossar und Drogen-/Namensregister in einem periodennahen medizinischen Sammelcodex.	Nur Architekturprior; keine Gleichsetzung eines Targets mit einer historischen Vokabel.
HSR76903	Middle English Dictionary: wose	datierte Belege a1398 bis a1500	medizinischer Pflanzenstoff und technische Flüssigkeit	https://quod.lib.umich.edu/m/middle-english-dictionary/dictionary/MED53500	wose; expressed juice; sap; infusion; tanning liquor	Wose bezeichnet ausgepressten Pflanzen-, Wurzel- oder Fruchtsaft; ein Beleg um 1400 misst eine Gallone und kocht bis auf ein Drittel ein, ein medizinischer Beleg um 1450 nennt Tanwose anschließend water.	Wörterbuchartikel bündelt verschiedene Textzeugen und auch nichtmedizinische Anwendungen; Saft/Auszug ist nur eine historische Kandidatenklasse.
HSR76904	Middle English Dictionary: water	datierte technische und medizinische Belege vor allem a1400 bis a1500	Medizin, Destillation, Färberezept und Alchemie	https://quod.lib.umich.edu/m/middle-english-dictionary/dictionary/MED51881	water of X; solution; decoction; distillate; first water; second water	Water kann Rohwasser, Lösung, Kräuterzubereitung, Dekokt oder Destillat bezeichnen; c1475 werden erstes und zweites Destillat unterschieden.	Die breite historische Polysemie macht Wasser ohne Quellen-, Prozess- oder Stufenrahmen gerade nicht eindeutig.
HSR76905	Middle English Dictionary: aqua	datierte Belege ca. 1450 bis 1500	medizinische und alchemische Fachsprache	https://quod.lib.umich.edu/m/middle-english-dictionary/dictionary/MED2024	aqua salutis; aqua rosacea; decoction; solution; solvent; spirit	Aqua-Namen können konkrete zusammengesetzte Arzneiwässer, Lösungen, Lösungsmittel und Destillate statt bloßes Wasser bezeichnen.	Lateinische Fachnamen sind ein Registervergleich; EVA-Formähnlichkeit und Buchstabenwerte erhalten null Kredit.
HSR76906	Middle English Dictionary: sethen	datierte Belege a1400 bis a1500	medizinische und technische Zubereitungsanweisungen	https://quod.lib.umich.edu/m/middle-english-dictionary/dictionary/MED39635	sethen; boil; make a decoction; reduce to half or third	Kochen besitzt einen Patienten oder eine Flüssigkeit und häufig einen Endpunkt wie lange, zur Hälfte oder zum Drittel; das Resultat kann ein Dekokt sein.	Ein bloßer Hitzekontakt benennt weder Kochen noch Dekokt; Richtung und Endpunkt müssen unabhängig beobachtet werden.
HSR76907	Middle English Dictionary: gomme	datierte Belege a1400 bis a1500	Materia medica, Rezept und Künstlerrezept	https://quod.lib.umich.edu/m/middle-english-dictionary/dictionary/MED19071	steep all night; hot in third degree; dry in first	Ein a1475-Beleg legt abgewogene Stoffe in gemessenes Wasser und lässt sie über Nacht ziehen; Chauliac-Belege beschreiben Gummen getrennt nach heißem und trockenem Grad.	Der Einweichbeleg ist technisch-künstlerisch, die Gradbelege medizinisch; beide stützen Rahmenarchitektur, keine Target-Identität.
HSR76908	Middle English Dictionary: in	datierter medizinischer Beleg a1400	Chirurgie und medizinische Zubereitung	https://quod.lib.umich.edu/m/middle-english-dictionary/dictionary/MED22279	lay them in vinegar a day and a night	Lanfrancs Rezept verbindet Einweichpatient, ausdrücklich genanntes Essigmedium und eine Dauer von Tag und Nacht.	Ein einzelner Präpositionsbeleg; Einweichen bleibt nur bei wiederholter gerichteter Patient-Medium-Dauer-Struktur ein Targetkandidat.
HSR76909	Middle English Dictionary: matere	datierter Chauliac-Beleg c1425	Chirurgie und pharmazeutische Zubereitung	https://quod.lib.umich.edu/m/middle-english-dictionary/dictionary/MED27049	colature; strained matter; as much oil as colature	Eine Colatur erscheint als benennbares, messbares Ergebnis; Rosenöl wird in gleicher Menge wie die abgeseihte Materie zugesetzt.	Stützt Filtrat als Produktnomen, nicht automatisch die Identität von ols und nicht Abseihen als Verb.
HSR76910	Lanfrank's Science of Cirurgie, Edition der Handschriften Ashmole 1396 und Add. 12056	Handschriften ca. 1380 und ca. 1420	mittelenglische Chirurgie und Arzneizubereitung	https://quod.lib.umich.edu/c/cme/AHA2727/1%3A1.4?rgn=div2%3Bview%3Dfulltext	decoccioun; stamp; temper; colature	Die Rezeptkette trennt Dekokt, Stampfen/Temperieren und die spätere Anwendung einer Colatur; Medium, Vorgang und Ergebnis sind verschiedene Rollen.	Moderne Edition zweier Textzeugen; historische Architektur, keine lexikalische Brücke zum Voynich-Text.
HSR76911	Middle English Dictionary: pous, medizinischer Beleg aus Med.Bk.(1)	c1450	medizinisches Rezept	https://quod.lib.umich.edu/m/middle-english-dictionary/dictionary/MED34254	powder of mastic; vinegar; oil; mix; anoint	Mastixpulver, Essig und Öl stehen als getrennte Zutaten derselben Misch- und Salbenanweisung; gleiche lokale Rezeptposition identifiziert den Stoff daher nicht.	Der Wörterbuchartikel behandelt primär pulse; relevant ist nur der klar datierte medizinische Rezeptbeleg innerhalb des Artikels.
HSR76912	Middle English Dictionary: part	datierte medizinische Belege a1400 bis a1500	Chirurgie und Materia medica	https://quod.lib.umich.edu/m/middle-english-dictionary/dictionary/MED32497	parts of rose oil and wax; honey and vinegar; fifth part juice	Öl, Wachs, Honig, Essig und Saft können jeweils durch Teileverhältnisse quantifiziert werden; Mengenfähigkeit trennt diese Stoffklassen nicht.	Verhältnisse stützen nur nominale Messbarkeit, keine spezifische Stoffidentität.
HSR76913	Middle English Dictionary: strong	datierte medizinische Belege a1400 bis a1500	Chirurgie, Frauenmedizin und Materia medica	https://quod.lib.umich.edu/m/middle-english-dictionary/dictionary/MED43384	strong vinegar; strong wine; boil in vinegar; add wine and seethe	Wein und Essig erscheinen beide als qualifizierte, erhitzte oder extrahierende Medien; ein bloßer Feucht- oder Hitzekontakt trennt sie nicht.	Verwendungspräferenzen sind graduell; ohne unabhängigen Säure-, Geschmacks- oder Zweckanker müssen Wein und Essig gebunden bleiben.
HSR76914	Middle English Dictionary: drauen	datierte Rezeptbelege c1399 bis a1475	Koch-, Medizin- und Technikwortschatz	https://quod.lib.umich.edu/m/middle-english-dictionary/dictionary/MED12537	draw through a strainer; strain; blend with liquid	Abseihen ist transitiv auf einen Patienten gerichtet und kann durch Sieb- oder Tuchkonstruktionen markiert sein; Mischen mit Flüssigkeit ist eine eigene Lesart.	Mehrdeutiges Verb und teilweise kulinarische Belege; nur gerichtete Rahmen, nicht die englische Lautform, sind übertragbar.
HSR76915	Two Fifteenth-Century Cookery-Books, Harl.279 und Harl.4016	Handschriften ca. 1430 und ca. 1450	kulinarisches technisches Rezeptregister	https://quod.lib.umich.edu/c/cme/CookBk/1%3A8.2?rgn=div2%3Bview%3Dfulltext	wine and vinegar; steep; draw through a strainer; until smooth	Eine vollständige technische Kette nennt Wein und Essig gemeinsam, lässt Material darin ziehen und zieht es wiederholt durch ein Sieb bis zum Ergebniszustand.	Kulinarischer Kontrollzeuge, nicht medizinisch; nur Prozessreihenfolge und Rollentrennung zählen.
HSR76916	Middle English Dictionary: soft, Chauliac-Beleg	c1425	chirurgische Arzneiklassifikation	https://quod.lib.umich.edu/m/middle-english-dictionary/dictionary/MED41325	compound medicines; oils; ointments; plasters; powders	Chauliac nennt Öle, Salben, Pflaster und Pulver als Arten zusammengesetzter Arzneien; Kompositum ist eine praktische nominale Oberklasse, kein leerer Aktionsplatzhalter.	Die Kategorie ist breit und kann ckhy nicht ohne wiederholte nominale Rahmen identifizieren.
HSR76917	Antidotarium Nicolai, mittelniederländische Handschrift und parallele lateinische editio princeps	mittelniederländische Abschrift 1351; lateinischer Druck 1471	pharmazeutisches Antidotarium und Apothekenrezept	https://www.dbnl.org/tekst/_ant004wsva01_01/_ant004wsva01_01_0018.php	deinde; postea; donec; boil until thick; then strain; afterwards add	In zusammenhängenden Salbenrezepten markieren deinde und postea aufeinanderfolgende Arbeitsschritte, während donec den erreichten Endzustand des Kochens oder Auflösens einleitet.	DBNL-Ausgabe von 1917; der parallele lateinische Text folgt dem Druck von 1471, wurde laut Einleitung stellenweise gegen 1581 korrigiert. Nur Rivalenarchitektur; keinerlei EVA-, Laut- oder Teilstringkredit.
