analogue_id	date_or_witness	source	source_locator	url	class	historical_architecture_de	prediction_for_reader_de	discriminates_de	caveat_de
HRA769001	ca. 1380 und ca. 1420	Lanfrank, Science of Cirurgie; Ashmole 1396 und Add. 12056	Edition S. 247, Hämorrhoidenrezept mit Honig und Grünspan	https://quod.lib.umich.edu/c/cme/AHA2727/1%3A1.4.3?rgn=div3%3Bview%3Dfulltext	A_FINAL_MIX	Zwei Teile Honig und ein Teil Grünspan werden als Patienten vorgegeben; danach werden sie zusammen gemischt, erst anschließend folgt die Anwendung am Suppositorium.	ckhy als Mischoperation erwartet links einen Stoff- oder Zutatenplural und kann eine Arbeitsklausel schließen; danach darf dennoch eine Anwendungsklausel folgen.	Ein Mischer hat selbst kein eigenes Mengenfeld; die links gebundene Mehrzahl und die spätere Anwendung trennen ihn von einem Nomen wie Mischung oder Arznei.	Mittelenglisches medle ist nur ein Funktionsanalogon zu misce; keinerlei Laut-, Zeichen- oder Wortgleichheitskredit.
HRA769002	ca. 1380 und ca. 1420	Lanfrank, Science of Cirurgie; Ashmole 1396 und Add. 12056	Edition S. 247, Rezept aus Weihrauch, Myrrhe, Lycium, Safran und Opium	https://quod.lib.umich.edu/c/cme/AHA2727/1%3A1.4.3?rgn=div3%3Bview%3Dfulltext	A_FINAL_MIX	Mehrere Stoffe stehen mit Ein- und Zwei-Teile-Mengen; sie werden gemahlen, mit Eigelb, Flohsamensaft und Rosenöl gemischt und danach ausdrücklich zu einer Salbe gemacht.	ckhy darf als klauselfinales mischen gelesen werden, aber nicht automatisch als rezeptfinal: ein eigenes Produkt- oder Formnomen kann rechts bzw. im Folgeschritt entstehen.	Die Folge Zutaten und Mengen > mahlen > mit Medien mischen > Salbe herstellen trennt Operation, Mischmedien und Endform sauber.	Die beiden datierten Handschriften überliefern eine Übersetzung; relevant ist nur die Abfolge, nicht die englische Wortform.
HRA769003	2. Viertel 15. Jh.; konventionell c1425	John Arderne, Treatises of Fistula in Ano; Sloane 6	Edition S. 30-31, Herstellung von Tapsimel und Diaflosmus	https://quod.lib.umich.edu/c/cme/ArderneFistula/1%3A6?rgn=div1%3Bview%3Dfulltext	A_FINAL_MIX	Kräutersaft wird mit gleich viel geklärtem Honig gemischt und eingekocht; bei Gebrauch folgen Eiweiß, Mehl nach Bedarf, Öl, Wachs und Terpentin, mit wiederholtem Mischen bis ein Körper entsteht und anschließendem Einlagern.	Ein historisch plausibler Mischmarker kann mehrfach im selben Herstellungsweg auftreten und jeweils eine Zutatenetappe abschließen; er bezeichnet nicht notwendig das fertige Präparat.	Wiederholte neue Zutaten nach dem ersten Mischschritt widerlegen die Regel Mischwort gleich endgültiger Rezeptabschluss.	Die Datierung betrifft den englischen Textzeugen Sloane 6; Ardernes zugrunde liegendes Werk ist älter.
HRA769004	1471; älterer Antidotarium-Rezeptbestand	Antidotarium Nicolai, lateinische editio princeps in der Ausgabe Van den Berg	Rezept 11, Druckseite 23; PDF S. 64	https://www.dbnl.org/tekst/_ant004wsva01_01/_ant004wsva01_01.pdf	A_FINAL_MIX	Abgewogene Stoffe werden gemahlen, gesiebt, zu Trochisci geformt und getrocknet; dann werden sie mit vier Unzen Öl gemischt, danach mit weiteren Gewürzen vereinigt und erneut geformt.	ckhy passt als misce oder misceantur nur dann, wenn die lokale Syntax einen Stoffpatienten und meist ein mit-Medium liefert; Zeilenende allein genügt nicht.	Der Beleg zeigt misceantur tatsächlich nach Mengen, zugleich aber mitten in einer mehrstufigen Kette; das diskriminiert Operation gegen Endprodukt.	Der lateinische Druck liegt 21 Jahre hinter dem Kernfenster und wurde in der Ausgabe punktuell kollationiert; nur nahzeitliche Architekturkontrolle.
HRA769005	2. Viertel 15. Jh.; konventionell c1425	John Arderne, Treatises of Fistula in Ano; Sloane 6	Edition S. 12, Malvenpflaster	https://quod.lib.umich.edu/c/cme/ArderneFistula/1%3A6?rgn=div1%3Bview%3Dfulltext	B_SEQUENCE_MARKER	Malven werden gekocht bis sie weich sind; dann aus dem Wasser genommen und ausgepresst, danach klein gehackt, dann mit Öl, Butter oder Fett gebraten.	otar als dann oder danach muss vor ganz verschiedenen Folgeschritten stehen dürfen: Entnehmen, Pressen, Zerkleinern und Erhitzen; eine einheitliche Bewegungsrichtung ist nicht zu erwarten.	Richtungswechsel sind für einen echten Schrittmarker positives Verhalten, nicht Inkonsistenz; ein eigener Zahlenwert oder eine Patientenrolle wäre dagegen belastend.	Mittelenglisches þan oder aftir ist funktional, nicht lexikalisch, mit deinde oder postea verglichen.
HRA769006	1471; älterer Antidotarium-Rezeptbestand	Antidotarium Nicolai, lateinische editio princeps in der Ausgabe Van den Berg	Rezept 12, Druckseite 23; PDF S. 64	https://www.dbnl.org/tekst/_ant004wsva01_01/_ant004wsva01_01.pdf	B_SEQUENCE_MARKER	Nach dem Schmelzen folgen mit postea Aloe, mit deinde Moschus und zuletzt Kampfer; ein weiteres postea leitet Kneten, Herausnehmen, Ausbreiten, Abkühlen und Schneiden ein.	otar als deinde oder postea soll klauselnah links vor einer Operation oder Zugabe stehen und keine feste Quelle-Ziel-Richtung verlangen.	Dasselbe Markerfeld verbindet Zugabe, Entnahme, Formung und Zustandswechsel; semantische Glätte der Operationsrichtung wäre historisch falsch.	Nahzeitliche Kontrolle außerhalb des Kernfensters; deinde und postea werden als gebundene Funktionsklasse, nicht als Voynich-Wortidentität behandelt.
HRA769007	1471; älterer Antidotarium-Rezeptbestand	Antidotarium Nicolai, lateinische editio princeps in der Ausgabe Van den Berg	Unguentum-Rezept, Druckseite 187; PDF S. 251	https://www.dbnl.org/tekst/_ant004wsva01_01/_ant004wsva01_01.pdf	B_ENDPOINT_VS_SEQUENCE	Kräuter kochen donec sie zerfallen; postea werden sie durch einen Sack abgeseiht, wieder auf das Feuer gesetzt und beim Sieden ergänzt.	Für otar gewinnt bis nur bei der Form Vorgang links > otar > beobachtbarer Endzustand rechts; dann oder danach gewinnt bei otar > neuer selbständiger Vorgang.	Der Minimalgegensatz donec versus postea diskriminiert stärker als Stoffnähe: donec beendet die aktuelle Operation, postea eröffnet die nächste.	Der lateinische Textzeuge ist 1471; das Muster ist daher ein nahzeitlicher Kontrollbeleg, kein Identitätsbeweis.
HRA769008	ca. 1380 und ca. 1420	Lanfrank, Science of Cirurgie; Ashmole 1396 und Add. 12056	Edition S. 247, zwei benachbarte Hämorrhoidenrezepte	https://quod.lib.umich.edu/c/cme/AHA2727/1%3A1.4.3?rgn=div3%3Bview%3Dfulltext	C_AMOUNT_AND_RELATORS	Mengen hängen direkt an Stoffen oder an Teileangaben; und verbindet gleichrangige Zutaten, während with das Mischmedium einführt.	ol sollte im Reader höchstens Verknüpfungs- oder Feldrelation heißen und positionsabhängig als und, mit oder von ausgegeben werden; nicht als Pflanzenauszug.	Die historischen Relatoren sind funktionsverschieden: Koordination zwischen Gleichrangigem, Medium nach Mischverb und Mengenbezug am Stoff. Eine einzige unbedingte deutsche Übersetzung verwischt diese Tests.	Englische Funktionswörter ersetzen hier die lateinischen et, cum und den Genitiv; dies ist ein Architektur-, kein Wortformvergleich.
HRA769009	1471; älterer Antidotarium-Rezeptbestand	Antidotarium Nicolai, lateinische editio princeps in der Ausgabe Van den Berg	Mehrere Rezepturen, unter anderem Rezepte 11, 28 und 86	https://www.dbnl.org/tekst/_ant004wsva01_01/_ant004wsva01_01.pdf	C_AMOUNT_RELATION	Die Zutatenlisten setzen den Stoff meist in den Genitiv und hängen das Gewicht direkt an; ana bündelt gleiche Mengen, et koordiniert Stoffe oder Teilmaße. Ein allgemeines de ist für den Mengenanschluss nicht nötig.	Ein ol unmittelbar zwischen Wertfeld und Stoff kann strukturell von oder Mengenanschluss bedeuten; historisch folgt daraus aber gerade keine feste lexikalische Gleichsetzung mit de.	Wenn ol auch außerhalb von Mengenanschlüssen sehr breit steht, spricht das eher für Separator oder Feldrelation als für ein konkretes Stoffnomen oder eine einzige Präposition.	Der lateinische Textzeuge liegt knapp außerhalb des Zeitfensters; zudem ist lateinischer Genitivbau nicht direkt auf eine unbekannte Notation übertragbar.
HRA769010	1471; älterer Antidotarium-Rezeptbestand	Antidotarium Nicolai, lateinische editio princeps in der Ausgabe Van den Berg	Rezept 27/28, Druckseite 28; PDF S. 104	https://www.dbnl.org/tekst/_ant004wsva01_01/_ant004wsva01_01.pdf	C_CUM_ADMINISTRATION	Nach der Rezeptur steht eine Dosis von zwei Drachmen cum vino calido; cum verknüpft die abgemessene Gabe mit ihrem Einnahmemedium, nicht die Zahl mit dem Arzneistoff.	Falls ol in einer Wert-plus-Medium-Zelle steht, darf mit die lokale Ausgabe sein; dieselbe Stelle ist kein Beleg für ol gleich Flüssigkeit oder Auszug.	Mengenrelation und Begleitmedium sind getrennte Kanten. Die rechte Nachbarschaft allein reicht nicht; die Rolle des linken Kopfes muss mitentscheiden.	Nahzeitlicher lateinischer Kontrollzeuge von 1471.
