identity_id	target_surface	required_role_model	candidate_class	candidate_label_de	candidate_renderer_de	candidate_status	required_two_axis_signature	fatal_counter_signature	minimum_distinct_pages_total	ablate_strongest_locus	minimum_remaining_support_pages	evidence_rationale_de	counterevidence_de	tie_policy_de	historical_category_only	default_is_translation	eva_latin_credit	substring_export_credit	confirmed_lexeme
I01_OL_BASE	ol	R01_NOMINAL_SUBSTANCE_PREPARATION	PORTABLE_BASELINE	Zubereitungsbasis	Ansatz/Zubereitungsbasis	CHALLENGER	ROLE_R01 AND (F01_AMOUNT_DIRECT OR F02_VALUE_DIRECT)	NONE	2	1	1	Bewahrt das mengenfähige nominale Gegenmodell, falls ol tatsächlich die Inhaltsseite einer Menge besetzt	Die Mengenadjazenzen sind fast symmetrisch orientiert und ol fädelt wiederholt selbständige Felder aneinander; das kann Relation statt Stoff bedeuten	Eine spezifische Stoffkarte muss diese Baseline übertreffen; gegen I36 entscheidet die lokal gebundene Rolle, nicht die Häufigkeit	0	0	0	0	0
I02_OL_OIL	ol	R01_NOMINAL_SUBSTANCE_PREPARATION	LIQUID_OIL	Öl	Öl oder ölige Grundlage	CHALLENGER	F01_AMOUNT_DIRECT AND (F08_HOT_R2 OR F06_TARGET_BEFORE_PROCESS)	ONLY_ONE_AMOUNT_PLUS_PROCESS_LOCUS OR EVA_SPELLING_ONLY	2	1	1	Öl ist messbar, erhitzbar und filtrierbar; der Rahmen darf die Identität aber nur über vollständige unabhängige Anker tragen	Keine Feuchtauswahl und bislang nur ein besonders starker ol-s-aiin-oly-Beleg	Bei Gleichstand gewinnt I01_OL_BASE; EVA ol gegen lateinisch oleum zählt null	1	0	0	0	0
I03_OL_WATER	ol	R01_NOMINAL_SUBSTANCE_PREPARATION	AQUEOUS_SOLVENT	Wasser	Wasser als Ansatzmedium	CHALLENGER	F01_AMOUNT_DIRECT AND (F04_MOIST_R2 OR F09_COLD_R2)	NO_SECOND_PAGE_MOIST_OR_COLD_SUPPORT_AFTER_ABLATION	2	1	1	Wasser erwartet messbare Medium- und Feucht- oder Kälterahmen	Die bekannte Gesamtverteilung ist nicht feuchtselektiv	Bei Gleichstand mit Wein oder Essig bleibt nur wässriges oder fermentiertes Medium offen	1	0	0	0	0
I04_OL_WINE	ol	R01_NOMINAL_SUBSTANCE_PREPARATION	FERMENTED_SOLVENT	Wein	Wein als Ansatzmedium	CHALLENGER	F01_AMOUNT_DIRECT AND F04_MOIST_R2 AND F10_PART_OR_CONTENT_R2	NO_SECOND_PAGE_CONTENT_PLUS_MOIST_SUPPORT_AFTER_ABLATION	2	1	1	Wein ist als gemessenes Auszugs- oder Einweichmedium mit Pflanzeninhalt historisch plausibel	Kein unabhängiger Alkohol- oder Weinfelderanker vorhanden	Bei Gleichstand mit Essig keine Einzelidentität ausgeben	1	0	0	0	0
I05_OL_VINEGAR	ol	R01_NOMINAL_SUBSTANCE_PREPARATION	FERMENTED_ACID_SOLVENT	Essig	Essig als Ansatzmedium	CHALLENGER	F01_AMOUNT_DIRECT AND F04_MOIST_R2 AND F10_PART_OR_CONTENT_R2	NO_INDEPENDENT_ACID_OR_PURPOSE_DISCRIMINATOR	2	1	1	Essig ist ein möglicher historischer Auszugs- und Einweichträger	Der aktuelle Cache besitzt keinen unabhängigen Säureanker; Rahmenvorhersage überlappt mit Wein	Bei Gleichstand mit Wein oder Wasser nur Lösungsmittelklasse offenlassen	1	0	0	0	0
I06_CKHY_MIXTURE	ckhy	R01_NOMINAL_SUBSTANCE_PREPARATION	PORTABLE_BASELINE	Mischung oder Kompositum	Mischung/Kompositum	CHALLENGER	ROLE_R01 AND (F01_AMOUNT_DIRECT OR F02_VALUE_DIRECT OR F11_H1_BOUNDED_VALUE)	NONE	2	1	1	Bewahrt den nominalen Anfangsstufen- und Mengenrahmen ohne Mediumbehauptung	Sechs von 25 Vorkommen sind zeilenfinal, keines zeileninitial; der gerichtete Mischvorgang ist daher derzeit stärker	Das Nomen bleibt Rivale, bis der Prozessslot auch die 19 medialen Stellen erklärt	0	0	0	0	0
I07_CKHY_WATER	ckhy	R01_NOMINAL_SUBSTANCE_PREPARATION	AQUEOUS_MEDIUM	Wasser	Wasser als Mischmedium	CHALLENGER	F01_AMOUNT_DIRECT AND F04_MOIST_R2	NO_SECOND_PAGE_MOIST_SUPPORT_AFTER_ABLATION	2	1	1	Ein Wasserwort sollte messbar sein und unabhängig wiederholt in Feuchtrahmen stehen	Der erweiterte GDT762-Pass fand außerhalb der Entdeckung keine Feuchtauswahl	Bei Gleichstand gewinnt I06_CKHY_MIXTURE	1	0	0	0	0
I08_CKHY_WINE_VINEGAR	ckhy	R01_NOMINAL_SUBSTANCE_PREPARATION	FERMENTED_MEDIUM	Wein oder Essig	Wein- oder Essigmedium	CHALLENGER	F01_AMOUNT_DIRECT AND F04_MOIST_R2 AND F10_PART_OR_CONTENT_R2	NO_INDEPENDENT_ALCOHOL_OR_ACID_DISCRIMINATOR	2	1	1	Fermentiertes Medium erwartet Menge, Feuchtbindung und Pflanzeninhalt	Kein Alkohol- oder Säureanker trennt Wein von Essig	Wein und Essig bleiben eine gemeinsame Rivalenklasse	1	0	0	0	0
I09_CKHY_SOAK	ckhy	R02_PROCESS_OPERATION	SOAK_PROCESS	Einweichen oder Mazerieren	Einweichen/Mazerieren	CHALLENGER	F05_PROCESS_SLOT_FINAL AND F04_MOIST_R2	REPEATED_AMOUNT_OR_BOUND_VALUE_WITHOUT_PROCESS_DIRECTION	2	1	1	Einweichvorgang braucht gerichteten Patienten und Feucht- oder Ergebnisbindung	Bestehende Evidenz beschreibt ckhy nominal, nicht als Vorgang	Bei Rollengleichstand bleibt ckhy nominal	1	0	0	0	0
I10_PCHEEY_FIELD	pcheey	R04_BOUND_RECORD_FIELD	PORTABLE_BASELINE	Zubereitungs- oder Form-II-Feld	gebundenes Zubereitungs-/Form-II-Feld	CURRENT_CONCRETE_DEFAULT	F11_H1_BOUNDED_VALUE AND F04_MOIST_R2	NONE	2	1	1	Zwei von drei Vorkommen besitzen den X-daiin-Rahmen und alle drei folgen unmittelbar auf ein vollständiges Feucht- oder Zubereitungswort	F03 liefert keinen einzigen Trockenrahmen; die Rubrik benennt weder Stoff noch Aggregatzustand	Pulver, Rückstand oder Paste brauchen jeweils eine eigene unabhängige Stoff- oder Ergebnisachse	0	0	0	0	0
I11_PCHEEY_POWDER	pcheey	R01_NOMINAL_SUBSTANCE_PREPARATION	DRY_POWDER	Pulver oder Trockendroge	Pulver/Trockendroge Form II	CHALLENGER	(F01_AMOUNT_DIRECT OR F02_VALUE_DIRECT) AND F03_DRY_R2	ONLY_POST_MOIST_H1_FIELD_WITHOUT_INDEPENDENT_DRY_OR_AMOUNT_HEAD	2	1	1	Pulver sollte als messbares Trockengut in mindestens zwei unabhängigen Ganzwortrahmen erscheinen	Alter Pulverwert kam ausschließlich aus EVA-p gleich pulvis und zählt null	Bei Scheitern bleibt I10_PCHEEY_FIELD; keine p-Komponente exportieren	1	0	0	0	0
I12_PCHEEY_RESIDUE	pcheey	R03_PRODUCT_RESULT	POST_SOAK_RESIDUE	Rückstand nach Einweichen	Trockener Rückstand nach Einweichen	CHALLENGER	F04_MOIST_R2 AND F07_LINE_FINAL_OR_CLOSE AND (F03_DRY_R2 OR F06_TARGET_BEFORE_PROCESS)	NO_PROCESS_PASS_CLOSE_OR_RESULT_GEOMETRY_WITHIN_R3	2	1	1	Ein Rückstand braucht Feuchtquelle plus Ergebnis- oder Abschlussgeometrie	Alle drei bisherigen Vorkommen sind medial; kein PROCESS, PASS oder CLOSE innerhalb R3	Bei Scheitern bleibt I10_PCHEEY_FIELD	1	0	0	0	0
I13_OLS_FILTRATE	ols	R03_PRODUCT_RESULT	FILTERED_PRODUCT	abgeseihte Zubereitung oder Filtrat	abgeseihte Zubereitung/Filtrat	CHALLENGER	(F01_AMOUNT_DIRECT OR F02_VALUE_DIRECT) AND F07_LINE_FINAL_OR_CLOSE AND F06_TARGET_BEFORE_PROCESS	NO_SECOND_PAGE_PRODUCT_SIGNATURE_AFTER_ABLATION OR NO_INDEPENDENT_SEPARATION_PROCESS	2	1	1	Wertkontakte plus terminale Verwendung passen zu einem messbaren Produkt; Filtrat verlangt zusätzlich einen unabhängigen Herstellungsbezug	Der Herstellungsprozess ist nicht unabhängig identifiziert	Bei Gleichstand mit allgemeinem Abschlussprodukt die Herstellungsart offenlassen	1	0	0	0	0
