level	subset	template_count	record_count	record_coverage_fraction	template_ids
STRICT	all_templates	120	135	1.000000	G480-T001|G480-T002|G480-T003|G480-T004|G480-T005|G480-T006|G480-T007|G480-T008|G480-T009|G480-T010|G480-T011|G480-T012|G480-T013|G480-T014|G480-T015|G480-T016|G480-T017|G480-T018|G480-T019|G480-T020|G480-T021|G480-T022|G480-T023|G480-T024|G480-T025|G480-T026|G480-T027|G480-T028|G480-T029|G480-T030|G480-T031|G480-T032|G480-T033|G480-T034|G480-T035|G480-T036|G480-T037|G480-T038|G480-T039|G480-T040|G480-T041|G480-T042|G480-T043|G480-T044|G480-T045|G480-T046|G480-T047|G480-T048|G480-T049|G480-T050|G480-T051|G480-T052|G480-T053|G480-T054|G480-T055|G480-T056|G480-T057|G480-T058|G480-T059|G480-T060|G480-T061|G480-T062|G480-T063|G480-T064|G480-T065|G480-T066|G480-T067|G480-T068|G480-T069|G480-T070|G480-T071|G480-T072|G480-T073|G480-T074|G480-T075|G480-T076|G480-T077|G480-T078|G480-T079|G480-T080|G480-T081|G480-T082|G480-T083|G480-T084|G480-T085|G480-T086|G480-T087|G480-T088|G480-T089|G480-T090|G480-T091|G480-T092|G480-T093|G480-T094|G480-T095|G480-T096|G480-T097|G480-T098|G480-T099|G480-T100|G480-T101|G480-T102|G480-T103|G480-T104|G480-T105|G480-T106|G480-T107|G480-T108|G480-T109|G480-T110|G480-T111|G480-T112|G480-T113|G480-T114|G480-T115|G480-T116|G480-T117|G480-T118|G480-T119|G480-T120
STRICT	recurrent	13	28	0.207407	G480-T003|G480-T005|G480-T012|G480-T023|G480-T030|G480-T036|G480-T037|G480-T038|G480-T048|G480-T050|G480-T061|G480-T071|G480-T116
STRICT	cross_page	5	12	0.088889	G480-T003|G480-T005|G480-T012|G480-T050|G480-T071
STRICT	cross_register	3	8	0.059259	G480-T005|G480-T050|G480-T071
STRICT	stable_recurrent	13	28	0.207407	G480-T003|G480-T005|G480-T012|G480-T023|G480-T030|G480-T036|G480-T037|G480-T038|G480-T048|G480-T050|G480-T061|G480-T071|G480-T116
STRICT	multisurface_recurrent	8	18	0.133333	G480-T003|G480-T005|G480-T012|G480-T048|G480-T050|G480-T061|G480-T071|G480-T116
ROLE	all_templates	105	135	1.000000	G480-S001|G480-S002|G480-S003|G480-S004|G480-S005|G480-S006|G480-S007|G480-S008|G480-S009|G480-S010|G480-S011|G480-S012|G480-S013|G480-S014|G480-S015|G480-S016|G480-S017|G480-S018|G480-S019|G480-S020|G480-S021|G480-S022|G480-S023|G480-S024|G480-S025|G480-S026|G480-S027|G480-S028|G480-S029|G480-S030|G480-S031|G480-S032|G480-S033|G480-S034|G480-S035|G480-S036|G480-S037|G480-S038|G480-S039|G480-S040|G480-S041|G480-S042|G480-S043|G480-S044|G480-S045|G480-S046|G480-S047|G480-S048|G480-S049|G480-S050|G480-S051|G480-S052|G480-S053|G480-S054|G480-S055|G480-S056|G480-S057|G480-S058|G480-S059|G480-S060|G480-S061|G480-S062|G480-S063|G480-S064|G480-S065|G480-S066|G480-S067|G480-S068|G480-S069|G480-S070|G480-S071|G480-S072|G480-S073|G480-S074|G480-S075|G480-S076|G480-S077|G480-S078|G480-S079|G480-S080|G480-S081|G480-S082|G480-S083|G480-S084|G480-S085|G480-S086|G480-S087|G480-S088|G480-S089|G480-S090|G480-S091|G480-S092|G480-S093|G480-S094|G480-S095|G480-S096|G480-S097|G480-S098|G480-S099|G480-S100|G480-S101|G480-S102|G480-S103|G480-S104|G480-S105
ROLE	recurrent	21	51	0.377778	G480-S002|G480-S003|G480-S005|G480-S008|G480-S012|G480-S014|G480-S020|G480-S021|G480-S022|G480-S027|G480-S029|G480-S032|G480-S034|G480-S035|G480-S040|G480-S044|G480-S045|G480-S046|G480-S054|G480-S063|G480-S079
ROLE	cross_page	13	33	0.244444	G480-S002|G480-S003|G480-S005|G480-S008|G480-S012|G480-S014|G480-S027|G480-S032|G480-S045|G480-S046|G480-S054|G480-S063|G480-S079
ROLE	cross_register	8	22	0.162963	G480-S005|G480-S014|G480-S027|G480-S032|G480-S045|G480-S046|G480-S054|G480-S063
ROLE	multi_component_recurrent	13	33	0.244444	G480-S002|G480-S008|G480-S014|G480-S020|G480-S021|G480-S027|G480-S032|G480-S040|G480-S044|G480-S045|G480-S046|G480-S054|G480-S079
