strict_template_id	strict_semantic_frame	record_count	page_count	register_count	recurrence_class	recipe_variant_count	recipe_frames	surface_type_count	surface_recurrence_mode	phrase_variant_count	canonical_owner_neutral_phrase_de	phrase_stable	name_slot_count	pages	registers	record_ids	surface_examples	reading_examples_de	claim_status
G480-T001	CATALOGUE[DANACH · {N1} @START_FRESH_SIBLING:FORWARD_OPEN / {N2} @NONE]	1	1	1	SINGLETON	1	CATALOGUE[OT @START_FRESH_SIBLING:FORWARD_OPEN / NONE @NONE]	1	SINGLETON	1	1. Namenseintrag »{N1}« — Folgevermerk. 2. Namenseintrag »{N2}«. Reihenfolge konkret: OT — danach Namenseintrag »{N1}«.	YES	2	f17r	HERBAL	G475-R001	oteeeon|oiil	1. Pflanzenname »eeeon« — Folgevermerk. 2. Pflanzenname »oiil«. Reihenfolge konkret: OT — danach Pflanze »eeeon«.	OWNER_NEUTRAL_WORKING_TEMPLATE__NO_NEW_MEANING
G480-T002	CATALOGUE[AUSGANG @NONE / AUSGANG · {N1} @NONE]	1	1	1	SINGLETON	1	CATALOGUE[AR @NONE / AR @NONE]	1	SINGLETON	1	1. Eintrag »{N1}« — Ausgangszuordnung. 2. Namenseintrag »{N2}« — Ausgangszuordnung.	YES	1	f71v	CELESTIAL	G475-R002	char|arom	1. Eintrag »char« — Ausgangszuordnung. 2. Sternstelle »om« — Ausgangszuordnung.	OWNER_NEUTRAL_WORKING_TEMPLATE__NO_NEW_MEANING
G480-T003	CATALOGUE[{N1} · ZIELORT · POSTEN @NONE]	2	2	1	CROSS_PAGE	1	CATALOGUE[AL+Y @NONE]	2	MULTIPLE_SURFACES	1	Namenseintrag »{N1}« — Zielzuordnung, Postenangabe.	YES	1	f71v|f72r	CELESTIAL	G475-R003|G475-R059	chfaly || ainaly	Sternstelle »chf« — Zielzuordnung, Postenangabe. || Sternstelle »ain« — Zielzuordnung, Postenangabe.	OWNER_NEUTRAL_WORKING_TEMPLATE__NO_NEW_MEANING
G480-T004	INSTRUCTION[SETZEN · FORTSETZEN · AUSGANG @KEEP_ACTIVE_UNIT:BRIDGE_LEFT_TO_RIGHT]	1	1	1	SINGLETON	1	INSTRUCTION[OK+OL+AR @KEEP_ACTIVE_UNIT:BRIDGE_LEFT_TO_RIGHT]	1	SINGLETON	1	Weiter setze den Eintrag vom Ausgang. Reihenfolge konkret: OL — Setzen in Ausgang weiterführen.	YES	0	f71v	CELESTIAL	G475-R004	okolar	Weiter setze den Eintrag von der Ausgangsposition. Reihenfolge konkret: OL — Setzen in Ausgang weiterführen.	OWNER_NEUTRAL_WORKING_TEMPLATE__NO_NEW_MEANING
G480-T005	CATALOGUE[DANACH · {N1} @START_FRESH_SIBLING:FORWARD_OPEN]	4	3	3	CROSS_REGISTER	1	CATALOGUE[OT @START_FRESH_SIBLING:FORWARD_OPEN]	4	MULTIPLE_SURFACES	1	Namenseintrag »{N1}« — Folgevermerk. Reihenfolge konkret: OT — danach Namenseintrag »{N1}«.	YES	1	f71v|f77r|f88v	CELESTIAL|BIOLOGICAL|PHARMA	G475-R005|G475-R087|G475-R100|G475-R105	otchody || otork || otora || otdordy	Sternstelle »chody« — Folgevermerk. Reihenfolge konkret: OT — danach Sternstelle »chody«. || Badstation »ork« — Folgevermerk. Reihenfolge konkret: OT — danach Badstation »ork«. || Droge »ora« — Folgevermerk. Reihenfolge konkret: OT — danach Droge »ora«.	OWNER_NEUTRAL_WORKING_TEMPLATE__NO_NEW_MEANING
G480-T006	INSTRUCTION[ZIELORT · NEHMEN · EINSETZEN · POSTEN @NONE]	1	1	1	SINGLETON	1	INSTRUCTION[AL+CH+P+Y @NONE]	1	SINGLETON	1	Nimm den Posten auf und setze den Posten ein zum Zielort.	YES	0	f71v	CELESTIAL	G475-R006	alcphy	Nimm den Positionsposten auf und setze den Positionsposten ein zur Zielposition.	OWNER_NEUTRAL_WORKING_TEMPLATE__NO_NEW_MEANING
G480-T007	COORDINATE[DANACH · WERT @START_FRESH_SIBLING:FORWARD_OPEN]	1	1	1	SINGLETON	1	COORDINATE[OT+AIIN @START_FRESH_SIBLING:FORWARD_OPEN]	1	SINGLETON	1	Adressspur: danach → Wert. Reihenfolge konkret: OT — danach Wert.	YES	0	f71v	CELESTIAL	G475-R007	otaiin	Adressspur: danach → Positionswert. Reihenfolge konkret: OT — danach Wert.	OWNER_NEUTRAL_WORKING_TEMPLATE__NO_NEW_MEANING
G480-T008	INSTRUCTION[SETZEN · AUSGANG · WERT @NONE]	1	1	1	SINGLETON	1	INSTRUCTION[OK+AR+AIIN @NONE]	1	SINGLETON	1	Setze den Wert vom Ausgang.	YES	0	f71v	CELESTIAL	G475-R008	okaraiin	Setze den Positionswert von der Ausgangsposition.	OWNER_NEUTRAL_WORKING_TEMPLATE__NO_NEW_MEANING
G480-T009	COORDINATE[DANACH · AUSGANG @START_FRESH_SIBLING:FORWARD_OPEN / AUSGANG @NONE / ZIELORT · POSTEN @NONE]	1	1	1	SINGLETON	1	COORDINATE[OT+AR @START_FRESH_SIBLING:FORWARD_OPEN / AR @NONE / AL+Y @NONE]	1	SINGLETON	1	1. Adressspur: danach → Ausgang. 2. Adressspur: Ausgang. 3. Adressspur: Zielort → Posten. Reihenfolge konkret: OT — danach Ausgang.	YES	0	f71v	CELESTIAL	G475-R009	otar|ar|aly	1. Adressspur: danach → Ausgangsposition. 2. Adressspur: Ausgangsposition. 3. Adressspur: Zielposition → Positionsposten. Reihenfolge konkret: OT — danach Ausgang.	OWNER_NEUTRAL_WORKING_TEMPLATE__NO_NEW_MEANING
G480-T010	COORDINATE[{N1} · ZIELORT · AUSGANG @NONE / HIER @NONE / ANTEIL @NONE]	1	1	1	SINGLETON	1	COORDINATE[AL+AR @NONE / AM_ADDR @NONE / AIN @NONE]	1	SINGLETON	1	1. Adressspur: Namenseintrag »{N1}« → Zielort → Ausgang. 2. Adressspur: hier. 3. Adressspur: Anteil.	YES	1	f71v	CELESTIAL	G475-R010	opalar|am|dan	1. Adressspur: Sternstelle »op« → Zielposition → Ausgangsposition. 2. Adressspur: hier. 3. Adressspur: Sektoranteil.	OWNER_NEUTRAL_WORKING_TEMPLATE__NO_NEW_MEANING
