role_shape_id	role_shape_frame	record_count	strict_template_count	strict_template_ids	page_count	register_count	recurrence_class	pages	registers	record_ids	surface_examples	claim_status
G480-S001	CATALOGUE[ORDER · NAME @START_FRESH_SIBLING:FORWARD_OPEN / NAME @NONE]	1	1	G480-T001	1	1	SINGLETON	f17r	HERBAL	G475-R001	oteeeon|oiil	ROLE_SHAPE_ONLY__USE_STRICT_TEMPLATE_FOR_READING
G480-S002	CATALOGUE[REL @NONE / REL · NAME @NONE]	2	2	G480-T002|G480-T022	2	1	CROSS_PAGE	f71v|f72r	CELESTIAL	G475-R002|G475-R022	char|arom || char|alif	ROLE_SHAPE_ONLY__USE_STRICT_TEMPLATE_FOR_READING
G480-S003	CATALOGUE[NAME · REL · ARG @NONE]	2	1	G480-T003	2	1	CROSS_PAGE	f71v|f72r	CELESTIAL	G475-R003|G475-R059	chfaly || ainaly	ROLE_SHAPE_ONLY__USE_STRICT_TEMPLATE_FOR_READING
G480-S004	INSTRUCTION[ACTION · ORDER · REL @KEEP_ACTIVE_UNIT:BRIDGE_LEFT_TO_RIGHT]	1	1	G480-T004	1	1	SINGLETON	f71v	CELESTIAL	G475-R004	okolar	ROLE_SHAPE_ONLY__USE_STRICT_TEMPLATE_FOR_READING
G480-S005	CATALOGUE[ORDER · NAME @START_FRESH_SIBLING:FORWARD_OPEN]	4	1	G480-T005	3	3	CROSS_REGISTER	f71v|f77r|f88v	CELESTIAL|BIOLOGICAL|PHARMA	G475-R005|G475-R087|G475-R100|G475-R105	otchody || otork || otora || otdordy	ROLE_SHAPE_ONLY__USE_STRICT_TEMPLATE_FOR_READING
G480-S006	INSTRUCTION[REL · ACTION · ACTION · ARG @NONE]	1	1	G480-T006	1	1	SINGLETON	f71v	CELESTIAL	G475-R006	alcphy	ROLE_SHAPE_ONLY__USE_STRICT_TEMPLATE_FOR_READING
G480-S007	COORDINATE[ORDER · ARG @START_FRESH_SIBLING:FORWARD_OPEN]	1	1	G480-T007	1	1	SINGLETON	f71v	CELESTIAL	G475-R007	otaiin	ROLE_SHAPE_ONLY__USE_STRICT_TEMPLATE_FOR_READING
G480-S008	INSTRUCTION[ACTION · REL · ARG @NONE]	3	2	G480-T008|G480-T038	2	1	CROSS_PAGE	f71v|f72r	CELESTIAL	G475-R008|G475-R040|G475-R048	okaraiin || okaly || okaly	ROLE_SHAPE_ONLY__USE_STRICT_TEMPLATE_FOR_READING
G480-S009	COORDINATE[ORDER · REL @START_FRESH_SIBLING:FORWARD_OPEN / REL @NONE / REL · ARG @NONE]	1	1	G480-T009	1	1	SINGLETON	f71v	CELESTIAL	G475-R009	otar|ar|aly	ROLE_SHAPE_ONLY__USE_STRICT_TEMPLATE_FOR_READING
G480-S010	COORDINATE[NAME · REL · REL @NONE / MOD @NONE / ARG @NONE]	1	1	G480-T010	1	1	SINGLETON	f71v	CELESTIAL	G475-R010	opalar|am|dan	ROLE_SHAPE_ONLY__USE_STRICT_TEMPLATE_FOR_READING
G480-S011	CATALOGUE[NAME · REL · ARG @NONE / REL @NONE]	1	1	G480-T011	1	1	SINGLETON	f71v	CELESTIAL	G475-R011	opalor|ar	ROLE_SHAPE_ONLY__USE_STRICT_TEMPLATE_FOR_READING
G480-S012	CATALOGUE[MOD · MOD · NAME @NONE]	2	1	G480-T012	2	1	CROSS_PAGE	f71v|f72r	CELESTIAL	G475-R012|G475-R032	ofaom || ofchdamy	ROLE_SHAPE_ONLY__USE_STRICT_TEMPLATE_FOR_READING
G480-S013	CATALOGUE[ORDER · REL · NAME @START_FRESH_SIBLING:FORWARD_OPEN]	1	1	G480-T013	1	1	SINGLETON	f71v	CELESTIAL	G475-R013	otalody	ROLE_SHAPE_ONLY__USE_STRICT_TEMPLATE_FOR_READING
