template_assignment_id	record_id	physical_page	register	page_record_ordinal	record_start_role	bundle_count	event_count	bundle_ids	surface_sequence	active_model_sequence	strict_template_id	strict_template_record_count	strict_recurrence_class	strict_semantic_frame	recipe_frame	role_shape_id	role_shape_record_count	role_recurrence_class	role_shape_frame	literal_name_slot_count	owner_neutral_phrase_de	definitive_record_reading_de	all_sequences_have_default
G480-A001	G475-R001	f17r	HERBAL	1	PAGE_START	1	2	G474-B001	oteeeon|oiil	CATALOGUE	G480-T001	1	SINGLETON	CATALOGUE[DANACH · {N1} @START_FRESH_SIBLING:FORWARD_OPEN / {N2} @NONE]	CATALOGUE[OT @START_FRESH_SIBLING:FORWARD_OPEN / NONE @NONE]	G480-S001	1	SINGLETON	CATALOGUE[ORDER · NAME @START_FRESH_SIBLING:FORWARD_OPEN / NAME @NONE]	2	1. Namenseintrag »{N1}« — Folgevermerk. 2. Namenseintrag »{N2}«. Reihenfolge konkret: OT — danach Namenseintrag »{N1}«.	1. Pflanzenname »eeeon« — Folgevermerk. 2. Pflanzenname »oiil«. Reihenfolge konkret: OT — danach Pflanze »eeeon«.	YES
G480-A002	G475-R002	f71v	CELESTIAL	1	PAGE_START	1	2	G474-B002	char|arom	CATALOGUE	G480-T002	1	SINGLETON	CATALOGUE[AUSGANG @NONE / AUSGANG · {N1} @NONE]	CATALOGUE[AR @NONE / AR @NONE]	G480-S002	2	CROSS_PAGE	CATALOGUE[REL @NONE / REL · NAME @NONE]	1	1. Eintrag »{N1}« — Ausgangszuordnung. 2. Namenseintrag »{N2}« — Ausgangszuordnung.	1. Eintrag »char« — Ausgangszuordnung. 2. Sternstelle »om« — Ausgangszuordnung.	YES
G480-A003	G475-R003	f71v	CELESTIAL	2	UNMARKED_NEW_LOCUS	1	1	G474-B003	chfaly	CATALOGUE	G480-T003	2	CROSS_PAGE	CATALOGUE[{N1} · ZIELORT · POSTEN @NONE]	CATALOGUE[AL+Y @NONE]	G480-S003	2	CROSS_PAGE	CATALOGUE[NAME · REL · ARG @NONE]	1	Namenseintrag »{N1}« — Zielzuordnung, Postenangabe.	Sternstelle »chf« — Zielzuordnung, Postenangabe.	YES
G480-A004	G475-R004	f71v	CELESTIAL	3	UNMARKED_NEW_LOCUS_WITH_INTERNAL_CONTROL	1	1	G474-B004	okolar	INSTRUCTION	G480-T004	1	SINGLETON	INSTRUCTION[SETZEN · FORTSETZEN · AUSGANG @KEEP_ACTIVE_UNIT:BRIDGE_LEFT_TO_RIGHT]	INSTRUCTION[OK+OL+AR @KEEP_ACTIVE_UNIT:BRIDGE_LEFT_TO_RIGHT]	G480-S004	1	SINGLETON	INSTRUCTION[ACTION · ORDER · REL @KEEP_ACTIVE_UNIT:BRIDGE_LEFT_TO_RIGHT]	0	Weiter setze den Eintrag vom Ausgang. Reihenfolge konkret: OL — Setzen in Ausgang weiterführen.	Weiter setze den Eintrag von der Ausgangsposition. Reihenfolge konkret: OL — Setzen in Ausgang weiterführen.	YES
G480-A005	G475-R005	f71v	CELESTIAL	4	EXPLICIT_NEXT_SIBLING_OT	1	1	G474-B005	otchody	CATALOGUE	G480-T005	4	CROSS_REGISTER	CATALOGUE[DANACH · {N1} @START_FRESH_SIBLING:FORWARD_OPEN]	CATALOGUE[OT @START_FRESH_SIBLING:FORWARD_OPEN]	G480-S005	4	CROSS_REGISTER	CATALOGUE[ORDER · NAME @START_FRESH_SIBLING:FORWARD_OPEN]	1	Namenseintrag »{N1}« — Folgevermerk. Reihenfolge konkret: OT — danach Namenseintrag »{N1}«.	Sternstelle »chody« — Folgevermerk. Reihenfolge konkret: OT — danach Sternstelle »chody«.	YES
G480-A006	G475-R006	f71v	CELESTIAL	5	UNMARKED_NEW_LOCUS	1	1	G474-B006	alcphy	INSTRUCTION	G480-T006	1	SINGLETON	INSTRUCTION[ZIELORT · NEHMEN · EINSETZEN · POSTEN @NONE]	INSTRUCTION[AL+CH+P+Y @NONE]	G480-S006	1	SINGLETON	INSTRUCTION[REL · ACTION · ACTION · ARG @NONE]	0	Nimm den Posten auf und setze den Posten ein zum Zielort.	Nimm den Positionsposten auf und setze den Positionsposten ein zur Zielposition.	YES
G480-A007	G475-R007	f71v	CELESTIAL	6	EXPLICIT_NEXT_SIBLING_OT	1	1	G474-B007	otaiin	COORDINATE	G480-T007	1	SINGLETON	COORDINATE[DANACH · WERT @START_FRESH_SIBLING:FORWARD_OPEN]	COORDINATE[OT+AIIN @START_FRESH_SIBLING:FORWARD_OPEN]	G480-S007	1	SINGLETON	COORDINATE[ORDER · ARG @START_FRESH_SIBLING:FORWARD_OPEN]	0	Adressspur: danach → Wert. Reihenfolge konkret: OT — danach Wert.	Adressspur: danach → Positionswert. Reihenfolge konkret: OT — danach Wert.	YES
G480-A008	G475-R008	f71v	CELESTIAL	7	UNMARKED_NEW_LOCUS	1	1	G474-B008	okaraiin	INSTRUCTION	G480-T008	1	SINGLETON	INSTRUCTION[SETZEN · AUSGANG · WERT @NONE]	INSTRUCTION[OK+AR+AIIN @NONE]	G480-S008	3	CROSS_PAGE	INSTRUCTION[ACTION · REL · ARG @NONE]	0	Setze den Wert vom Ausgang.	Setze den Positionswert von der Ausgangsposition.	YES
G480-A009	G475-R009	f71v	CELESTIAL	8	EXPLICIT_NEXT_SIBLING_OT	1	3	G474-B009	otar|ar|aly	COORDINATE	G480-T009	1	SINGLETON	COORDINATE[DANACH · AUSGANG @START_FRESH_SIBLING:FORWARD_OPEN / AUSGANG @NONE / ZIELORT · POSTEN @NONE]	COORDINATE[OT+AR @START_FRESH_SIBLING:FORWARD_OPEN / AR @NONE / AL+Y @NONE]	G480-S009	1	SINGLETON	COORDINATE[ORDER · REL @START_FRESH_SIBLING:FORWARD_OPEN / REL @NONE / REL · ARG @NONE]	0	1. Adressspur: danach → Ausgang. 2. Adressspur: Ausgang. 3. Adressspur: Zielort → Posten. Reihenfolge konkret: OT — danach Ausgang.	1. Adressspur: danach → Ausgangsposition. 2. Adressspur: Ausgangsposition. 3. Adressspur: Zielposition → Positionsposten. Reihenfolge konkret: OT — danach Ausgang.	YES
G480-A010	G475-R010	f71v	CELESTIAL	9	UNMARKED_NEW_LOCUS	1	3	G474-B010	opalar|am|dan	COORDINATE	G480-T010	1	SINGLETON	COORDINATE[{N1} · ZIELORT · AUSGANG @NONE / HIER @NONE / ANTEIL @NONE]	COORDINATE[AL+AR @NONE / AM_ADDR @NONE / AIN @NONE]	G480-S010	1	SINGLETON	COORDINATE[NAME · REL · REL @NONE / MOD @NONE / ARG @NONE]	1	1. Adressspur: Namenseintrag »{N1}« → Zielort → Ausgang. 2. Adressspur: hier. 3. Adressspur: Anteil.	1. Adressspur: Sternstelle »op« → Zielposition → Ausgangsposition. 2. Adressspur: hier. 3. Adressspur: Sektoranteil.	YES
G480-A011	G475-R011	f71v	CELESTIAL	10	UNMARKED_NEW_LOCUS	1	2	G474-B011	opalor|ar	CATALOGUE	G480-T011	1	SINGLETON	CATALOGUE[{N1} · ZIELORT · EINHEIT @NONE / AUSGANG @NONE]	CATALOGUE[AL+OR @NONE / AR @NONE]	G480-S011	1	SINGLETON	CATALOGUE[NAME · REL · ARG @NONE / REL @NONE]	1	1. Namenseintrag »{N1}« — Zielzuordnung, Einheitsangabe. 2. Eintrag »{N2}« — Ausgangszuordnung.	1. Sternstelle »op« — Zielzuordnung, Einheitsangabe. 2. Eintrag »ar« — Ausgangszuordnung.	YES
G480-A012	G475-R012	f71v	CELESTIAL	11	UNMARKED_NEW_LOCUS	1	1	G474-B012	ofaom	CATALOGUE	G480-T012	2	CROSS_PAGE	CATALOGUE[AUSFÜHRUNG · HIER · {N1} @NONE]	CATALOGUE[O+LOCAL_CHAR_F @NONE]	G480-S012	2	CROSS_PAGE	CATALOGUE[MOD · MOD · NAME @NONE]	1	Namenseintrag »{N1}« — Ausführungsvermerk, Hier-Vermerk.	Sternstelle »aom« — Ausführungsvermerk, Hier-Vermerk.	YES
G480-A013	G475-R013	f71v	CELESTIAL	12	EXPLICIT_NEXT_SIBLING_OT	1	1	G474-B013	otalody	CATALOGUE	G480-T013	1	SINGLETON	CATALOGUE[DANACH · ZIELORT · {N1} @START_FRESH_SIBLING:FORWARD_OPEN]	CATALOGUE[OT+AL @START_FRESH_SIBLING:FORWARD_OPEN]	G480-S013	1	SINGLETON	CATALOGUE[ORDER · REL · NAME @START_FRESH_SIBLING:FORWARD_OPEN]	1	Namenseintrag »{N1}« — Folgevermerk, Zielzuordnung. Reihenfolge konkret: OT — danach Zielort.	Sternstelle »ody« — Folgevermerk, Zielzuordnung. Reihenfolge konkret: OT — danach Zielort.	YES
