form_id	component_value	active_model	canonical_realization_de	witness_record_count	witness_records	page_count	pages	register_count	registers	fluent_frame_class_count	fluent_frame_classes	matched_surface_forms_de	example_reading_de	all_forms_observed_not_invented
G487-F01	ANTEIL	CATALOGUE	Anteils- (Koordination)	1	G475-R018	1	f72r	1	CELESTIAL	1	CATALOGUE_ENTRY	Anteils-	Sternstelle »chdaiird« mit Anteils- und Postenangabe.	YES
G487-F02	ANTEIL	CATALOGUE	Anteilsangabe	3	G475-R111|G475-R128|G475-R131	1	f89r	1	PHARMA	1	CATALOGUE_ENTRY	Anteilsangabe	Droge »opor« mit Anteilsangabe.	YES
G487-F03	ANTEIL	COORDINATE	Sektoranteil	1	G475-R031	1	f72r	1	CELESTIAL	1	COORDINATE_AFTER	Sektoranteil	Danach führt die Adressspur vom Sektoranteil zum Positionsposten.	YES
G487-F04	ANTEIL	INSTRUCTION	Drogenanteil	1	G475-R130	1	f89r	1	PHARMA	1	INSTRUCTION_SETZEN	Drogenanteil	Setze den Drogenanteil als Ansatz an.	YES
G487-F05	AUSGANG	CATALOGUE	Ausgangszuordnung	2	G475-R002|G475-R057	2	f71v|f72r	1	CELESTIAL	2	CATALOGUE_ENTRY|CATALOGUE_SEQUENCE	Ausgangszuordnung	Katalogfolge: Eintrag »char« mit Ausgangszuordnung; Sternstelle »om« mit Ausgangszuordnung.	YES
G487-F06	AUSGANG	COORDINATE	Ausgangsposition	1	G475-R047	1	f72r	1	CELESTIAL	1	COORDINATE_AFTER	Ausgangsposition	Danach weist die Adressspur zur Ausgangsposition.	YES
G487-F07	AUSGANG	INSTRUCTION	ausgehend von der Ausgangsposition	2	G475-R038|G475-R077	1	f72r	1	CELESTIAL	1	INSTRUCTION_SETZEN	ausgehend von der Ausgangsposition	Setze den Eintrag zur Zielposition, ausgehend von der Ausgangsposition.	YES
G487-F08	AUSGANG	INSTRUCTION	von der Ausgangsposition aus	2	G475-R034|G475-R062	1	f72r	1	CELESTIAL	2	INSTRUCTION_HALTEN|INSTRUCTION_SETZEN	von der Ausgangsposition aus	Halte die Sternstelleneinträge »os« und »eeeo« von der Ausgangsposition aus.	YES
G487-F09	BAHN	CATALOGUE	Bahnvermerk	1	G475-R071	1	f72r	1	CELESTIAL	1	CATALOGUE_ENTRY	Bahnvermerk	Sternstelle »yt« mit Bahnvermerk und Zielzuordnung.	YES
G487-F10	DANACH	CATALOGUE	Folgevermerk	1	G475-R029	1	f72r	1	CELESTIAL	1	CATALOGUE_ENTRY	Folgevermerk	Sternstelle »ch« mit Folgevermerk und Zielzuordnung.	YES
G487-F11	EINHEIT	CATALOGUE	Einheitsangabe	2	G475-R081|G475-R096	2	f72r|f88v	2	CELESTIAL|PHARMA	1	CATALOGUE_ENTRY	Einheitsangabe	Droge »cphe« mit Einheitsangabe.	YES
G487-F12	EINSTELLEN	INSTRUCTION	stelle … ein	1	G475-R095	1	f88v	1	PHARMA	1	INSTRUCTION_NEHMEN	stelle beide ein	Nimm den Drogeneintrag »cheo« sowie den Drogenposten und stelle beide ein.	YES
G487-F13	FORTSETZEN	INSTRUCTION	Führe das Setzen … fort	1	G475-R004	1	f71v	1	CELESTIAL	1	INSTRUCTION_SETZEN	Führe das Setzen	Führe das Setzen des Eintrags von der Ausgangsposition aus fort.	YES
G487-F14	HALTEN	INSTRUCTION	halte ihn	1	G475-R129	1	f89r	1	PHARMA	1	INSTRUCTION_SETZEN	halte ihn	Setze den Drogeneintrag »dchos« als Ansatz an und halte ihn.	YES
G487-F15	HIER	CATALOGUE	Hier-Vermerk	3	G475-R061|G475-R099|G475-R118	3	f72r|f88v|f89r	2	CELESTIAL|PHARMA	1	CATALOGUE_ENTRY	Hier-Vermerk	Droge »opchos« mit Hier-Vermerk.	YES
G487-F16	HIER	COORDINATE	bezeichnete Stelle	1	G475-R058	1	f72r	1	CELESTIAL	1	COORDINATE_AFTER	bezeichneten Stelle	Danach weist die Adressspur zur bezeichneten Stelle.	YES
G487-F17	HIER	INSTRUCTION	an der bezeichneten Stelle	4	G475-R020|G475-R034|G475-R054|G475-R113	2	f72r|f89r	2	CELESTIAL|PHARMA	2	INSTRUCTION_NEHMEN|INSTRUCTION_SETZEN	an der bezeichneten Stelle	Nimm den Drogeneintrag »yko« sowie den Drogenposten an der bezeichneten Stelle.	YES
G487-F18	POSTEN	CATALOGUE	Postenangabe	3	G475-R003|G475-R028|G475-R059	2	f71v|f72r	1	CELESTIAL	1	CATALOGUE_ENTRY	Postenangabe	Sternstelle »ain« mit Zielzuordnung und Postenangabe.	YES
G487-F19	POSTEN	COORDINATE	Positionsposten	1	G475-R055	1	f72r	1	CELESTIAL	1	COORDINATE_AFTER	Positionsposten	Danach führt die Adressspur von der Zielposition zum Positionsposten.	YES
G487-F20	POSTEN	INSTRUCTION	Positionsposten	2	G475-R040|G475-R048	1	f72r	1	CELESTIAL	1	INSTRUCTION_SETZEN	Positionsposten	Setze den Positionsposten zur Zielposition.	YES
G487-F21	SCHLUSS	INSTRUCTION	schließe den Schritt	1	G475-R056	1	f72r	1	CELESTIAL	1	INSTRUCTION_SETZEN	schließe den Schritt	Setze den Eintrag zur Zielposition und schließe den Schritt.	YES
G487-F22	WERT	CATALOGUE	Wertangabe	2	G475-R067|G475-R072	1	f72r	1	CELESTIAL	1	CATALOGUE_ENTRY	Wertangabe	Sternstelle »oeees« mit Wertangabe.	YES
G487-F23	WERT	COORDINATE	Positionswert	1	G475-R014	1	f71v	1	CELESTIAL	1	COORDINATE_AFTER	Positionswert	Danach führt die Adressspur über die Zielposition zum Positionswert.	YES
G487-F24	WERT	INSTRUCTION	Mengenwert	1	G475-R102	1	f88v	1	PHARMA	1	INSTRUCTION_SETZEN	Mengenwert	Setze den Mengenwert als Ansatz an.	YES
G487-F25	WERT	INSTRUCTION	Positionswert	1	G475-R008	1	f71v	1	CELESTIAL	1	INSTRUCTION_SETZEN	Positionswert	Setze den Positionswert von der Ausgangsposition aus.	YES
G487-F26	ZIELORT	CATALOGUE	Zielzuordnung	7	G475-R003|G475-R022|G475-R029|G475-R053|G475-R059|G475-R079|G475-R081	2	f71v|f72r	1	CELESTIAL	2	CATALOGUE_ENTRY|CATALOGUE_SEQUENCE	Zielzuordnung	Katalogfolge: Eintrag »char« mit Ausgangszuordnung; Sternstelle »if« mit Zielzuordnung.	YES
G487-F27	ZIELORT	COORDINATE	Zielposition	2	G475-R052|G475-R055	1	f72r	1	CELESTIAL	1	COORDINATE_AFTER	Zielposition	Danach führt die Adressspur von der Zielposition zum Positionsposten.	YES
G487-F28	ZIELORT	INSTRUCTION	am Zielgefäß	1	G475-R094	1	f88v	1	PHARMA	1	INSTRUCTION_SETZEN	am Zielgefäß	Setze den Drogeneintrag »yd« als Ansatz am Zielgefäß an.	YES
G487-F29	ZIELORT	INSTRUCTION	zur Zielposition	6	G475-R020|G475-R021|G475-R038|G475-R039|G475-R041|G475-R077	1	f72r	1	CELESTIAL	2	INSTRUCTION_HALTEN|INSTRUCTION_SETZEN	zur Zielposition	Halte die Sternstelleneinträge »yt« und »dy« zur Zielposition.	YES
