triangulation_id	rule_id	active_model_sequence	fluent_frame_class	component_a	component_b	pair_id	triangulation_class	triangulation_path_de	path_edge_count	external_anchor_experiment	alternate_path_complete	both_endpoints_anchored	dictionary_remap_required
G487-T01	G486-CR06	CATALOGUE	CATALOGUE_ENTRY	DANACH	EINHEIT	G486-P018	EXTERNAL_TO_LOCAL_CYCLE	DANACH —GDT429→ FORTSETZEN → ZIELORT → ANTEIL → EINHEIT	4	GDT429	YES	YES	NO
G487-T02	G486-CR07	CATALOGUE	CATALOGUE_ENTRY	EINHEIT	HIER	G486-P042	LOCAL_RECURRENT_CYCLE	EINHEIT → ANTEIL → HIER	2	GDT486	YES	YES	NO
G487-T03	G486-CR08	CATALOGUE	CATALOGUE_ENTRY	HIER	ZIELORT	G486-P038	LOCAL_RECURRENT_CYCLE	HIER → ZIELORT	1	GDT486	YES	YES	NO
G487-T04	G486-CR10	CATALOGUE	CATALOGUE_SEQUENCE	AUSGANG	ZIELORT	G486-P001	LOCAL_RECURRENT_CYCLE	AUSGANG → HIER → ZIELORT	2	GDT486	YES	YES	NO
G487-T05	G486-CR11	COORDINATE	COORDINATE_AFTER	ANTEIL	ZIELORT	G486-P019	LOCAL_RECURRENT_CYCLE	ANTEIL → ZIELORT	1	GDT486	YES	YES	NO
G487-T06	G486-CR12	COORDINATE	COORDINATE_AFTER	AUSGANG	HIER	G486-P028	LOCAL_RECURRENT_CYCLE	AUSGANG → HIER	1	GDT486	YES	YES	NO
G487-T07	G486-CR13	COORDINATE	COORDINATE_AFTER	AUSGANG	ZIELORT	G486-P027	LOCAL_RECURRENT_CYCLE	AUSGANG → HIER → ZIELORT	2	GDT486	YES	YES	NO
G487-T08	G486-CR14	COORDINATE	COORDINATE_AFTER	HIER	ZIELORT	G486-P031	LOCAL_RECURRENT_CYCLE	HIER → ZIELORT	1	GDT486	YES	YES	NO
G487-T09	G486-CR15	COORDINATE	COORDINATE_AFTER	POSTEN	WERT	G486-P008	LOCAL_RECURRENT_CYCLE	POSTEN → AUSGANG → WERT	2	GDT486	YES	YES	NO
G487-T10	G486-CR16	INSTRUCTION	INSTRUCTION_HALTEN	AUSGANG	ZIELORT	G486-P016	LOCAL_RECURRENT_CYCLE	AUSGANG → HIER → ZIELORT	2	GDT486	YES	YES	NO
G487-T11	G486-CR17	INSTRUCTION	INSTRUCTION_NEHMEN	EINSTELLEN	HIER	G486-P041	EXTERNAL_ENDPOINT_ANCHOR_ONLY	EINSTELLEN —GDT428→ MARKIEREN; anderer Endpunkt HIER liegt lokal	1	GDT428	NO	YES	NO
G487-T12	G486-CR18	INSTRUCTION	INSTRUCTION_SETZEN	ANTEIL	WERT	G486-P046	LOCAL_RECURRENT_CYCLE	ANTEIL → HIER → AUSGANG → WERT	3	GDT486	YES	YES	NO
G487-T13	G486-CR22	INSTRUCTION	INSTRUCTION_SETZEN	AUSGANG	ZIELORT	G486-P010	LOCAL_RECURRENT_CYCLE	AUSGANG → HIER → ZIELORT	2	GDT486	YES	YES	NO
G487-T14	G486-CR24	INSTRUCTION	INSTRUCTION_SETZEN	HALTEN	ZIELORT	G486-P040	EXTERNAL_ENDPOINT_ANCHOR_ONLY	HALTEN —GDT428→ BEARBEITEN; anderer Endpunkt ZIELORT liegt lokal	1	GDT428	NO	YES	NO
G487-T15	G486-CR26	INSTRUCTION	INSTRUCTION_SETZEN	HIER	SCHLUSS	G486-P014	LOCAL_RECURRENT_CYCLE	HIER → AUSGANG → SCHLUSS	2	GDT486	YES	YES	NO
G487-T16	G486-CR27	INSTRUCTION	INSTRUCTION_SETZEN	HIER	WERT	G486-P007	LOCAL_RECURRENT_CYCLE	HIER → AUSGANG → WERT	2	GDT486	YES	YES	NO
