edge_id	source_rule_id	active_model_sequence	fluent_frame_class	component_a	component_b	pair_count	same_page_pair_count	rule_status	phrase_signature_count	recurrent_local_edge
G487-LE01	G486-CR01	CATALOGUE	CATALOGUE_ENTRY	ANTEIL	EINHEIT	2	0	EXACT_RECURRENT_WORDING_RULE	1	YES
G487-LE02	G486-CR02	CATALOGUE	CATALOGUE_ENTRY	ANTEIL	HIER	3	2	EXACT_RECURRENT_WORDING_RULE	1	YES
G487-LE03	G486-CR03	CATALOGUE	CATALOGUE_ENTRY	ANTEIL	ZIELORT	2	1	EXACT_RECURRENT_WORDING_RULE	1	YES
G487-LE04	G486-CR04	CATALOGUE	CATALOGUE_ENTRY	AUSGANG	WERT	2	2	EXACT_RECURRENT_WORDING_RULE	1	YES
G487-LE05	G486-CR05	CATALOGUE	CATALOGUE_ENTRY	BAHN	ZIELORT	2	2	EXACT_RECURRENT_WORDING_RULE	1	YES
G487-LE06	G486-CR09	CATALOGUE	CATALOGUE_ENTRY	POSTEN	ZIELORT	5	3	CONTEXTUAL_GERMAN_REALIZATION	2	YES
G487-LE07	G486-CR19	INSTRUCTION	INSTRUCTION_SETZEN	AUSGANG	HIER	2	2	EXACT_RECURRENT_WORDING_RULE	1	YES
G487-LE08	G486-CR20	INSTRUCTION	INSTRUCTION_SETZEN	AUSGANG	POSTEN	4	4	EXACT_RECURRENT_WORDING_RULE	1	YES
G487-LE09	G486-CR21	INSTRUCTION	INSTRUCTION_SETZEN	AUSGANG	SCHLUSS	2	2	EXACT_RECURRENT_WORDING_RULE	1	YES
G487-LE10	G486-CR23	INSTRUCTION	INSTRUCTION_SETZEN	FORTSETZEN	ZIELORT	2	0	EXACT_RECURRENT_WORDING_RULE	1	YES
G487-LE11	G486-CR25	INSTRUCTION	INSTRUCTION_SETZEN	HIER	POSTEN	2	2	EXACT_RECURRENT_WORDING_RULE	1	YES
G487-LE12	G486-CR28	INSTRUCTION	INSTRUCTION_SETZEN	HIER	ZIELORT	2	2	EXACT_RECURRENT_WORDING_RULE	1	YES
G487-LE13	G486-CR29	INSTRUCTION	INSTRUCTION_SETZEN	POSTEN	SCHLUSS	2	2	EXACT_RECURRENT_WORDING_RULE	1	YES
