lexicon_id	component_value	portable_root_or_layer	component_class	witness_record_count	witness_records	page_count	pages	register_count	registers	observed_model_count	observed_models	open_models	realization_form_count	catalogue_forms_de	coordinate_forms_de	instruction_forms_de	local_recurrent_degree	local_recurrent_neighbours	anchor_class	anchor_detail	all_forms_observed_not_invented
G487-L01	ANTEIL	AIN	ARGUMENT	6	G475-R018|G475-R031|G475-R111|G475-R128|G475-R130|G475-R131	2	f72r|f89r	2	CELESTIAL|PHARMA	3	CATALOGUE|COORDINATE|INSTRUCTION	NONE	4	Anteils- (Koordination)|Anteilsangabe	Sektoranteil	Drogenanteil	3	EINHEIT|HIER|ZIELORT	LOCAL_RECURRENT_GRAPH	3 wiederkehrende GDT486-Nachbarn	YES
G487-L02	AUSGANG	AR	RELATION	7	G475-R002|G475-R034|G475-R038|G475-R047|G475-R057|G475-R062|G475-R077	2	f71v|f72r	1	CELESTIAL	3	CATALOGUE|COORDINATE|INSTRUCTION	NONE	4	Ausgangszuordnung	Ausgangsposition	ausgehend von der Ausgangsposition|von der Ausgangsposition aus	4	HIER|POSTEN|SCHLUSS|WERT	LOCAL_RECURRENT_GRAPH	4 wiederkehrende GDT486-Nachbarn	YES
G487-L03	BAHN	AIR	RELATION	1	G475-R071	1	f72r	1	CELESTIAL	1	CATALOGUE	COORDINATE|INSTRUCTION	1	Bahnvermerk	OPEN	OPEN	1	ZIELORT	LOCAL_RECURRENT_GRAPH	1 wiederkehrende GDT486-Nachbarn	YES
G487-L04	DANACH	OT	ORDER_CONTROL	1	G475-R029	1	f72r	1	CELESTIAL	1	CATALOGUE	COORDINATE|INSTRUCTION	1	Folgevermerk	OPEN	OPEN	0	NONE	DIRECT_TO_LOCAL_RECURRENT_GRAPH	GDT429 OL~OT ×14	YES
G487-L05	EINHEIT	OR	ARGUMENT	2	G475-R081|G475-R096	2	f72r|f88v	2	CELESTIAL|PHARMA	1	CATALOGUE	COORDINATE|INSTRUCTION	1	Einheitsangabe	OPEN	OPEN	1	ANTEIL	LOCAL_RECURRENT_GRAPH	1 wiederkehrende GDT486-Nachbarn	YES
G487-L06	EINSTELLEN	T	ACTION	1	G475-R095	1	f88v	1	PHARMA	1	INSTRUCTION	CATALOGUE|COORDINATE	1	OPEN	OPEN	stelle … ein	0	NONE	EXTERNAL_ACTION_ENDPOINT_ANCHOR	GDT428 T~R ×11	YES
G487-L07	FORTSETZEN	OL	ORDER_CONTROL	1	G475-R004	1	f71v	1	CELESTIAL	1	INSTRUCTION	CATALOGUE|COORDINATE	1	OPEN	OPEN	Führe das Setzen … fort	1	ZIELORT	LOCAL_RECURRENT_GRAPH	1 wiederkehrende GDT486-Nachbarn	YES
G487-L08	HALTEN	SH	ACTION	1	G475-R129	1	f89r	1	PHARMA	1	INSTRUCTION	CATALOGUE|COORDINATE	1	OPEN	OPEN	halte ihn	0	NONE	EXTERNAL_ACTION_ENDPOINT_ANCHOR	GDT428 SH~CHD ×14	YES
G487-L09	HIER	LOCAL_HIER	LOCAL_SCOPE	8	G475-R020|G475-R034|G475-R054|G475-R058|G475-R061|G475-R099|G475-R113|G475-R118	3	f72r|f88v|f89r	2	CELESTIAL|PHARMA	3	CATALOGUE|COORDINATE|INSTRUCTION	NONE	3	Hier-Vermerk	bezeichnete Stelle	an der bezeichneten Stelle	4	ANTEIL|AUSGANG|POSTEN|ZIELORT	LOCAL_RECURRENT_GRAPH	4 wiederkehrende GDT486-Nachbarn	YES
G487-L10	POSTEN	Y	ARGUMENT	6	G475-R003|G475-R028|G475-R040|G475-R048|G475-R055|G475-R059	2	f71v|f72r	1	CELESTIAL	3	CATALOGUE|COORDINATE|INSTRUCTION	NONE	3	Postenangabe	Positionsposten	Positionsposten	4	AUSGANG|HIER|SCHLUSS|ZIELORT	LOCAL_RECURRENT_GRAPH	4 wiederkehrende GDT486-Nachbarn	YES
G487-L11	SCHLUSS	LICENSED_CLOSE_HULL	LOCAL_SCOPE	1	G475-R056	1	f72r	1	CELESTIAL	1	INSTRUCTION	CATALOGUE|COORDINATE	1	OPEN	OPEN	schließe den Schritt	2	AUSGANG|POSTEN	LOCAL_RECURRENT_GRAPH	2 wiederkehrende GDT486-Nachbarn	YES
G487-L12	WERT	AIIN	ARGUMENT	5	G475-R008|G475-R014|G475-R067|G475-R072|G475-R102	3	f71v|f72r|f88v	2	CELESTIAL|PHARMA	3	CATALOGUE|COORDINATE|INSTRUCTION	NONE	4	Wertangabe	Positionswert	Mengenwert|Positionswert	1	AUSGANG	LOCAL_RECURRENT_GRAPH	1 wiederkehrende GDT486-Nachbarn	YES
G487-L13	ZIELORT	AL	RELATION	16	G475-R003|G475-R020|G475-R021|G475-R022|G475-R029|G475-R038|G475-R039|G475-R041|G475-R052|G475-R053|G475-R055|G475-R059|G475-R077|G475-R079|G475-R081|G475-R094	3	f71v|f72r|f88v	2	CELESTIAL|PHARMA	3	CATALOGUE|COORDINATE|INSTRUCTION	NONE	4	Zielzuordnung	Zielposition	am Zielgefäß|zur Zielposition	5	ANTEIL|BAHN|FORTSETZEN|HIER|POSTEN	LOCAL_RECURRENT_GRAPH	5 wiederkehrende GDT486-Nachbarn	YES
