cell_id	component_value	portable_root_or_layer	component_class	active_model	cell_status	realization_form_count	realization_forms_de	witness_record_count	witness_records	page_count	pages	frame_class_count	frame_classes	invented_form_count
G487-MC01	ANTEIL	AIN	ARGUMENT	CATALOGUE	OBSERVED	2	Anteils- (Koordination)|Anteilsangabe	4	G475-R018|G475-R111|G475-R128|G475-R131	2	f72r|f89r	1	CATALOGUE_ENTRY	0
G487-MC02	ANTEIL	AIN	ARGUMENT	COORDINATE	OBSERVED	1	Sektoranteil	1	G475-R031	1	f72r	1	COORDINATE_AFTER	0
G487-MC03	ANTEIL	AIN	ARGUMENT	INSTRUCTION	OBSERVED	1	Drogenanteil	1	G475-R130	1	f89r	1	INSTRUCTION_SETZEN	0
G487-MC04	AUSGANG	AR	RELATION	CATALOGUE	OBSERVED	1	Ausgangszuordnung	2	G475-R002|G475-R057	2	f71v|f72r	2	CATALOGUE_ENTRY|CATALOGUE_SEQUENCE	0
G487-MC05	AUSGANG	AR	RELATION	COORDINATE	OBSERVED	1	Ausgangsposition	1	G475-R047	1	f72r	1	COORDINATE_AFTER	0
G487-MC06	AUSGANG	AR	RELATION	INSTRUCTION	OBSERVED	2	ausgehend von der Ausgangsposition|von der Ausgangsposition aus	4	G475-R034|G475-R038|G475-R062|G475-R077	1	f72r	2	INSTRUCTION_HALTEN|INSTRUCTION_SETZEN	0
G487-MC07	BAHN	AIR	RELATION	CATALOGUE	OBSERVED	1	Bahnvermerk	1	G475-R071	1	f72r	1	CATALOGUE_ENTRY	0
G487-MC08	BAHN	AIR	RELATION	COORDINATE	OPEN	0	OPEN	0	NONE	0	NONE	0	NONE	0
G487-MC09	BAHN	AIR	RELATION	INSTRUCTION	OPEN	0	OPEN	0	NONE	0	NONE	0	NONE	0
G487-MC10	DANACH	OT	ORDER_CONTROL	CATALOGUE	OBSERVED	1	Folgevermerk	1	G475-R029	1	f72r	1	CATALOGUE_ENTRY	0
G487-MC11	DANACH	OT	ORDER_CONTROL	COORDINATE	OPEN	0	OPEN	0	NONE	0	NONE	0	NONE	0
G487-MC12	DANACH	OT	ORDER_CONTROL	INSTRUCTION	OPEN	0	OPEN	0	NONE	0	NONE	0	NONE	0
G487-MC13	EINHEIT	OR	ARGUMENT	CATALOGUE	OBSERVED	1	Einheitsangabe	2	G475-R081|G475-R096	2	f72r|f88v	1	CATALOGUE_ENTRY	0
G487-MC14	EINHEIT	OR	ARGUMENT	COORDINATE	OPEN	0	OPEN	0	NONE	0	NONE	0	NONE	0
G487-MC15	EINHEIT	OR	ARGUMENT	INSTRUCTION	OPEN	0	OPEN	0	NONE	0	NONE	0	NONE	0
G487-MC16	EINSTELLEN	T	ACTION	CATALOGUE	OPEN	0	OPEN	0	NONE	0	NONE	0	NONE	0
G487-MC17	EINSTELLEN	T	ACTION	COORDINATE	OPEN	0	OPEN	0	NONE	0	NONE	0	NONE	0
G487-MC18	EINSTELLEN	T	ACTION	INSTRUCTION	OBSERVED	1	stelle … ein	1	G475-R095	1	f88v	1	INSTRUCTION_NEHMEN	0
G487-MC19	FORTSETZEN	OL	ORDER_CONTROL	CATALOGUE	OPEN	0	OPEN	0	NONE	0	NONE	0	NONE	0
