anonymous_family	behavior_block	feature_ordinal	feature	pivot_recurrence_dependent	exact_identity_value_used	semantic_state
CMP_FUNCTION_01	GATE_TRANSITION	1	H1_UNIQUE_DELTA	0	0	UNASSIGNED
CMP_FUNCTION_01	GATE_TRANSITION	2	H1_ENTROPY_DELTA	0	0	UNASSIGNED
CMP_FUNCTION_01	GATE_TRANSITION	3	H1_RIGHT_NOVELTY_RATE	0	0	UNASSIGNED
CMP_FUNCTION_01	GATE_TRANSITION	4	H1_PIVOT_RETURN_RIGHT	1	0	UNASSIGNED
CMP_FUNCTION_01	GATE_TRANSITION	5	H1_RIGHT_TO_LEFT_RETURN	0	0	UNASSIGNED
CMP_FUNCTION_01	GATE_TRANSITION	6	H2_UNIQUE_DELTA	0	0	UNASSIGNED
CMP_FUNCTION_01	GATE_TRANSITION	7	H2_ENTROPY_DELTA	0	0	UNASSIGNED
CMP_FUNCTION_01	GATE_TRANSITION	8	H2_RIGHT_NOVELTY_RATE	0	0	UNASSIGNED
CMP_FUNCTION_01	GATE_TRANSITION	9	H2_PIVOT_RETURN_RIGHT	1	0	UNASSIGNED
CMP_FUNCTION_01	GATE_TRANSITION	10	H2_RIGHT_TO_LEFT_RETURN	0	0	UNASSIGNED
CMP_FUNCTION_01	GATE_TRANSITION	11	H4_UNIQUE_DELTA	0	0	UNASSIGNED
CMP_FUNCTION_01	GATE_TRANSITION	12	H4_ENTROPY_DELTA	0	0	UNASSIGNED
CMP_FUNCTION_01	GATE_TRANSITION	13	H4_RIGHT_NOVELTY_RATE	0	0	UNASSIGNED
CMP_FUNCTION_01	GATE_TRANSITION	14	H4_PIVOT_RETURN_RIGHT	1	0	UNASSIGNED
CMP_FUNCTION_01	GATE_TRANSITION	15	H4_RIGHT_TO_LEFT_RETURN	0	0	UNASSIGNED
CMP_FUNCTION_01	GATE_TRANSITION	16	H8_UNIQUE_DELTA	0	0	UNASSIGNED
CMP_FUNCTION_01	GATE_TRANSITION	17	H8_ENTROPY_DELTA	0	0	UNASSIGNED
CMP_FUNCTION_01	GATE_TRANSITION	18	H8_RIGHT_NOVELTY_RATE	0	0	UNASSIGNED
CMP_FUNCTION_01	GATE_TRANSITION	19	H8_PIVOT_RETURN_RIGHT	1	0	UNASSIGNED
CMP_FUNCTION_01	GATE_TRANSITION	20	H8_RIGHT_TO_LEFT_RETURN	0	0	UNASSIGNED
CMP_FUNCTION_01	GATE_TRANSITION	21	LOG_FORWARD_RETURN_DISTANCE	1	0	UNASSIGNED
CMP_FUNCTION_01	GATE_TRANSITION	22	NO_FORWARD_RETURN	1	0	UNASSIGNED
CMP_FUNCTION_01	GATE_TRANSITION	23	DELETE_BRIDGE_LOG_FREQUENCY	0	0	UNASSIGNED
CMP_FUNCTION_01	GATE_TRANSITION	24	RECORD_REMAINING_FRACTION	0	0	UNASSIGNED
CMP_FUNCTION_02	BRANCH_RECONVERGENCE	1	H1_BAG_JACCARD	0	0	UNASSIGNED
CMP_FUNCTION_02	BRANCH_RECONVERGENCE	2	H1_BAG_OVERLAP_MIN	0	0	UNASSIGNED
CMP_FUNCTION_02	BRANCH_RECONVERGENCE	3	H1_LEFT_RIGHT_RECONVERGENCE	0	0	UNASSIGNED
CMP_FUNCTION_02	BRANCH_RECONVERGENCE	4	H1_RIGHT_TO_LEFT_RETURN	0	0	UNASSIGNED
CMP_FUNCTION_02	BRANCH_RECONVERGENCE	5	H1_RIGHT_NOVELTY_RATE	0	0	UNASSIGNED
CMP_FUNCTION_02	BRANCH_RECONVERGENCE	6	H2_BAG_JACCARD	0	0	UNASSIGNED
CMP_FUNCTION_02	BRANCH_RECONVERGENCE	7	H2_BAG_OVERLAP_MIN	0	0	UNASSIGNED
CMP_FUNCTION_02	BRANCH_RECONVERGENCE	8	H2_LEFT_RIGHT_RECONVERGENCE	0	0	UNASSIGNED
CMP_FUNCTION_02	BRANCH_RECONVERGENCE	9	H2_RIGHT_TO_LEFT_RETURN	0	0	UNASSIGNED
CMP_FUNCTION_02	BRANCH_RECONVERGENCE	10	H2_RIGHT_NOVELTY_RATE	0	0	UNASSIGNED
CMP_FUNCTION_02	BRANCH_RECONVERGENCE	11	H4_BAG_JACCARD	0	0	UNASSIGNED
CMP_FUNCTION_02	BRANCH_RECONVERGENCE	12	H4_BAG_OVERLAP_MIN	0	0	UNASSIGNED
CMP_FUNCTION_02	BRANCH_RECONVERGENCE	13	H4_LEFT_RIGHT_RECONVERGENCE	0	0	UNASSIGNED
CMP_FUNCTION_02	BRANCH_RECONVERGENCE	14	H4_RIGHT_TO_LEFT_RETURN	0	0	UNASSIGNED
CMP_FUNCTION_02	BRANCH_RECONVERGENCE	15	H4_RIGHT_NOVELTY_RATE	0	0	UNASSIGNED
CMP_FUNCTION_02	BRANCH_RECONVERGENCE	16	H8_BAG_JACCARD	0	0	UNASSIGNED
CMP_FUNCTION_02	BRANCH_RECONVERGENCE	17	H8_BAG_OVERLAP_MIN	0	0	UNASSIGNED
CMP_FUNCTION_02	BRANCH_RECONVERGENCE	18	H8_LEFT_RIGHT_RECONVERGENCE	0	0	UNASSIGNED
CMP_FUNCTION_02	BRANCH_RECONVERGENCE	19	H8_RIGHT_TO_LEFT_RETURN	0	0	UNASSIGNED
CMP_FUNCTION_02	BRANCH_RECONVERGENCE	20	H8_RIGHT_NOVELTY_RATE	0	0	UNASSIGNED
CMP_FUNCTION_02	BRANCH_RECONVERGENCE	21	PREV_EQUALS_NEXT	0	0	UNASSIGNED
CMP_FUNCTION_02	BRANCH_RECONVERGENCE	22	DELETE_BRIDGE_LOG_FREQUENCY	0	0	UNASSIGNED
CMP_FUNCTION_02	BRANCH_RECONVERGENCE	23	LOG_PREV_DIVERSITY	1	0	UNASSIGNED
CMP_FUNCTION_02	BRANCH_RECONVERGENCE	24	LOG_NEXT_DIVERSITY	1	0	UNASSIGNED
