anonymous_family	held_domain	n	positives	auc_nuisance	auc_full	auc_without_pivot_recurrence	average_precision_full	prevalence	gain_full_vs_nuisance_bits	gain_reduced_vs_nuisance_bits	training_domains
CMP_FUNCTION_01	COREMA	27349	275	0.703984836	0.702298213	0.701155151	0.017481645	0.010055212	-18.943995746	-11.898773615	PCEEC2|CURIOUS_CURES|HARLEIAN_COOKERY|QUINTE_ESSENCE
CMP_FUNCTION_01	PCEEC2	27518	9	0.609105707	0.604941413	0.613003421	0.000509972	0.000327059	-4.624335605	-3.923294236	COREMA|CURIOUS_CURES|HARLEIAN_COOKERY|QUINTE_ESSENCE
CMP_FUNCTION_01	CURIOUS_CURES	21817	105	0.668058918	0.677016221	0.669790460	0.008369331	0.004812761	2.022692196	-3.532721929	COREMA|PCEEC2|HARLEIAN_COOKERY|QUINTE_ESSENCE
CMP_FUNCTION_01	HARLEIAN_COOKERY	40826	113	0.726850092	0.753752199	0.736154158	0.006082924	0.002767844	14.840250109	4.633534170	COREMA|PCEEC2|CURIOUS_CURES|QUINTE_ESSENCE
CMP_FUNCTION_01	QUINTE_ESSENCE	15673	16	0.596268841	0.599176886	0.607783260	0.001922042	0.001020864	-5.161387992	-2.252026489	COREMA|PCEEC2|CURIOUS_CURES|HARLEIAN_COOKERY
CMP_FUNCTION_02	COREMA	27349	486	0.617536643	0.453800943	0.605313173	0.014694323	0.017770302	4137.444792151	-96.440043426	PCEEC2|CURIOUS_CURES|HARLEIAN_COOKERY|QUINTE_ESSENCE
CMP_FUNCTION_02	PCEEC2	27518	114	0.833098062	0.779769953	0.813415156	0.010342721	0.004142743	-47.226688354	7.070479709	COREMA|CURIOUS_CURES|HARLEIAN_COOKERY|QUINTE_ESSENCE
CMP_FUNCTION_02	CURIOUS_CURES	21817	130	0.800589506	0.865864697	0.802583434	0.045846199	0.005958656	104.424618686	20.811724142	COREMA|PCEEC2|HARLEIAN_COOKERY|QUINTE_ESSENCE
CMP_FUNCTION_02	HARLEIAN_COOKERY	40826	372	0.737270156	0.840312055	0.768724540	0.063766149	0.009111840	257.696292356	54.643962654	COREMA|PCEEC2|CURIOUS_CURES|QUINTE_ESSENCE
CMP_FUNCTION_02	QUINTE_ESSENCE	15673	208	0.636460276	0.721480576	0.637181352	0.029702127	0.013271231	56.492312054	6.822112627	COREMA|PCEEC2|CURIOUS_CURES|HARLEIAN_COOKERY
CMP_FUNCTION_03	COREMA	27349	231	0.536923367	0.552737930	0.562334118	0.010289841	0.008446378	-2.165892892	34.567030874	PCEEC2|CURIOUS_CURES|HARLEIAN_COOKERY|QUINTE_ESSENCE
CMP_FUNCTION_03	PCEEC2	27518	261	0.704947458	0.686221909	0.692120777	0.016475268	0.009484701	-0.910936862	3.922990379	COREMA|CURIOUS_CURES|HARLEIAN_COOKERY|QUINTE_ESSENCE
CMP_FUNCTION_03	CURIOUS_CURES	21817	53	0.638353799	0.560888155	0.614493208	0.011477348	0.002429298	-49.183527032	-8.687448450	COREMA|PCEEC2|HARLEIAN_COOKERY|QUINTE_ESSENCE
CMP_FUNCTION_03	HARLEIAN_COOKERY	40826	70	0.807425024	0.783074008	0.791621391	0.004633141	0.001714594	16.604807717	13.826147072	COREMA|PCEEC2|CURIOUS_CURES|QUINTE_ESSENCE
CMP_FUNCTION_03	QUINTE_ESSENCE	15673	174	0.611191638	0.597290111	0.603936072	0.014231879	0.011101895	-20.287331299	-4.028716563	COREMA|PCEEC2|CURIOUS_CURES|HARLEIAN_COOKERY
CMP_FUNCTION_04	PCEEC2	27518	13062	0.628368177	0.896571994	0.629183223	0.862897383	0.474671124	-3823.761490282	306.696486952	CURIOUS_CURES|HARLEIAN_COOKERY|QUINTE_ESSENCE
CMP_FUNCTION_04	CURIOUS_CURES	21817	2634	0.899811554	0.927453345	0.896643876	0.877318825	0.120731540	3057.017913769	86.368791712	PCEEC2|HARLEIAN_COOKERY|QUINTE_ESSENCE
CMP_FUNCTION_04	HARLEIAN_COOKERY	40826	3359	0.843930866	0.908237383	0.839003311	0.832340980	0.082276001	8366.173748370	91.580422868	PCEEC2|CURIOUS_CURES|QUINTE_ESSENCE
CMP_FUNCTION_04	QUINTE_ESSENCE	15673	1113	0.650486230	0.830364733	0.652295270	0.540571266	0.071013845	4203.070862259	-84.978579600	PCEEC2|CURIOUS_CURES|HARLEIAN_COOKERY
