component_or_sign	selected_value_de	ca_1420_teaching_parallel	workshop_use
OK	ANSETZEN	PONE	start or place the active work item
CHD~CHED	UMSETZEN	TRANSFERE	move the active item into the next working state
P+CHED	EINFÜHREN	INFUNDE	move into a receiver
L+CHED	ABFÜHREN	DEDUC	move out toward a receiver
LCH	ABZIEHEN	DETRAHE	withdraw from the active item
LSH	WASCHEN	LAVA	wash or rinse
LKEDY	NACHWASCHEN	LAVA ITERUM	learned repeat-wash sign
SHED	ABSETZEN	DEPONE	leave material to settle
CHK	WÄRMEN	CALEFAC	warm the active item
CKHE	SEIHEN	COLA	strain through the selected passage
SOLK	SAMMELN	COLLIGE	collect at the active receiver
LDDY	BEFESTIGEN	LIGA	learned fastening close
SSHK	SCHWENKEN	AGITA	learned agitation sign
OCTHEOL	GLEICHSTELLEN	AEQUA	learned balancing sign
CHES	GLEICHTEILEN	DIVIDE AEQUALITER	learned equal-division sign
OT	FOLGE	SEQUENS	next operation or item
OL	FORTFÜHREN	PROSEQUERE	continue the current operation
E / EE / EEE	KURZ / LÄNGER / VOLL	BREVIS / LONGA / PLENA	graded duration or completion
Y~CHY	DIESER POSTEN	HOC	current working referent
licensed close	SCHLIESSEN	CLAUDE	finish the local work cell
