slot	supply_status	statements	herbal	biological
SOURCE	EXPLICIT	13	4	9
SOURCE	OWNER_VISIBLE	11	4	7
SOURCE	WHOLE_CARD	0	0	0
SOURCE	RECORD_INHERITED	63	11	52
SOURCE	LOCAL_EXEMPLAR	0	0	0
SOURCE	NOT_REQUIRED	29	0	29
QUANTITY	EXPLICIT	38	13	25
QUANTITY	OWNER_VISIBLE	0	0	0
QUANTITY	WHOLE_CARD	0	0	0
QUANTITY	RECORD_INHERITED	2	0	2
QUANTITY	LOCAL_EXEMPLAR	0	0	0
QUANTITY	NOT_REQUIRED	76	6	70
PATH	EXPLICIT	5	1	4
PATH	OWNER_VISIBLE	28	0	28
PATH	WHOLE_CARD	0	0	0
PATH	RECORD_INHERITED	9	0	9
PATH	LOCAL_EXEMPLAR	21	9	12
PATH	NOT_REQUIRED	53	9	44
TARGET	EXPLICIT	28	4	24
TARGET	OWNER_VISIBLE	34	0	34
TARGET	WHOLE_CARD	1	1	0
TARGET	RECORD_INHERITED	2	2	0
TARGET	LOCAL_EXEMPLAR	4	4	0
TARGET	NOT_REQUIRED	47	8	39
