record	page	events	minimal_specialist_root_cards	prep_wet_token_uses	transfer_token_uses	state_token_uses	local_command_uses	scribe_route	desk_visits	handoffs	record_packet_de
H1	f10r	14	5	1	7	2	1	S01_MASTER_START > S02_PREPARATION_WET > S03_TRANSFER > S04_STATE_CONTROL > S01_MASTER_CLOSE	5	4	Seite mit Bildbesitzer,13er Kernprompt, lokale Rezeptadressen und nur benoetigte Spezialkarten.
H2	f10r	24	3	0	3	4	0	S01_MASTER_START > S03_TRANSFER > S04_STATE_CONTROL > S01_MASTER_CLOSE	4	3	Seite mit Bildbesitzer,13er Kernprompt, lokale Rezeptadressen und nur benoetigte Spezialkarten.
H3	f11r	17	7	2	4	6	1	S01_MASTER_START > S02_PREPARATION_WET > S03_TRANSFER > S04_STATE_CONTROL > S01_MASTER_CLOSE	5	4	Seite mit Bildbesitzer,13er Kernprompt, lokale Rezeptadressen und nur benoetigte Spezialkarten.
H4	f55v	18	7	3	3	1	1	S01_MASTER_START > S02_PREPARATION_WET > S03_TRANSFER > S04_STATE_CONTROL > S01_MASTER_CLOSE	5	4	Seite mit Bildbesitzer,13er Kernprompt, lokale Rezeptadressen und nur benoetigte Spezialkarten.
H5	f56r	27	6	10	4	1	1	S01_MASTER_START > S02_PREPARATION_WET > S03_TRANSFER > S04_STATE_CONTROL > S01_MASTER_CLOSE	5	4	Seite mit Bildbesitzer,13er Kernprompt, lokale Rezeptadressen und nur benoetigte Spezialkarten.
B1	f81v	66	13	14	14	13	0	S01_MASTER_START > S02_PREPARATION_WET > S03_TRANSFER > S04_STATE_CONTROL > S01_MASTER_CLOSE	5	4	Seite mit Bildbesitzer,13er Kernprompt, lokale Rezeptadressen und nur benoetigte Spezialkarten.
B2	f82r	62	14	10	19	15	0	S01_MASTER_START > S02_PREPARATION_WET > S03_TRANSFER > S04_STATE_CONTROL > S01_MASTER_CLOSE	5	4	Seite mit Bildbesitzer,13er Kernprompt, lokale Rezeptadressen und nur benoetigte Spezialkarten.
B3	f83r	86	14	8	32	19	0	S01_MASTER_START > S02_PREPARATION_WET > S03_TRANSFER > S04_STATE_CONTROL > S01_MASTER_CLOSE	5	4	Seite mit Bildbesitzer,13er Kernprompt, lokale Rezeptadressen und nur benoetigte Spezialkarten.
B4	f83r	47	11	11	9	10	1	S01_MASTER_START > S02_PREPARATION_WET > S03_TRANSFER > S04_STATE_CONTROL > S01_MASTER_CLOSE	5	4	Seite mit Bildbesitzer,13er Kernprompt, lokale Rezeptadressen und nur benoetigte Spezialkarten.
B5	f83r	11	5	0	5	2	1	S01_MASTER_START > S03_TRANSFER > S04_STATE_CONTROL > S01_MASTER_CLOSE	4	3	Seite mit Bildbesitzer,13er Kernprompt, lokale Rezeptadressen und nur benoetigte Spezialkarten.
B6	f83r	9	4	2	1	1	0	S01_MASTER_START > S02_PREPARATION_WET > S03_TRANSFER > S04_STATE_CONTROL > S01_MASTER_CLOSE	5	4	Seite mit Bildbesitzer,13er Kernprompt, lokale Rezeptadressen und nur benoetigte Spezialkarten.
