scribe_role	station_deck	component	value_de	token_uses	storage_de
S03_TRANSFER	TRANSFER_EDIT	CHD	UMSETZEN	48	Musterkarte an diesem Schreibtisch; 13er Taschenkern zusaetzlich gemeinsam.
S03_TRANSFER	TRANSFER_EDIT	L	WEITERLEITEN	27	Musterkarte an diesem Schreibtisch; 13er Taschenkern zusaetzlich gemeinsam.
S04_STATE_CONTROL	STATE_CONTROL	SH	HALTEN	25	Musterkarte an diesem Schreibtisch; 13er Taschenkern zusaetzlich gemeinsam.
S02_PREPARATION_WET	PREPARATION_INPUT	AIN	PORTION	18	Musterkarte an diesem Schreibtisch; 13er Taschenkern zusaetzlich gemeinsam.
S03_TRANSFER	TRANSFER_EDIT	CH	ABNEHMEN	16	Musterkarte an diesem Schreibtisch; 13er Taschenkern zusaetzlich gemeinsam.
S04_STATE_CONTROL	STATE_CONTROL	CTH	BEREIT	15	Musterkarte an diesem Schreibtisch; 13er Taschenkern zusaetzlich gemeinsam.
S04_STATE_CONTROL	STATE_CONTROL	SHED	ABSETZEN	15	Musterkarte an diesem Schreibtisch; 13er Taschenkern zusaetzlich gemeinsam.
S02_PREPARATION_WET	WET_HANDLING	CKH	DURCHLASS	14	Musterkarte an diesem Schreibtisch; 13er Taschenkern zusaetzlich gemeinsam.
S03_TRANSFER	TRANSFER_EDIT	T	EINTRAGEN	10	Musterkarte an diesem Schreibtisch; 13er Taschenkern zusaetzlich gemeinsam.
S02_PREPARATION_WET	PREPARATION_INPUT	HO	ZUTAT	8	Musterkarte an diesem Schreibtisch; 13er Taschenkern zusaetzlich gemeinsam.
S04_STATE_CONTROL	STATE_CONTROL	CHK	WAERMEN	7	Musterkarte an diesem Schreibtisch; 13er Taschenkern zusaetzlich gemeinsam.
S02_PREPARATION_WET	WET_HANDLING	SOLK	AUFFANGEN	7	Musterkarte an diesem Schreibtisch; 13er Taschenkern zusaetzlich gemeinsam.
S04_STATE_CONTROL	STATE_CONTROL	R	KUEHLEN	6	Musterkarte an diesem Schreibtisch; 13er Taschenkern zusaetzlich gemeinsam.
S02_PREPARATION_WET	WET_HANDLING	AIR	LAUF	5	Musterkarte an diesem Schreibtisch; 13er Taschenkern zusaetzlich gemeinsam.
S04_STATE_CONTROL	STATE_CONTROL	IIN	STUFE	4	Musterkarte an diesem Schreibtisch; 13er Taschenkern zusaetzlich gemeinsam.
S02_PREPARATION_WET	WET_HANDLING	LSH	WASCHEN	3	Musterkarte an diesem Schreibtisch; 13er Taschenkern zusaetzlich gemeinsam.
S02_PREPARATION_WET	WET_HANDLING	P	EINFUELLEN	3	Musterkarte an diesem Schreibtisch; 13er Taschenkern zusaetzlich gemeinsam.
S04_STATE_CONTROL	STATE_CONTROL	EEE	VOLL	2	Musterkarte an diesem Schreibtisch; 13er Taschenkern zusaetzlich gemeinsam.
S01_MASTER_CORRECTOR	LOCAL_COMMAND	RESUME_CARD	WIEDERAUFNEHMEN	2	Musterkarte an diesem Schreibtisch; 13er Taschenkern zusaetzlich gemeinsam.
S02_PREPARATION_WET	PREPARATION_INPUT	AN	NACHGABE	1	Musterkarte an diesem Schreibtisch; 13er Taschenkern zusaetzlich gemeinsam.
S02_PREPARATION_WET	WET_HANDLING	CFH	AUSWRINGEN	1	Musterkarte an diesem Schreibtisch; 13er Taschenkern zusaetzlich gemeinsam.
S01_MASTER_CORRECTOR	LOCAL_COMMAND	DA	ZWEIT	1	Musterkarte an diesem Schreibtisch; 13er Taschenkern zusaetzlich gemeinsam.
S01_MASTER_CORRECTOR	LOCAL_COMMAND	LD	BEFESTIGEN	1	Musterkarte an diesem Schreibtisch; 13er Taschenkern zusaetzlich gemeinsam.
S01_MASTER_CORRECTOR	LOCAL_COMMAND	OS	FACH	1	Musterkarte an diesem Schreibtisch; 13er Taschenkern zusaetzlich gemeinsam.
S02_PREPARATION_WET	PREPARATION_INPUT	S	TEILEN	1	Musterkarte an diesem Schreibtisch; 13er Taschenkern zusaetzlich gemeinsam.
S01_MASTER_CORRECTOR	LOCAL_COMMAND	TALAM	VERWAHREN	1	Musterkarte an diesem Schreibtisch; 13er Taschenkern zusaetzlich gemeinsam.
