source_reading_id	surface	position_id	page	locus	token_ordinal	gdt652_scope_state	gdt652_position_gloss_de	gdt691_rule_id	gdt691_decision_class	gdt691_formal_route	gdt691_practical_head_de	gdt691_live_rivals_de	v96_lineage_class	v96_selected_portable_core_de	v96_selected_local_renderer_de	exact_whole_surface_default_allowed	component_global_export_allowed	score_credit	historical_confirmation
adeeody#1	adeeody	P217	f26r	f26r.2	3	UNKNOWN_SURFACE	[adeeody:?]	P022	FINISHED_GENERIC_PREPARATION	LEARNED_WHOLE_OR_UNEXPORTED	Zubereitung	Auszug|Charge	LATER_BOUND_WHOLE_OR_UNEXPORTED	gleich großer, abgemessener Fertiganteil	gleich großer abgemessener Teil der fertigen Zubereitung	1	0	0	H0_NONE
chockhy#1	chockhy	P004	f104v	f104v.2	3	KNOWN_EXACT_WHOLE	Arzneikompositum im Trockenansatz am Gradanfang	P037	O_CKH_PREPARATION_PRESERVATION	GDT652_EXACT_O_PREP_SURFACE	Arzneizubereitung	Trockenansatz des Arzneikompositums	EARLIER_KNOWN_EXACT_GRID	trockene Mischung, Anfangsstufe	trockene Arzneizubereitung am Gradanfang	1	0	0	H0_NONE
ofchedy#1	ofchedy	P412	f86v6	f86v6.25	8	UNKNOWN_SURFACE	[ofchedy:?]	P039	MATERIAL_RESULT_COLLAPSE	LEARNED_WHOLE_OR_UNEXPORTED	Blütenmasse	Blütentrockenextrakt|Blütenrückstand	LATER_BOUND_WHOLE_OR_UNEXPORTED	Blütenmaterial; vollständig getrocknet	fertig getrocknete Blütenmasse	1	0	0	H0_NONE
okeeeey#1	okeeeey	P411	f86v6	f86v6.25	7	UNKNOWN_SURFACE	[okeeeey:?]	P023	FINISHED_GENERIC_PREPARATION	LEARNED_WHOLE_OR_UNEXPORTED	Zubereitung	Heißansatz|Absud	LATER_BOUND_WHOLE_OR_UNEXPORTED	vollständig erhitzt; Endstufe	vollständig erhitzte Zubereitung auf der letzten Heizstufe	1	0	0	H0_NONE
okiin#1	okiin	P326	f80v	f80v.35	8	UNKNOWN_SURFACE	[okiin:?]	P024	FINISHED_GENERIC_PREPARATION	LEARNED_WHOLE_OR_UNEXPORTED	Zubereitung	Heißansatz|Absud	LATER_BOUND_WHOLE_OR_UNEXPORTED	erhitzt; Form III	erhitzte Zubereitung, Form III	1	0	0	H0_NONE
olord#1	olord	P051	f105v	f105v.14	5	UNKNOWN_SURFACE	[olord:?]	P004	EXACT_MATERIAL_WORKFLOW_WHOLE	PROVISIONAL_LOCAL_SCOPE	Holzauszug	Holzzubereitung|Holzansatz	PROVISIONAL_LOCAL_SCOPE	abgezogener Holzanteil	abgezogene Portion des Holzauszugs	1	0	0	H0_NONE
otsheody#1	otsheody	P111	f113v	f113v.12	2	UNKNOWN_SURFACE	[otsheody:?]	P007	EXACT_MOIST_WHOLE	LEARNED_WHOLE_OR_UNEXPORTED	Mazerat	Einweichung|feuchte Zubereitung	LATER_BOUND_WHOLE_OR_UNEXPORTED	kalt angefeuchtet; fertig	fertiges kalt angefeuchtetes Mazerat	1	0	0	H0_NONE
qocho#1	qocho	P238	f49r	f49r.16	1	UNKNOWN_SURFACE	[qocho:?]	P030	MATERIAL_RESULT_COLLAPSE	LEARNED_WHOLE_OR_UNEXPORTED	getrocknete Droge	Trockenzubereitung|Trockenmasse	LATER_BOUND_WHOLE_OR_UNEXPORTED	Trockengut	getrocknete Droge nehmen	1	0	0	H0_NONE
shotchey#1	shotchey	P226	f27r	f27r.9	3	UNKNOWN_SURFACE	[shotchey:?]	P010	EXACT_MOIST_WHOLE	LEARNED_WHOLE_OR_UNEXPORTED	Mazerat	Feuchtzubereitung|Einweichung	LATER_BOUND_WHOLE_OR_UNEXPORTED	kalt angefeuchtet; Trockenstufe II	kalt angefeuchtetes Mazerat, Trockenstufe II	1	0	0	H0_NONE
solchedy#1	solchedy	P110	f113v	f113v.12	1	READER_BOUNDARY_UNSTABLE	getrockneter Samen/Saatgutstoff/-ansatz	P040	MATERIAL_RESULT_COLLAPSE	PRODUCTIVE_HEAD	Samenmasse	Samenrückstand|Samenzubereitung	EARLIER_READER_BOUNDARY_SEED_HEAD	Samenmaterial; bis zur Mittelstufe getrocknet	bis zur Mittelstufe getrocknete Samenmasse	1	0	0	H0_NONE
ykcho#1	ykcho	P242	f56r	f56r.6	1	UNKNOWN_SURFACE	[ykcho:?]	P032	INTERMEDIATE_DRY_PREPARATION	LEARNED_WHOLE_OR_UNEXPORTED	Trockenmischung	heiße Trockenzubereitung|Trockenextrakt	LATER_PAIRED_BOUND_WHOLE	warme Trockenmischung	hieraus eine warme Trockenmischung bereiten	1	0	0	H0_NONE
ytcho#1	ytcho	P209	f23r	f23r.6	11	UNKNOWN_SURFACE	[ytcho:?]	P031	INTERMEDIATE_DRY_PREPARATION	LEARNED_WHOLE_OR_UNEXPORTED	Trockenmischung	Kaltansatz|Trockenmasse	LATER_PAIRED_BOUND_WHOLE	kalte Trockenmischung	hieraus eine kalte Trockenmischung herstellen	1	0	0	H0_NONE
