position_id	page	locus	token_ordinal	surface	left_surface	right_surface	portable_lexical_core_de	local_context_realization_de	action_license	lineage_class	decomposition	exact_whole_surface_default_allowed	component_global_export_allowed	score	level	historical_confirmation
P217	f26r	f26r.2	3	adeeody	aiin	ykecthey	gleich großer, abgemessener Fertiganteil	gleich großer abgemessener Teil der fertigen Zubereitung	NOT_ACTION_LICENSED	LATER_BOUND_WHOLE_OR_UNEXPORTED	BOUND_WHOLE_NO_COMPONENT_EXPORT	1	0	30	W1_WEAK_WORKING	H0_NONE
P004	f104v	f104v.2	3	chockhy	qoteed	otaiin	trockene Mischung, Anfangsstufe	trockene Arzneizubereitung am Gradanfang	NOT_ACTION_LICENSED	EARLIER_KNOWN_EXACT_GRID	BOUND_O_CKH_GRID_NO_FREE_COMPONENT_EXPORT	1	0	30	W1_WEAK_WORKING	H0_NONE
P412	f86v6	f86v6.25	8	ofchedy	okeeeey	qokaiin	Blütenmaterial; vollständig getrocknet	fertig getrocknete Blütenmasse	NOT_ACTION_LICENSED	LATER_BOUND_WHOLE_OR_UNEXPORTED	BOUND_RESULT_WHOLE_NO_COMPONENT_EXPORT	1	0	30	W1_WEAK_WORKING	H0_NONE
P411	f86v6	f86v6.25	7	okeeeey	or	ofchedy	vollständig erhitzt; Endstufe	vollständig erhitzte Zubereitung auf der letzten Heizstufe	NOT_ACTION_LICENSED	LATER_BOUND_WHOLE_OR_UNEXPORTED	BOUND_WHOLE_NO_COMPONENT_EXPORT	1	0	26	W1_WEAK_WORKING	H0_NONE
P326	f80v	f80v.35	8	okiin	kain	ol	erhitzt; Form III	erhitzte Zubereitung, Form III	NOT_ACTION_LICENSED	LATER_BOUND_WHOLE_OR_UNEXPORTED	BOUND_WHOLE_NO_COMPONENT_EXPORT	1	0	30	W1_WEAK_WORKING	H0_NONE
P051	f105v	f105v.14	5	olord	olpchedy	aiiin	abgezogener Holzanteil	abgezogene Portion des Holzauszugs	NOT_ACTION_LICENSED	PROVISIONAL_LOCAL_SCOPE	BOUND_WORKFLOW_WHOLE_NO_COMPONENT_EXPORT	1	0	30	W1_WEAK_WORKING	H0_NONE
P111	f113v	f113v.12	2	otsheody	solchedy	arl	kalt angefeuchtet; fertig	fertiges kalt angefeuchtetes Mazerat	NOT_ACTION_LICENSED	LATER_BOUND_WHOLE_OR_UNEXPORTED	BOUND_MOIST_WHOLE_NO_COMPONENT_EXPORT	1	0	30	W1_WEAK_WORKING	H0_NONE
P238	f49r	f49r.16	1	qocho	<BOS>	cheey	Trockengut	getrocknete Droge nehmen	GDT689_V62_ACTION_ORDINAL	LATER_BOUND_WHOLE_OR_UNEXPORTED	BOUND_ACTION_PATIENT_WHOLE_NO_FREE_Q_CHO	1	0	30	W1_WEAK_WORKING	H0_NONE
P226	f27r	f27r.9	3	shotchey	keeod	chol	kalt angefeuchtet; Trockenstufe II	kalt angefeuchtetes Mazerat, Trockenstufe II	NOT_ACTION_LICENSED	LATER_BOUND_WHOLE_OR_UNEXPORTED	BOUND_MOIST_WHOLE_NO_COMPONENT_EXPORT	1	0	30	W1_WEAK_WORKING	H0_NONE
P110	f113v	f113v.12	1	solchedy	<BOS>	otsheody	Samenmaterial; bis zur Mittelstufe getrocknet	bis zur Mittelstufe getrocknete Samenmasse	NOT_ACTION_LICENSED	EARLIER_READER_BOUNDARY_SEED_HEAD	BOUND_SOL_DRY_RESULT_NO_FREE_CHEDY	1	0	30	W1_WEAK_WORKING	H0_NONE
P242	f56r	f56r.6	1	ykcho	<BOS>	dy	warme Trockenmischung	hieraus eine warme Trockenmischung bereiten	GDT689_V62_ACTION_ORDINAL	LATER_PAIRED_BOUND_WHOLE	PAIRED_WHOLE_NO_FREE_Y_K_T_CHO	1	0	30	W1_WEAK_WORKING	H0_NONE
P209	f23r	f23r.6	11	ytcho	dam	ldals	kalte Trockenmischung	hieraus eine kalte Trockenmischung herstellen	GDT689_V62_ACTION_ORDINAL	LATER_PAIRED_BOUND_WHOLE	PAIRED_WHOLE_NO_FREE_Y_K_T_CHO	1	0	30	W1_WEAK_WORKING	H0_NONE
