decision_id	reading_id	surface	expected_old_meaning_de	new_meaning_de	family	decision_basis	strongest_rival_de	source_evidence	component_export_credit	historical_confirmation
G730-D001	ain#GLOBAL	ain	Menge-/Klassenwert II	Wertstufe II	OPEN_VALUE_WHOLE	UNTYPED_VALUE_AXIS__NO_FORCED_QUANTITY_CLASS	Mengen- oder Klassenachse lokal	V13:VALUE_MINIM_SERIES	0	H0_NONE
G730-D002	alkal#GLOBAL	alkal	Laugensalz / Alkali	Laugensalz	LEARNED_TECHNICAL_WHOLE	ONE_SPEAKABLE_LEARNED_WHOLE_DEFAULT	Alkali als gelehrte Stoffbezeichnung	GDT663:EXACT_WHOLE	0	H0_NONE
G730-D003	an#GLOBAL	an	Menge-/Klassenwert I	Wertstufe I	OPEN_VALUE_WHOLE	UNTYPED_VALUE_AXIS__NO_FORCED_QUANTITY_CLASS	Mengen- oder Klassenachse lokal	V13:VALUE_MINIM_SERIES	0	H0_NONE
G730-D004	chcth#GLOBAL	chcth	getrocknete Kraut- oder Blattdroge	getrocknete Pflanzendroge	PLANT_WHOLE	GLOBAL_NEUTRAL_PLANT_HEAD__HERBAL_SPECIFIC_RIVAL	lokal im Herbal Blattgut; bei SHOR Fruchtdroge	GDT666:EXACT_WHOLE	0	H0_NONE
G730-D005	chcthy#GLOBAL	chcthy	trockene CTH-Materialform; im Herbal trockenes Blatt-/Krautgut	trockenes Pflanzenmaterial	PLANT_WHOLE	GLOBAL_NEUTRAL_PLANT_HEAD__HERBAL_SPECIFIC_RIVAL	lokal im Herbal Blattgut; bei SHOR Fruchtdroge	V13:DRY_CTH_MATERIAL	0	H0_NONE
G730-D006	chdal#GLOBAL	chdal	trockene abgemessene Rohstoffmenge I am Gradanfang	trockener abgewogener Rohstoffposten I am Gradanfang	LEARNED_TECHNICAL_WHOLE	ONE_SPEAKABLE_LEARNED_WHOLE_DEFAULT	abgeteilte Rohstoffportion I	GDT655:DAL_MEASURED_INPUT_QUANTITY	0	H0_NONE
G730-D007	chdaly#GLOBAL	chdaly	trockene abgemessene Rohstoffmenge I am Gradanfang, Grundform	trockener abgewogener Rohstoffposten I am Gradanfang, Grundform	LEARNED_TECHNICAL_WHOLE	ONE_SPEAKABLE_LEARNED_WHOLE_DEFAULT	abgeteilte Rohstoffportion I	GDT655:DAL_MEASURED_INPUT_QUANTITY	0	H0_NONE
G730-D008	chedal#GLOBAL	chedal	trockene abgemessene Rohstoffmenge I in der Gradmitte	trockener abgewogener Rohstoffposten I in der Gradmitte	LEARNED_TECHNICAL_WHOLE	ONE_SPEAKABLE_LEARNED_WHOLE_DEFAULT	abgeteilte Rohstoffportion I	GDT655:DAL_MEASURED_INPUT_QUANTITY	0	H0_NONE
G730-D009	cheecthy#GLOBAL	cheecthy	trockenes Blatt-/Krautgut mit erweiterter Bindungsstufe II	trockenes Pflanzenmaterial	PLANT_WHOLE	GLOBAL_NEUTRAL_PLANT_HEAD__HERBAL_SPECIFIC_RIVAL	lokal Blattgut; E-Zwischenslot bleibt semantisch stumm	V13:DRY_EXTENDED_BOUND_CTH|GDT632:E_O_MEANINGS_OPEN	0	H0_NONE
G730-D010	chocthy#GLOBAL	chocthy	trockene CTH-Drogenzubereitung; im Herbal trockene Blatt-/Krautzubereitung	trockene Pflanzenzubereitung	PLANT_WHOLE	GLOBAL_NEUTRAL_PLANT_HEAD__HERBAL_SPECIFIC_RIVAL	lokal im Herbal Blattgut; bei SHOR Fruchtdroge	V13:DRY_CTH_PREPARATION	0	H0_NONE
G730-D011	choror#GLOBAL	choror	Portion Blüten- oder Fruchtdroge	eine Portion Blütendroge	PLANT_WHOLE	GLOBAL_NEUTRAL_PLANT_HEAD__HERBAL_SPECIFIC_RIVAL	lokal im Herbal Blattgut; bei SHOR Fruchtdroge	GDT664:EXACT_WHOLE	0	H0_NONE
G730-D012	cth#GLOBAL	cth	Kraut- oder Blattdroge	Pflanzendroge	PLANT_WHOLE	GLOBAL_NEUTRAL_PLANT_HEAD__HERBAL_SPECIFIC_RIVAL	lokal im Herbal Blattgut; bei SHOR Fruchtdroge	GDT671:EXACT_WHOLE	0	H0_NONE
G730-D013	cthal#GLOBAL	cthal	Kraut- oder Blattdroge aus Rohdroge I	Pflanzendroge aus Rohdroge I	PLANT_WHOLE	GLOBAL_NEUTRAL_PLANT_HEAD__HERBAL_SPECIFIC_RIVAL	lokal im Herbal Blattgut; bei SHOR Fruchtdroge	GDT669:EXACT_WHOLE	0	H0_NONE
G730-D014	cthar#GLOBAL	cthar	CTH-Drogenfraktion I; im Herbal Blatt-/Krautfraktion I	Pflanzenanteil I	PLANT_WHOLE	GLOBAL_NEUTRAL_PLANT_HEAD__HERBAL_SPECIFIC_RIVAL	lokal im Herbal Blattgut; Fraktion I als technischer Rival	GDT639:ROUND_04|GDT693:R_INDEXED_SHARE	0	H0_NONE
G730-D015	ctharal#GLOBAL	ctharal	erste Kraut- oder Blattfraktion aus Rohdroge I	Pflanzenanteil I aus Rohdroge I	PLANT_WHOLE	GLOBAL_NEUTRAL_PLANT_HEAD__HERBAL_SPECIFIC_RIVAL	lokal im Herbal Blattgut; Fraktion I als technischer Rival	GDT666:EXACT_WHOLE|GDT693:R_INDEXED_SHARE	0	H0_NONE
G730-D016	cthey#GLOBAL	cthey	CTH-Drogenmaterial, Form I; im Herbal Blatt-/Krautdroge, Form I	Pflanzendroge, Form I	PLANT_WHOLE	GLOBAL_NEUTRAL_PLANT_HEAD__HERBAL_SPECIFIC_RIVAL	lokal im Herbal Blattgut; bei SHOR Fruchtdroge	GDT638:ROUND_03	0	H0_NONE
G730-D017	cthoiin#GLOBAL	cthoiin	Blatt-/Krautzubereitung, Form III	Pflanzenzubereitung, Form III	PLANT_WHOLE	GLOBAL_NEUTRAL_PLANT_HEAD__HERBAL_SPECIFIC_RIVAL	lokal im Herbal Blattgut; bei SHOR Fruchtdroge	GDT638:ROUND_01	0	H0_NONE
G730-D018	cthol#GLOBAL	cthol	CTH-Drogenstoff; im Kräuterbuch Blatt- oder Krautdroge	Pflanzendrogenstoff	PLANT_WHOLE	GLOBAL_NEUTRAL_PLANT_HEAD__HERBAL_SPECIFIC_RIVAL	lokal im Herbal Blattgut; bei SHOR Fruchtdroge	GDT644:ROUND_02	0	H0_NONE
