mark_id	stage	page	unit	source_id	surface	identity	component_recipe	concrete_default_de	owner_or_handle_de	calibration_set
S001	MAKE_B.X2	f11r	H3-S001	E039	tshol	PROC026	T+SH+OL	BEARBEITEN · HALTEN · WEITER	Bildbesitzer B; entstehendes Produkt B.X2	PASS874_CAL1_TO_CAL6_UNCHANGED
S002	MAKE_B.X2	f11r	H3-S001	E040	schoal	PROC027	SH+O+AL	HALTEN · ARBEITSGANG · ZIELSTELLE	Bildbesitzer B; entstehendes Produkt B.X2	PASS874_CAL1_TO_CAL6_UNCHANGED
S003	MAKE_B.X2	f11r	H3-S001	E041	cfhy	PROC028	CFH+Y	AUSPRESSEN · POSTEN	Bildbesitzer B; entstehendes Produkt B.X2	PASS874_CAL1_TO_CAL6_UNCHANGED
S004	MAKE_B.X2	f11r	H3-S001	E042	shfydaiin	PROC029	SH+Y+AIIN	HALTEN · POSTEN · EIN KLEINER SCHOEPFBECHER	Bildbesitzer B; entstehendes Produkt B.X2	PASS874_CAL1_TO_CAL6_UNCHANGED
S005	MAKE_B.X2	f11r	H3-S001	E043	cphy	PROC030	P+Y	EINBRINGEN · POSTEN	Bildbesitzer B; entstehendes Produkt B.X2	PASS874_CAL1_TO_CAL6_UNCHANGED
S006	MAKE_B.X2	f11r	H3-S001	E044	shey	PROC031	SH+EE+Y	HALTEN · DREI KURZE ARBEITSGAENGE · POSTEN	Bildbesitzer B; entstehendes Produkt B.X2	PASS874_CAL1_TO_CAL6_UNCHANGED
S007	MAKE_B.X2	f11r	H3-S001	E045	tchody	PROC032	T+CH+O+DY	BEARBEITEN · ENTNEHMEN · ARBEITSGANG · SCHLUSS	Bildbesitzer B; entstehendes Produkt B.X2	PASS874_CAL1_TO_CAL6_UNCHANGED
S008	MAKE_B.X2	f11r	H3-S002	E046	shoyty	PROC033	SH+O+Y+T+Y	HALTEN · ARBEITSGANG · POSTEN · BEARBEITEN · POSTEN	Bildbesitzer B; entstehendes Produkt B.X2	PASS874_CAL1_TO_CAL6_UNCHANGED
S009	APPLY_B3	f83r	B3-S001	E229	olkeedy	PROC098	SOLK+EE+DY	SAMMELN · DREI KURZE ARBEITSGAENGE · SCHLUSS	obere offene Fächerstation am Rand	PASS874_CAL1_TO_CAL6_UNCHANGED
S010	APPLY_B3	f83r	B3-S002	E230	qotal	PROC131	OT+AL	DANACH · ZIELSTELLE	obere offene Fächerstation am Rand	PASS874_CAL1_TO_CAL6_UNCHANGED
S011	APPLY_B3	f83r	B3-S002	E231	chkeedy	PROC132	CHK+EE+DY	WAERMEN · DREI KURZE ARBEITSGAENGE · SCHLUSS	obere offene Fächerstation am Rand	PASS874_CAL1_TO_CAL6_UNCHANGED
S012	APPLY_B3	f83r	B3-S003	E232	chey	PROC019	Y	POSTEN	obere offene Fächerstation am Rand	PASS874_CAL1_TO_CAL6_UNCHANGED
S013	APPLY_B3	f83r	B3-S003	E233	daiin	PROC009	AIIN	EIN KLEINER SCHOEPFBECHER	obere offene Fächerstation am Rand	PASS874_CAL1_TO_CAL6_UNCHANGED
S014	APPLY_B3	f83r	B3-S003	E234	chey	PROC019	Y	POSTEN	obere offene Fächerstation am Rand	PASS874_CAL1_TO_CAL6_UNCHANGED
S015	APPLY_B3	f83r	B3-S003	E235	lchedy	PROC120	L+CHD+DY	LEITEN · UMSETZEN · SCHLUSS	obere offene Fächerstation am Rand	PASS874_CAL1_TO_CAL6_UNCHANGED
S016	APPLY_B3	f83r	B3-S004	E236	qokaiin	PROC038	OK+AIIN	ANSETZEN · EIN KLEINER SCHOEPFBECHER	obere offene Fächerstation am Rand	PASS874_CAL1_TO_CAL6_UNCHANGED
S017	APPLY_B3	f83r	B3-S004	E237	qotal	PROC131	OT+AL	DANACH · ZIELSTELLE	obere offene Fächerstation am Rand	PASS874_CAL1_TO_CAL6_UNCHANGED
S018	APPLY_B3	f83r	B3-S004	E238	dar	PROC003	AR	QUELLE	obere offene Fächerstation am Rand	PASS874_CAL1_TO_CAL6_UNCHANGED
S019	APPLY_B3	f83r	B3-S005	E239	schedy	PROC076	CHD+DY	UMSETZEN · SCHLUSS	mittlere Randfigur im runden Gefäß	PASS874_CAL1_TO_CAL6_UNCHANGED
S020	APPLY_B3	f83r	B3-S006	E240	chedchy	PROC133	CHD+Y	UMSETZEN · POSTEN	mittlere Randfigur im runden Gefäß	PASS874_CAL1_TO_CAL6_UNCHANGED
S021	APPLY_B3	f83r	B3-S006	E241	qokal	PROC048	OK+AL	ANSETZEN · ZIELSTELLE	mittlere Randfigur im runden Gefäß	PASS874_CAL1_TO_CAL6_UNCHANGED
S022	APPLY_B3	f83r	B3-S006	E242	olchedy	PROC079	OL+CHD+DY	WEITER · UMSETZEN · SCHLUSS	mittlere Randfigur im runden Gefäß	PASS874_CAL1_TO_CAL6_UNCHANGED
S023	APPLY_B3	f83r	B3-S007	E243	qokaiin	PROC038	OK+AIIN	ANSETZEN · EIN KLEINER SCHOEPFBECHER	mittlere Randfigur im runden Gefäß	PASS874_CAL1_TO_CAL6_UNCHANGED
S024	APPLY_B3	f83r	B3-S007	E244	chedy	PROC042	CHD+Y	UMSETZEN · POSTEN	mittlere Randfigur im runden Gefäß	PASS874_CAL1_TO_CAL6_UNCHANGED
S025	APPLY_B3	f83r	B3-S007	E245	qokeedy	PROC100	OK+EE+DY	ANSETZEN · DREI KURZE ARBEITSGAENGE · SCHLUSS	mittlere Randfigur im runden Gefäß	PASS874_CAL1_TO_CAL6_UNCHANGED
S026	APPLY_B3	f83r	B3-S008	E246	lchedy	PROC120	L+CHD+DY	LEITEN · UMSETZEN · SCHLUSS	mittlere Randfigur im runden Gefäß	PASS874_CAL1_TO_CAL6_UNCHANGED
S027	APPLY_B3	f83r	B3-S009	E247	qoky	PROC008	OK+Y	ANSETZEN · POSTEN	mittlere Randfigur im runden Gefäß	PASS874_CAL1_TO_CAL6_UNCHANGED
S028	APPLY_B3	f83r	B3-S010	E248	pchedal	PROC134	P+CHD+AL	EINBRINGEN · UMSETZEN · ZIELSTELLE	untere Randfigur im korbartigen Gefäß	PASS874_CAL1_TO_CAL6_UNCHANGED
