stage	unit	page	surface_sequence	literal_sequence_de	fluent_workshop_reading_de	marks	calibration_changed
MAKE_B.X2	H3-S001	f11r	tshol schoal cfhy shfydaiin cphy shey tchody	BEARBEITEN · HALTEN · WEITER; HALTEN · ARBEITSGANG · ZIELSTELLE; AUSPRESSEN · POSTEN; HALTEN · POSTEN · EIN KLEINER SCHOEPFBECHER; EINBRINGEN · POSTEN; HALTEN · DREI KURZE ARBEITSGAENGE · POSTEN; BEARBEITEN · ENTNEHMEN · ARBEITSGANG · SCHLUSS	Bei der dicht bluehenden Kronenpflanze: Den Posten bearbeiten und weiter halten, dann im Arbeitsgang an der Zielstelle halten; auspressen, bis zum Sollmass halten, in den lokalen Empfaenger einbringen, laenger halten, bearbeiten, im Arbeitsgang entnehmen und den Schritt schliessen.	7	NO
MAKE_B.X2	H3-S002	f11r	shoyty	HALTEN · ARBEITSGANG · POSTEN · BEARBEITEN · POSTEN	Bei der dicht bluehenden Kronenpflanze: Den laufenden Posten im Arbeitsgang halten und bearbeiten.	1	NO
APPLY_B3	B3-S001	f83r	olkeedy	SAMMELN · DREI KURZE ARBEITSGAENGE · SCHLUSS	An der oberen offenen Faecherstation: Laenger sammeln und den Schritt schliessen.	1	NO
APPLY_B3	B3-S002	f83r	qotal chkeedy	DANACH · ZIELSTELLE; WAERMEN · DREI KURZE ARBEITSGAENGE · SCHLUSS	An der oberen offenen Faecherstation: Danach zur Zielstelle; dann laenger erwaermen; den Schritt schliessen.	2	NO
APPLY_B3	B3-S003	f83r	chey daiin chey lchedy	POSTEN; EIN KLEINER SCHOEPFBECHER; POSTEN; LEITEN · UMSETZEN · SCHLUSS	An der oberen offenen Faecherstation: Den laufenden Posten nach Sollmass beibehalten, anschliessend leiten und umsetzen, dann schliessen.	4	NO
APPLY_B3	B3-S004	f83r	qokaiin qotal dar	ANSETZEN · EIN KLEINER SCHOEPFBECHER; DANACH · ZIELSTELLE; QUELLE	An der oberen offenen Faecherstation: Nach Sollmass ansetzen; danach zur Zielstelle wechseln und aus der Quelle weiterarbeiten.	3	NO
APPLY_B3	B3-S005	f83r	schedy	UMSETZEN · SCHLUSS	Am runden Mittelgefaess: Umsetzen; den Schritt schliessen.	1	NO
APPLY_B3	B3-S006	f83r	chedchy qokal olchedy	UMSETZEN · POSTEN; ANSETZEN · ZIELSTELLE; WEITER · UMSETZEN · SCHLUSS	Am runden Mittelgefaess: Den laufenden Posten umsetzen; dann zur Zielstelle ansetzen; dann weiter umsetzen; den Schritt schliessen.	3	NO
APPLY_B3	B3-S007	f83r	qokaiin chedy qokeedy	ANSETZEN · EIN KLEINER SCHOEPFBECHER; UMSETZEN · POSTEN; ANSETZEN · DREI KURZE ARBEITSGAENGE · SCHLUSS	Am runden Mittelgefaess: Nach Sollmass ansetzen; dann den laufenden Posten umsetzen; dann laenger ansetzen; den Schritt schliessen.	3	NO
APPLY_B3	B3-S008	f83r	lchedy	LEITEN · UMSETZEN · SCHLUSS	Am runden Mittelgefaess: Leiten und umsetzen; den Schritt schliessen.	1	NO
