record_id	transformation_codes	fluent_reading_de
G475-R001	LIST_COMPACTED|ORDER_TRACE_SEPARATED	Katalogfolge: Pflanzenname »eeeon« mit Folgevermerk; Pflanzenname »oiil«.
G475-R002	LIST_COMPACTED	Katalogfolge: Eintrag »char« mit Ausgangszuordnung; Sternstelle »om« mit Ausgangszuordnung.
G475-R003	CATALOGUE_PROSE	Sternstelle »chf« mit Zielzuordnung und Postenangabe.
G475-R004	CONTINUATION_SMOOTHED|ORDER_TRACE_SEPARATED	Führe das Setzen des Eintrags von der Ausgangsposition aus fort.
G475-R005	CATALOGUE_PROSE|ORDER_TRACE_SEPARATED	Sternstelle »chody« mit Folgevermerk.
G475-R006	OBJECT_REFERENCE_SMOOTHED	Nimm den Positionsposten auf und setze ihn zur Zielposition ein.
G475-R007	COORDINATE_PROSE|ORDER_TRACE_SEPARATED	Die Adressspur führt danach zum Positionswert.
G475-R008	QUALIFIER_REORDERED	Setze den Positionswert von der Ausgangsposition aus.
G475-R009	COORDINATE_PROSE|LIST_COMPACTED|ORDER_TRACE_SEPARATED	Die erste Adressspur weist danach zur Ausgangsposition. Die zweite bezeichnet die Ausgangsposition. Die dritte führt von der Zielposition zum Positionsposten.
G475-R010	COORDINATE_PROSE|LIST_COMPACTED	Die erste Adressspur führt von Sternstelle »op« über die Zielposition zur Ausgangsposition. Die zweite bezeichnet die bezeichnete Stelle, die dritte den Sektoranteil.
G475-R011	LIST_COMPACTED|CATALOGUE_PROSE	Katalogfolge: Sternstelle »op« mit Zielzuordnung und Einheitsangabe; Eintrag »ar« mit Ausgangszuordnung.
G475-R012	CATALOGUE_PROSE	Sternstelle »aom« mit Ausführungs- und Hier-Vermerk.
G475-R013	CATALOGUE_PROSE|ORDER_TRACE_SEPARATED	Sternstelle »ody« mit Folgevermerk und Zielzuordnung.
G475-R014	COORDINATE_PROSE|ORDER_TRACE_SEPARATED	Danach führt die Adressspur über die Zielposition zum Positionswert.
G475-R015	LIST_COMPACTED|OBJECT_REFERENCE_SMOOTHED|ORDER_TRACE_SEPARATED	Beziehe danach den Eintrag von der Ausgangsposition und halte ihn dort.
G475-R016	CONTINUATION_SMOOTHED|OBJECT_REFERENCE_SMOOTHED|DUPLICATE_COLLAPSED|ORDER_TRACE_SEPARATED	Halte den Sternstelleneintrag »dy« weiter und halte ihn ein zweites Mal.
G475-R017	OBJECT_REFERENCE_SMOOTHED	Halte die Sternstelleneinträge »o« und »odady«.
G475-R018	CATALOGUE_PROSE	Sternstelle »chdaiird« mit Anteils- und Postenangabe.
G475-R019	COORDINATE_PROSE|LIST_COMPACTED	Drei Adressspuren: vom Ausführungspunkt zum Positionswert; die Ausgangsposition; von der Ausgangsposition zum Positionsposten.
G475-R020	QUALIFIER_REORDERED	Setze den Eintrag an der bezeichneten Stelle zur Zielposition.
G475-R021	OBJECT_REFERENCE_SMOOTHED|QUALIFIER_REORDERED	Halte die Sternstelleneinträge »yt« und »dy« zur Zielposition.
G475-R022	LIST_COMPACTED|CATALOGUE_PROSE	Katalogfolge: Eintrag »char« mit Ausgangszuordnung; Sternstelle »if« mit Zielzuordnung.
G475-R023	COORDINATE_PROSE|ORDER_TRACE_SEPARATED	Danach führt die Adressspur von der Ausgangsposition über die Zielposition zum Positionsposten.
G475-R024	COORDINATE_PROSE|LIST_COMPACTED|ORDER_TRACE_SEPARATED	Die erste Adressspur führt danach zum Positionswert, die zweite danach zum Sektoranteil.
G475-R025	LIST_COMPACTED|SAME_GANG_SMOOTHED|ORDER_TRACE_SEPARATED	Beziehe danach den Sternstelleneintrag »ef« zur Zielposition; wähle den Positionsposten und im selben Gang den Sektoranteil an der bezeichneten Stelle.
G475-R026	CONTINUATION_SMOOTHED|LIST_COMPACTED|OBJECT_REFERENCE_SMOOTHED|ORDER_TRACE_SEPARATED	Führe den Bezug des Eintrags als Ausführung weiter; halte ihn anschließend von der Ausgangsposition an der bezeichneten Stelle.
G475-R027	COORDINATE_PROSE	Adressfolge: Ausführungspunkt, bezeichnete Stelle, Ausgangsposition, Zielposition, erneut Ausgangsposition.
G475-R028	CATALOGUE_PROSE|ORDER_TRACE_SEPARATED	Sternstelle »cho« mit Folgevermerk und Postenangabe.
G475-R029	CATALOGUE_PROSE|ORDER_TRACE_SEPARATED	Sternstelle »ch« mit Folgevermerk und Zielzuordnung.
G475-R030	LIST_COMPACTED|SAME_GANG_SMOOTHED|OBJECT_REFERENCE_SMOOTHED	Setze den Positionsposten auf Grad II; setze ihn im selben Gang von der Ausgangsposition aus.
G475-R031	COORDINATE_PROSE|ORDER_TRACE_SEPARATED	Danach führt die Adressspur vom Sektoranteil zum Positionsposten.
G475-R032	CATALOGUE_PROSE	Sternstelle »chdamy« mit Ausführungs- und Hier-Vermerk.
G475-R033	OBJECT_REFERENCE_SMOOTHED	Setze die Sternstelleneinträge »l« und »dy« entlang der Ringbahn.
G475-R034	QUALIFIER_REORDERED	Setze den Eintrag von der Ausgangsposition aus an der bezeichneten Stelle.
G475-R035	ALREADY_FLUENT	Setze den Sternstelleneintrag »y« entlang der Ringbahn.
G475-R036	QUALIFIER_REORDERED	Setze den Sternstelleneintrag »e« zur Zielposition, ausgehend von der Ausgangsposition.
G475-R037	COORDINATE_PROSE|ORDER_TRACE_SEPARATED	Danach führt die Adressspur von der Ausgangsposition über die Zielposition zum Positionsposten.
G475-R038	QUALIFIER_REORDERED	Setze den Eintrag zur Zielposition, ausgehend von der Ausgangsposition.
G475-R039	ALREADY_FLUENT	Setze den Eintrag zur Zielposition.
G475-R040	ALREADY_FLUENT	Setze den Positionsposten zur Zielposition.
G475-R041	ALREADY_FLUENT	Setze den Eintrag zur Zielposition.
G475-R042	LIST_COMPACTED|SAME_GANG_SMOOTHED|OBJECT_REFERENCE_SMOOTHED	Setze den Positionsposten auf Grad II; setze ihn im selben Gang von der Ausgangsposition aus.
G475-R043	CATALOGUE_PROSE|DUPLICATE_COLLAPSED|ORDER_TRACE_SEPARATED	Sternstellen »ee« und »y« mit Folgevermerk und Ausgangszuordnung.
G475-R044	COORDINATE_PROSE|LIST_COMPACTED|ORDER_TRACE_SEPARATED	Die erste Adressspur führt danach zur Ringbahn; die zweite bezeichnet den Positionsposten.
G475-R045	ALREADY_FLUENT	Setze den Sternstelleneintrag »ch« entlang der Ringbahn an der bezeichneten Stelle.
G475-R046	ALREADY_FLUENT	Setze den Sternstelleneintrag »e« zur Zielposition.
G475-R047	COORDINATE_PROSE|ORDER_TRACE_SEPARATED	Danach weist die Adressspur zur Ausgangsposition.
G475-R048	ALREADY_FLUENT	Setze den Positionsposten zur Zielposition.
