statement_id	record_unit_id	visible_owner	field_ids	visible_sequence	portable_core_chain	local_register_chain	complete_local_translation_de	revised_event_count	reading_rule
H1-S001	H1	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	F001	dchey cthoor char chty os chair otytchol oky daiin etyd	Wurzel | Vorbereitung | davon | Teil | AUFNAHMEFELD_ODER_UMSCHLUSS | Zuguss | Folgeteil | einsetzen | Sollwert | kleiner Rest	Wurzel | Vorbereitung | davon | Teil | Aufnahmegefäß | Zuguss | Folgeteil | einsetzen | Sollwert | kleiner Rest	Die Wurzel der Bildpflanze nehmen, einen Teil im Aufnahmegefäß vorbereiten, Flüssigkeit zugießen, den Folgeteil einsetzen, auf Sollmaß bringen und einen kleinen Rest belassen.	1	read portable cores first; insert plant or station objects from owner; expand locally
H4-S001	H4	WHOLE_BROAD_LEAF_PANICLED_PLANT_WITH_MNEMONIC_ROOT	F010	qokaiin chaiin ykain ykan ody	bemessen | Sollwert | erste Portion | zweite Portion | ZURUECKNEHMEN__SCHLUSS	bemessen | Sollwert | erste Portion | zweite Portion | aus der Wärme nehmen und abkühlen; Schluss	Den Ansatz bemessen, auf Sollmaß in eine erste und zweite Portion teilen und abkühlen lassen; Schluss.	1	read portable cores first; insert plant or station objects from owner; expand locally
H5-S001	H5	WHOLE_MULTIHEAD_SPINY_OR_EMBLEMATIC_HERB	F014|F015	chochor cho chodaly daiin sho kchol otchor choky dal	Zugabeansatz | EINGABE_ODER_BEDINGUNG | Zielzugabe | Sollwert | EINGABE_ODER_BEDINGUNG | weiter bearbeiten | Folgeansatz | einsetzen | dorthin	Zugabeansatz | weitere Zutat | Zielzugabe | Sollwert | weitere Zutat | weiter bearbeiten | Folgeansatz | einsetzen | dorthin	Einen Zugabeansatz herstellen, die weitere Zutat als Zielzugabe auf Sollmaß bringen, den Folgeansatz weiter bearbeiten, einsetzen und dorthin führen.	2	read portable cores first; insert plant or station objects from owner; expand locally
H5-S003	H5	WHOLE_MULTIHEAD_SPINY_OR_EMBLEMATIC_HERB	F017	sh cho kchey qokokchy	Stängel | EINGABE_ODER_BEDINGUNG | Kurzbearbeitung | erneut einsetzen	Stängel | weitere Zutat | Kurzbearbeitung | erneut einsetzen	Den Stängel und eine weitere Zutat kurz bearbeiten und erneut einsetzen.	1	read portable cores first; insert plant or station objects from owner; expand locally
H5-S005	H5	WHOLE_MULTIHEAD_SPINY_OR_EMBLEMATIC_HERB	F019	sho chokchy kchoar sotodan	EINGABE_ODER_BEDINGUNG | weiterbearbeiten | bearbeiteter Quellauszug | Folgeanwendung	weitere Zutat | weiterbearbeiten | bearbeiteter Quellauszug | Folgeanwendung	Eine weitere Zutat mit dem bearbeiteten Quellauszug weiterbearbeiten und die Folgeanwendung ausführen.	1	read portable cores first; insert plant or station objects from owner; expand locally
B1-S012	B1	gemeinsames zweireihiges Figuren-/Beckenfeld	F034	lsho qokey lshedy	Waschgang | KURZ_SETZEN | Waschgang; Schluss	Waschgang | kurz einwirken lassen | Waschgang; Schluss	Waschen, kurz einwirken lassen und nochmals waschen; Schluss.	1	read portable cores first; insert plant or station objects from owner; expand locally
B1-S016	B1	gemeinsames zweireihiges Figuren-/Beckenfeld	F038	qokal okeey qol cheedy	dorthin einsetzen | LAENGER_SETZEN_ODER_HALTEN | weiter | kurz absetzen; Schluss	dorthin einsetzen | länger einwirken lassen | weiter | kurz absetzen; Schluss	Am Ziel einsetzen, länger einwirken lassen, weiterführen und kurz absetzen lassen; Schluss.	1	read portable cores first; insert plant or station objects from owner; expand locally
B2-S004	B2	obere Paarbecken-/Zylinderstation	F048|F049	qokal lcheckhy lched qokeey lcheckhedy	dorthin einsetzen | Abführpassage | Abführung | LAENGER_SETZEN_ODER_HALTEN | Trennabzug; Schluss	dorthin einsetzen | Abführpassage | Abführung | länger einwirken lassen | Trennabzug; Schluss	Am Ziel einsetzen, durch die Abführpassage führen, abführen, länger einwirken lassen und getrennt abziehen; Schluss.	1	read portable cores first; insert plant or station objects from owner; expand locally
B2-S010	B2	mittlere linke Geräte-/Inline-Knotenstation	F056	qokeey qoky ls cheey	LAENGER_SETZEN_ODER_HALTEN | einsetzen | Auslass | Freigabewert	länger einwirken lassen | einsetzen | Auslass | Freigabewert	Länger einwirken lassen, einsetzen und den klaren Auszug zum Auslass führen.	1	read portable cores first; insert plant or station objects from owner; expand locally
B2-S012	B2	ungelöste mittlere rechte Linie-/Liegepodeststation	F058|F059	lchy cheey qcthey qokeey lcheey daiin chey qokeeedy	Abführgut | Freigabewert | kurz vorbereiten | LAENGER_SETZEN_ODER_HALTEN | Klarabzug | Sollwert | dies | Volleinsatz; Schluss	Abführgut | Freigabewert | kurz vorbereiten | länger einwirken lassen | Klarabzug | Sollwert | dies | Volleinsatz; Schluss	Das Abführgut als klaren Auszug kurz vorbereiten, länger einwirken lassen, klar abziehen, auf Sollmaß bringen und den aktuellen Posten vollständig einsetzen; Schluss.	1	read portable cores first; insert plant or station objects from owner; expand locally
