event_id	page	record_unit_id	statement_id	visible_surface	master_card_id	old_default_de	new_portable_core_de	local_expansion_de	revision_reason
E005	f10r	H1	H1-S001	os	MC159	Aufnahmegefäß	AUFNAHMEFELD_ODER_UMSCHLUSS	Aufnahmegefäß	Herbal receiver expansion
E060	f55v	H4	H4-S001	ody	MC100	abkühlen; Schluss	ZURUECKNEHMEN__SCHLUSS	aus der Wärme nehmen und abkühlen; Schluss	Herbal thermal expansion
E075	f56r	H5	H5-S001	cho	MC034	weitere Zutat	EINGABE_ODER_BEDINGUNG	weitere Zutat	Herbal ingredient expansion
E078	f56r	H5	H5-S001	sho	MC034	weitere Zutat	EINGABE_ODER_BEDINGUNG	weitere Zutat	Herbal ingredient expansion
E088	f56r	H5	H5-S003	cho	MC034	weitere Zutat	EINGABE_ODER_BEDINGUNG	weitere Zutat	Herbal ingredient expansion
E094	f56r	H5	H5-S005	sho	MC034	weitere Zutat	EINGABE_ODER_BEDINGUNG	weitere Zutat	Herbal ingredient expansion
E142	f81v	B1	B1-S012	qokey	MC007	kurz einwirken	KURZ_SETZEN	kurz einwirken lassen	wet-contact expansion
E153	f81v	B1	B1-S016	okeey	MC002	lange einwirken	LAENGER_SETZEN_ODER_HALTEN	länger einwirken lassen	wet-contact expansion
E175	f82r	B2	B2-S004	qokeey	MC002	lange einwirken	LAENGER_SETZEN_ODER_HALTEN	länger einwirken lassen	wet-contact expansion
E194	f82r	B2	B2-S010	qokeey	MC002	lange einwirken	LAENGER_SETZEN_ODER_HALTEN	länger einwirken lassen	wet-contact expansion
E205	f82r	B2	B2-S012	qokeey	MC002	lange einwirken	LAENGER_SETZEN_ODER_HALTEN	länger einwirken lassen	wet-contact expansion
E220	f82r	B2	B2-S016	okey	MC007	kurz einwirken	KURZ_SETZEN	kurz einwirken lassen	wet-contact expansion
E293	f83r	B3	B3-S028	qokeey	MC002	lange einwirken	LAENGER_SETZEN_ODER_HALTEN	länger einwirken lassen	wet-contact expansion
E317	f83r	B4	B4-S002	qokeey	MC002	lange einwirken	LAENGER_SETZEN_ODER_HALTEN	länger einwirken lassen	wet-contact expansion
E322	f83r	B4	B4-S003	qokeey	MC002	lange einwirken	LAENGER_SETZEN_ODER_HALTEN	länger einwirken lassen	wet-contact expansion
