review_id	primary_governor_key	expected_baseline_object_class	expected_baseline_object_lemma_de	override_object_class	override_object_lemma_de	override_selection_route	override_source_pointer	override_reference_mode	reason_de	renderer_policy
W01	ACTION:G407-E2678@3:P	BODY	Körper	PORTION	Anwendungsportion	MANUAL_Q_INPUT_ROOT_DEFAULT	DEFAULT:P:PORTION	DEFINITE	Ein Körper wird nicht selbst zum neuen Stationsansatz; die sichtbare Anwendung nimmt eine Portion und schreibt danach das Resultat STATION.	P_APPLY
W02	ACTION:G407-E3251@3:P	UNIT	Becken- oder Körpereinheit	PORTION	Inhalt der Becken- oder Körpereinheit	MANUAL_Q_UNIT_CONTENT	LOCAL_CONTENT:OR	DEFINITE	Der Inhalt der geschriebenen Einheit wird zum neuen Ansatz, nicht der Behälter als solcher.	P_INSERT
W03	ACTION:G407-E2697@3:CH	BODY	Körper	FLOW	Strom	MANUAL_PATH_FLOW_OVERRIDE	LOCAL_MODIFIER:CONTACT_OR_LINE	DEFINITE	Das explizite Kontakt- oder Leitungssignal macht in diesem zweiten CH-Schritt den abgelassenen Strom plausibler als den Körper.	CH_DRAIN_FLOW
W04	ACTION:G407-E2699@1:CH	BODY	Körper	FLOW	Strom	MANUAL_PATH_FLOW_OVERRIDE	LOCAL_MODIFIER:CONTACT_OR_LINE	DEFINITE	Der sichtbare Leitungsweg bindet CH hier an den abgelassenen Strom statt an den älteren Körper.	CH_DRAIN_FLOW
W05	ACTION:G407-E3466@2:CH	BODY	Körper	FLOW	Strom	MANUAL_PATH_FLOW_OVERRIDE	LOCAL_MODIFIER:CONTACT_OR_LINE	DEFINITE	Der sichtbare Leitungsweg bindet CH hier an den abgelassenen Strom statt an den älteren Körper.	CH_DRAIN_FLOW
W06	ACTION:G407-E1566@2:CH	STATION	Stationsansatz	FLOW	Strom	MANUAL_PATH_FLOW_OVERRIDE	LOCAL_MODIFIER:CONTACT_OR_LINE	DEFINITE	Ohne lokalen Teilnehmer konkretisiert das explizite Leitungsargument den CH-Default als Strom.	CH_DRAIN_FLOW
W07	ACTION:G407-E3236@2:CH	STATION	Stationsansatz	FLOW	Strom	MANUAL_PATH_FLOW_OVERRIDE	LOCAL_MODIFIER:CONTACT_OR_LINE	DEFINITE	Ohne lokalen Teilnehmer konkretisiert das explizite Leitungsargument den CH-Default als Strom.	CH_DRAIN_FLOW
W08	ACTION:G407-E3559@3:CH	STATION	Stationsansatz	FLOW	Strom	MANUAL_PATH_FLOW_OVERRIDE	LOCAL_MODIFIER:CONTACT_OR_LINE	DEFINITE	Der Leitungsstrom ist der Eingang der sichtbaren Neuansatz-Transformation; erst danach wird STATION geschrieben.	CH_DRAIN_FLOW
W09	ACTION:G407-E3711@1:CH	STATION	Stationsansatz	FLOW	Strom	MANUAL_PATH_FLOW_OVERRIDE	LOCAL_MODIFIER:CONTACT_OR_LINE	DEFINITE	Ohne lokalen Teilnehmer konkretisiert das explizite Leitungsargument den CH-Default als Strom.	CH_DRAIN_FLOW
W10	ACTION:G407-E2937@1:K	STATION	Stationsansatz	MEASURE	abgemessene Menge	MANUAL_TRANSIENT_MEASURE_HANDOFF	ACTION:G407-E2936@1:OK	ANAPHORIC	Die unmittelbar zuvor vorbereitete AIIN-Menge wird im nächsten Host entlang des Kanals zugeführt; dieser lokale Verbrauch schlägt den K-Default.	K_FEED_MEASURE
W11	ACTION:G407-E2616@3:CH	BODY_PART	Körperteil	PORTION	Probe	MANUAL_SAMPLE_FROM_BODY_PART	LOCAL_SAMPLE:BODY_PART	DEFINITE	CH mit Arbeitsstelle und Kontakt/Leitung entnimmt hier eine Probe am Körperteil; das Körperteil selbst wird nicht herausgenommen.	CH_SAMPLE
