dictionary_entry_id	surfaces	component_recipe	atomic_pocket_sequence_de	observed_channel	observed_channel_reading_de	events	pages
P912-D0887	pchocthy	P+CH+O+CTH+Y	EINSATZ + AUSWAHL + GANG + BEREIT + DIES	WORKSHOP_PROSE	Material einsetzen; bezeichneten Anteil entnehmen; Arbeitsgang ausführen; bis bereit führen; dieser Arbeitsgegenstand	1	f10r
P912-D1179	shor	SH+OR	HALT + EINTRAG	WORKSHOP_PROSE	Arbeitsgegenstand halten; Ansatz oder Zubereitung	4	f10r,f11r
P912-D0526	octhody	O+CTH+O+D_ADDR+Y	GANG + BEREIT + GANG + UNTER + DIES	WORKSHOP_PROSE	Arbeitsgang ausführen; bis bereit führen; Arbeitsgang ausführen; bezeichneter Teil; dieser Arbeitsgegenstand	1	f10r
P912-D0229	chorchy	CH+OR+CH+Y	AUSWAHL + EINTRAG + AUSWAHL + DIES	WORKSHOP_PROSE	bezeichneten Anteil entnehmen; Ansatz oder Zubereitung; bezeichneten Anteil entnehmen; dieser Arbeitsgegenstand	2	f10r,f56r
P912-D0888	pchodol	P+CH+O+D_ADDR+OL	EINSATZ + AUSWAHL + GANG + UNTER + WEITER	WORKSHOP_PROSE	Material einsetzen; bezeichneten Anteil entnehmen; Arbeitsgang ausführen; bezeichneter Teil; im selben Arbeitsgang fortfahren	1	f10r
P912-D0224	chopchal	CH+O+P+CH+AL	AUSWAHL + GANG + EINSATZ + AUSWAHL + ZIEL	WORKSHOP_PROSE	bezeichneten Anteil entnehmen; Arbeitsgang ausführen; Material einsetzen; bezeichneten Anteil entnehmen; Ziel- oder Anschlussstelle	1	f10r
P912-D1348	ypch	Y+P+CH	DIES + EINSATZ + AUSWAHL	WORKSHOP_PROSE	dieser Arbeitsgegenstand; Material einsetzen; bezeichneten Anteil entnehmen	1	f10r
P912-D0446	kom	K+O+M_LOCAL	ZUORDNUNG + GANG + M	WORKSHOP_PROSE	Material zugeben; Arbeitsgang ausführen; lokales Schreibzeichen	1	f10r
P912-D0342	dchey	CH+E+Y	AUSWAHL + KURZ + DIES	WORKSHOP_PROSE	bezeichneten Anteil entnehmen; kurz oder direkt; dieser Arbeitsgegenstand	2	f10r,f56r
P912-D0275	cthoor	CTH+O+OR	BEREIT + GANG + EINTRAG	WORKSHOP_PROSE	bis bereit führen; Arbeitsgang ausführen; Ansatz oder Zubereitung	1	f10r
P912-D0067	char	AR	QUELLE	WORKSHOP_PROSE	Entnahmestelle	1	f10r
