edition	page	physical_leaf	window_start	model	status	paragraph_ids	observed_suffixes	unknown_suffixes	pair_conflicts	R5_noninjective	independent_confirmation_leaves
ZL3b	f103r	103	f103r|f103r.1-f103r.4	R1	CONTRADICTED	f103r|f103r.1-f103r.4;f103r|f103r.5-f103r.7;f103r|f103r.8-f103r.12;f103r|f103r.13-f103r.15;f103r|f103r.16-f103r.17;f103r|f103r.18-f103r.20;f103r|f103r.21-f103r.23	chedaraly;shedy;otedy;shkaiin;aiin;olor;shol	2	[[1,3],[1,4],[1,6],[1,7],[3,4],[3,6],[3,7],[4,6],[4,7],[6,7]]		0
ZL3b	f103r	103	f103r|f103r.1-f103r.4	R5	CONTRADICTED	f103r|f103r.1-f103r.4;f103r|f103r.5-f103r.7;f103r|f103r.8-f103r.12;f103r|f103r.13-f103r.15;f103r|f103r.16-f103r.17;f103r|f103r.18-f103r.20;f103r|f103r.21-f103r.23	okey chdar ol loty chedaraly;qokeey okeeody qoedy ol shedy;qokeol keedy shar aiin otedy;qotedy qokeey sh[o:a]l qotey shkaiin;chckhy qokal oty or aiin;qokaiin shey qokaiin shedy olor;daiin sheckhy lchedy chckhy shol	5	[[6,7]]	6	0
ZL3b	f103r	103	f103r|f103r.5-f103r.7	R1	CONTRADICTED	f103r|f103r.5-f103r.7;f103r|f103r.8-f103r.12;f103r|f103r.13-f103r.15;f103r|f103r.16-f103r.17;f103r|f103r.18-f103r.20;f103r|f103r.21-f103r.23;f103r|f103r.24-f103r.26	shedy;otedy;shkaiin;aiin;olor;shol;lotor	2	[[2,3],[2,5],[2,6],[2,7],[3,5],[3,6],[3,7],[5,6],[5,7],[6,7]]		0
ZL3b	f103r	103	f103r|f103r.5-f103r.7	R5	CONTRADICTED	f103r|f103r.5-f103r.7;f103r|f103r.8-f103r.12;f103r|f103r.13-f103r.15;f103r|f103r.16-f103r.17;f103r|f103r.18-f103r.20;f103r|f103r.21-f103r.23;f103r|f103r.24-f103r.26	qokeey okeeody qoedy ol shedy;qokeol keedy shar aiin otedy;qotedy qokeey sh[o:a]l qotey shkaiin;chckhy qokal oty or aiin;qokaiin shey qokaiin shedy olor;daiin sheckhy lchedy chckhy shol;qot[ch:ee]y shey olcheedar shey lotor	5	[[5,6]]	5	0
ZL3b	f103r	103	f103r|f103r.8-f103r.12	R1	CONTRADICTED	f103r|f103r.8-f103r.12;f103r|f103r.13-f103r.15;f103r|f103r.16-f103r.17;f103r|f103r.18-f103r.20;f103r|f103r.21-f103r.23;f103r|f103r.24-f103r.26;f103r|f103r.27-f103r.29	otedy;shkaiin;aiin;olor;shol;lotor;chedy	1	[[1,2],[1,4],[1,5],[1,6],[1,7],[2,4],[2,5],[2,6],[2,7],[4,5],[4,6],[4,7],[5,6],[5,7],[6,7]]		0
ZL3b	f103r	103	f103r|f103r.8-f103r.12	R5	CONTRADICTED	f103r|f103r.8-f103r.12;f103r|f103r.13-f103r.15;f103r|f103r.16-f103r.17;f103r|f103r.18-f103r.20;f103r|f103r.21-f103r.23;f103r|f103r.24-f103r.26;f103r|f103r.27-f103r.29	qokeol keedy shar aiin otedy;qotedy qokeey sh[o:a]l qotey shkaiin;chckhy qokal oty or aiin;qokaiin shey qokaiin shedy olor;daiin sheckhy lchedy chckhy shol;qot[ch:ee]y shey olcheedar shey lotor;shokeey qochey qokeey chal chedy	4	[[4,5],[4,7],[5,7]]	4	0
ZL3b	f103r	103	f103r|f103r.13-f103r.15	R1	CONTRADICTED	f103r|f103r.13-f103r.15;f103r|f103r.16-f103r.17;f103r|f103r.18-f103r.20;f103r|f103r.21-f103r.23;f103r|f103r.24-f103r.26;f103r|f103r.27-f103r.29;f103r|f103r.30-f103r.32	shkaiin;aiin;olor;shol;lotor;chedy;oraiin	1	[[1,3],[1,4],[1,5],[1,6],[1,7],[3,4],[3,5],[3,6],[3,7],[4,5],[4,6],[4,7],[5,6],[5,7],[6,7]]		0
ZL3b	f103r	103	f103r|f103r.13-f103r.15	R5	CONTRADICTED	f103r|f103r.13-f103r.15;f103r|f103r.16-f103r.17;f103r|f103r.18-f103r.20;f103r|f103r.21-f103r.23;f103r|f103r.24-f103r.26;f103r|f103r.27-f103r.29;f103r|f103r.30-f103r.32	qotedy qokeey sh[o:a]l qotey shkaiin;chckhy qokal oty or aiin;qokaiin shey qokaiin shedy olor;daiin sheckhy lchedy chckhy shol;qot[ch:ee]y shey olcheedar shey lotor;shokeey qochey qokeey chal chedy;qokal shety otedy shcthy oraiin	3	[[3,4],[3,6],[3,7],[4,6],[4,7],[6,7]]	3	0
ZL3b	f103r	103	f103r|f103r.16-f103r.17	R1	CONTRADICTED	f103r|f103r.16-f103r.17;f103r|f103r.18-f103r.20;f103r|f103r.21-f103r.23;f103r|f103r.24-f103r.26;f103r|f103r.27-f103r.29;f103r|f103r.30-f103r.32;f103r|f103r.33-f103r.34	aiin;olor;shol;lotor;chedy;oraiin;cheedalaiin	1	[[2,3],[2,4],[2,5],[2,6],[2,7],[3,4],[3,5],[3,6],[3,7],[4,5],[4,6],[4,7],[5,6],[5,7],[6,7]]		0
ZL3b	f103r	103	f103r|f103r.16-f103r.17	R5	CONTRADICTED	f103r|f103r.16-f103r.17;f103r|f103r.18-f103r.20;f103r|f103r.21-f103r.23;f103r|f103r.24-f103r.26;f103r|f103r.27-f103r.29;f103r|f103r.30-f103r.32;f103r|f103r.33-f103r.34	chckhy qokal oty or aiin;qokaiin shey qokaiin shedy olor;daiin sheckhy lchedy chckhy shol;qot[ch:ee]y shey olcheedar shey lotor;shokeey qochey qokeey chal chedy;qokal shety otedy shcthy oraiin;qotail shedy sheod oshey cheedalaiin	2	[[2,3],[2,5],[2,6],[2,7],[3,5],[3,6],[3,7],[5,6],[5,7],[6,7]]	2	0
