teaching_unit_id	layer	unit_type	recognition_forms	spoken_value_de	concrete_context_values_de	specialist_surface_forms	observed_specialist_events	pages	teaching_rule_de
R-Y	A_COMMON_PRODUCTIVE_ROOT	ROOT_OR_LOCAL_SIGN	Y	DIES	DIES		0		Grundtafel: frei zusammensetzen.
R-OK	A_COMMON_PRODUCTIVE_ROOT	ROOT_OR_LOCAL_SIGN	OK	SETZEN	SETZEN		0		Grundtafel: frei zusammensetzen.
R-E	A_COMMON_PRODUCTIVE_ROOT	ROOT_OR_LOCAL_SIGN	E	KURZ	KURZ		0		Grundtafel: frei zusammensetzen.
R-DY	A_COMMON_PRODUCTIVE_ROOT	ROOT_OR_LOCAL_SIGN	DY	SCHLIESSEN	SCHLIESSEN		0		Grundtafel: frei zusammensetzen.
R-O	A_COMMON_PRODUCTIVE_ROOT	ROOT_OR_LOCAL_SIGN	O	AUSFÜHREN	AUSFÜHREN		0		Grundtafel: frei zusammensetzen.
R-OL	A_COMMON_PRODUCTIVE_ROOT	ROOT_OR_LOCAL_SIGN	OL	FORTSETZEN	FORTSETZEN		0		Grundtafel: frei zusammensetzen.
R-EE	A_COMMON_PRODUCTIVE_ROOT	ROOT_OR_LOCAL_SIGN	EE	LÄNGER	LÄNGER		0		Grundtafel: frei zusammensetzen.
R-OT	A_COMMON_PRODUCTIVE_ROOT	ROOT_OR_LOCAL_SIGN	OT	DANACH	DANACH		0		Grundtafel: frei zusammensetzen.
R-AL	A_COMMON_PRODUCTIVE_ROOT	ROOT_OR_LOCAL_SIGN	AL	ZIEL	ZIEL		0		Grundtafel: frei zusammensetzen.
R-CH	A_COMMON_PRODUCTIVE_ROOT	ROOT_OR_LOCAL_SIGN	CH	NEHMEN	NEHMEN		0		Grundtafel: frei zusammensetzen.
R-D_ADDR	A_COMMON_PRODUCTIVE_ROOT	ROOT_OR_LOCAL_SIGN	D_ADDR	TEIL	TEIL		0		Grundtafel: frei zusammensetzen.
R-SH	A_COMMON_PRODUCTIVE_ROOT	ROOT_OR_LOCAL_SIGN	SH	HALTEN	HALTEN		0		Grundtafel: frei zusammensetzen.
R-AR	A_COMMON_PRODUCTIVE_ROOT	ROOT_OR_LOCAL_SIGN	AR	QUELLE	QUELLE		0		Grundtafel: frei zusammensetzen.
R-K	A_COMMON_PRODUCTIVE_ROOT	ROOT_OR_LOCAL_SIGN	K	GEBEN	GEBEN		0		Grundtafel: frei zusammensetzen.
R-AIIN	A_COMMON_PRODUCTIVE_ROOT	ROOT_OR_LOCAL_SIGN	AIIN	SOLLWERT	SOLLWERT		0		Grundtafel: frei zusammensetzen.
R-S	A_COMMON_PRODUCTIVE_ROOT	ROOT_OR_LOCAL_SIGN	S	AUSWÄHLEN	AUSWÄHLEN		0		Grundtafel: frei zusammensetzen.
R-CHD	A_COMMON_PRODUCTIVE_ROOT	ROOT_OR_LOCAL_SIGN	CHD	UMSETZEN	UMSETZEN		0		Grundtafel: frei zusammensetzen.
R-OR	A_COMMON_PRODUCTIVE_ROOT	ROOT_OR_LOCAL_SIGN	OR	SATZ	SATZ		0		Grundtafel: frei zusammensetzen.
R-L	A_COMMON_PRODUCTIVE_ROOT	ROOT_OR_LOCAL_SIGN	L	LEITEN	LEITEN		0		Grundtafel: frei zusammensetzen.
R-T	A_COMMON_PRODUCTIVE_ROOT	ROOT_OR_LOCAL_SIGN	T	EINSTELLEN	EINSTELLEN		0		Grundtafel: frei zusammensetzen.
R-AIN	A_COMMON_PRODUCTIVE_ROOT	ROOT_OR_LOCAL_SIGN	AIN	EINHEIT	EINHEIT		0		Grundtafel: frei zusammensetzen.
R-R	A_COMMON_PRODUCTIVE_ROOT	ROOT_OR_LOCAL_SIGN	R	MARKIEREN	MARKIEREN		0		Grundtafel: frei zusammensetzen.
R-P	A_COMMON_PRODUCTIVE_ROOT	ROOT_OR_LOCAL_SIGN	P	EINSETZEN	EINSETZEN		0		Grundtafel: frei zusammensetzen.
R-CTH	A_COMMON_PRODUCTIVE_ROOT	ROOT_OR_LOCAL_SIGN	CTH	BEREIT	BEREIT		0		Grundtafel: frei zusammensetzen.
R-SHED	A_COMMON_PRODUCTIVE_ROOT	ROOT_OR_LOCAL_SIGN	SHED	ABSETZEN	ABSETZEN		0		Grundtafel: frei zusammensetzen.
R-CKH	A_COMMON_PRODUCTIVE_ROOT	ROOT_OR_LOCAL_SIGN	CKH	DURCHLASS	DURCHLASS		0		Grundtafel: frei zusammensetzen.
R-AM_ADDR	A_COMMON_PRODUCTIVE_ROOT	ROOT_OR_LOCAL_SIGN	AM_ADDR	INNEN	INNEN		0		Grundtafel: frei zusammensetzen.
R-CHEO	A_COMMON_PRODUCTIVE_ROOT	ROOT_OR_LOCAL_SIGN	CHEO	AUSZUG	AUSZUG		0		Grundtafel: frei zusammensetzen.
R-DA	A_COMMON_PRODUCTIVE_ROOT	ROOT_OR_LOCAL_SIGN	DA	ZWEIT	ZWEIT		0		Grundtafel: frei zusammensetzen.
R-CARRIER_Q	A_COMMON_PRODUCTIVE_ROOT	ROOT_OR_LOCAL_SIGN	CARRIER_Q	BEGINNEN	BEGINNEN		0		Grundtafel: frei zusammensetzen.
R-A_ADDR	A_COMMON_PRODUCTIVE_ROOT	ROOT_OR_LOCAL_SIGN	A_ADDR	ORT	ORT		0		Grundtafel: frei zusammensetzen.
R-AIR	A_COMMON_PRODUCTIVE_ROOT	ROOT_OR_LOCAL_SIGN	AIR	LAUF	LAUF		0		Grundtafel: frei zusammensetzen.
R-CHK	A_COMMON_PRODUCTIVE_ROOT	ROOT_OR_LOCAL_SIGN	CHK	BEHANDELN	BEHANDELN		0		Grundtafel: frei zusammensetzen.
R-IIN	A_COMMON_PRODUCTIVE_ROOT	ROOT_OR_LOCAL_SIGN	IIN	STUFE	STUFE		0		Grundtafel: frei zusammensetzen.
R-S_ADDR	B_RARE_PRODUCTIVE_EXTENSION	ROOT_OR_LOCAL_SIGN	S_ADDR	STERNORT	STERNORT		0		Erweiterungstafel: nur in belegten Fachverbindungen verwenden.
R-SOLK	A_COMMON_PRODUCTIVE_ROOT	ROOT_OR_LOCAL_SIGN	SOLK	AUFFANGEN	auffangen	otytchol	1	f10r	Grundtafel: frei zusammensetzen.
R-EEE	A_COMMON_PRODUCTIVE_ROOT	ROOT_OR_LOCAL_SIGN	EEE	VOLL	VOLL		0		Grundtafel: frei zusammensetzen.
R-LSH	A_COMMON_PRODUCTIVE_ROOT	ROOT_OR_LOCAL_SIGN	LSH	SPÜLEN	SPÜLEN		0		Grundtafel: frei zusammensetzen.
