surface	working_meaning_de	composition	strongest_rival_de	family
qoeedy	nimm vollständig bereiteten Ansatz und stelle ihn fertig	QO_COMMAND+O_PREP+EE_END+DY_FINISHED	führe einen Ansatz bis zur Endstufe und schließe ihn ab	COMMAND
teol	Drogenstoff bis zur Mittelstufe abkühlen	T_COLD+E_MIDDLE+OL_MATERIAL	Drogenstoff auf mittlerer Kühlstufe	COLD
ychey	trockne hiervon bis zur Mittelstufe und schließe ab	Y_REFERENCE+CH_DRY+E_MIDDLE+Y_START_OR_CLOSE	mitteltrockene Droge hiervon, abgeschlossen	DRY
ldar	erste Fraktion Holzdroge abmessen	L_WOOD+D_MEASURE+AR_FRACTION_I	abgemessene Holzdrogenfraktion I	WOOD
olcheol	Holzdrogenstoff im Ansatz bis zur Mittelstufe trocknen	O_PREP+L_WOOD+CH_DRY+E_MIDDLE+OL_MATERIAL	mitteltrockener Holzdrogenauszug im Ansatz	WOOD
cth	Kraut- oder Blattdroge	CTH_HERB	Krautansatz	HERB
shekain	bis zur Mittelstufe einweichen und auf Stufe II erhitzen	SH_MOIST+E_MIDDLE+K_HOT+AIN_II	zwei Teile mäßig eingeweichter und erhitzter Droge	MOIST_HEAT
daiiy	drei Dosen abteilen und in Grundform abschließen	LEARNED_DAIIY_WHOLE	drei Maße vollständig abteilen	MEASURE
oteedaiin	drei Dosen Ansatz vollständig abkühlen und abmessen	O_PREP+T_COLD+EE_END+D_MEASURE+AIIN_III	Ansatz auf Kühlendstufe, Dosis III	MEASURE
qotod	nimm, kühle den Ansatz und schließe ab	QO_COMMAND+T_COLD+O_PREP+D_TERM_CLOSE	gekühlten Ansatz abschließen	COMMAND
toldy	Drogenstoff abkühlen und fertigstellen	T_COLD+OL_MATERIAL+DY_FINISHED	fertiger kalter Drogenstoff	COLD
dolchedy	Drogenstoff abmessen, bis zur Mittelstufe trocknen und fertigstellen	D_MEASURE+OL_MATERIAL+CH_DRY+E_MIDDLE+DY_FINISHED	fertig getrockneter abgemessener Drogenstoff	MEASURE
keocthy	bis zur Mittelstufe erhitzen, Krautdroge ansetzen und abschließen	K_HOT+E_MIDDLE+O_PREP+CTH_HERB+Y_START_OR_CLOSE	Krautansatz der mittleren Heizstufe	HERB
otoiir	zweite Sortierfraktion eines erneut angesetzten Kaltansatzes	LEARNED_OTOIIR_WHOLE	erneut angesetzter Kaltansatz in Zubereitungsform III	FRACTION
ychekch	trockne hiervon bis zur Mittelstufe, erhitze und trockne erneut	Y_REFERENCE+CH_DRY+E_MIDDLE+K_HOT+CH_DRY	mäßig getrocknete Droge hiervon erhitzen und nachtrocknen	ACTION
