surface	working_meaning_de	composition	strongest_rival_de	family
otoiir	kalter Ansatz, Fraktion III	LEARNED_OTOIIR_WHOLE	erneut angesetzter Kaltansatz in Zubereitungsform III	COLD_FRACTION
dolchedy	Drogenstoff abmessen, bis zur Mittelstufe trocknen und fertigstellen	D_MEASURE+OL_MATERIAL+CH_DRY+E_MIDDLE+DY_FINISHED	abgemessener, fertig getrockneter Drogenstoff	MEASURE_DRY
olcheol	Holzdrogenstoff im Ansatz bis zur Mittelstufe trocknen	O_PREP+L_WOOD+CH_DRY+E_MIDDLE+OL_MATERIAL	bis zur Mittelstufe getrockneter Holzdrogenstoff im Ansatz	WOOD_DRY
cth	Kraut- oder Blattdroge	CTH_HERB	Krautansatz	HERB
oteedaiin	drei Dosen vollständig gekühlten Ansatzes abmessen	O_PREP+T_COLD+EE_END+D_MEASURE+AIIN_III	vollständig gekühlter Ansatz, drei Dosen	COLD_MEASURE
qoeedy	nimm den vollständig fertiggestellten Ansatz	QO_COMMAND+O_PREP+EE_END+DY_FINISHED	stelle den Ansatz vollständig fertig	COMMAND
shekain	bis zur Mittelstufe eingeweichte und auf Stufe II erhitzte Droge	SH_MOIST+E_MIDDLE+K_HOT+AIN_II	zwei Teile bis zur Mittelstufe einweichen und erhitzen	MOIST_HEAT
keocthy	Krautansatz bis zur Mittelstufe erhitzen und abschließen	K_HOT+E_MIDDLE+O_PREP+CTH_HERB+Y_START_OR_CLOSE	heißer Krautansatz auf Mittelstufe, abgeschlossen	HERB_HEAT
ychekch	trockne hiervon bis zur Mittelstufe, erhitze und trockne erneut	Y_REFERENCE+CH_DRY+E_MIDDLE+K_HOT+CH_DRY	mitteltrockene Droge hierzu erneut erhitzen und trocknen	DRY_HEAT
ychey	trockne hiervon bis zur Mittelstufe und schließe ab	Y_REFERENCE+CH_DRY+E_MIDDLE+Y_START_OR_CLOSE	mitteltrockene Droge hiervon, abgeschlossen	DRY
daiiy	abgemessene Drogenportion, abgeschlossen	LEARNED_DAIIY_WHOLE	drei Maße vollständig abteilen	MEASURE
teol	Drogenstoff auf mittlerer Kühlstufe	T_COLD+E_MIDDLE+OL_MATERIAL	Drogenstoff bis zur Mittelstufe abkühlen	COLD_MATERIAL
ldar	erste Holzdrogenfraktion abmessen	L_WOOD+D_MEASURE+AR_FRACTION_I	abgemessene erste Fraktion Holzdroge	WOOD_MEASURE
qotod	kühle den Ansatz und schließe ab	QO_COMMAND+T_COLD+O_PREP+D_TERM_CLOSE	nimm den Kaltansatz und ziehe ihn ab	COLD_COMMAND
toldy	fertiggestellter kalter Drogenstoff	T_COLD+OL_MATERIAL+DY_FINISHED	kalten Drogenstoff fertigstellen	COLD_FINISH
