rank	locus	zl3b_line	manual_workshop_translation_de	notes
1	f112v.21	saiin chekain cheol qoeedy chol keedy qokaiin shedy qokeol kain	Saatgutcharge III; bis zur Mittelstufe trocknen, dann auf Stufe II erhitzen; trockener Drogenstoff. Nimm den vollständig fertiggestellten Ansatz; Trockengut; bis zur Heizendstufe gebracht; heiß auf Stufe III; bis zur mittleren Einweichstufe gebracht. Erhitze den Drogenstoff bis zur Mittelstufe; heiß auf Stufe II.	qoeedy bewahrt Befehlskopf, Ansatz, Endstufe und Fertigstellung; die geerbten Richtungsstufen bleiben sichtbar.
2	f81v.24	ytey okchedy qokal okeey qol cheedy sal teol dchdy ly	Kühle hiervon bis zur Mittelstufe ab und schließe ab; heiß-trockener Ansatz auf Mittelstufe abgeschlossen; Rohdroge I heiß am Gradanfang; Ansatz auf Heizendstufe. Gib Folgendes hinzu: vollständig getrocknet; Saat-Rohstoff I; Drogenstoff auf mittlerer Kühlstufe. Miss Trockendroge ab und stelle sie fertig; rohes Drogenholz.	teol bleibt nominaler Kühlzustand; okeey behält den Ansatz auf Heizendstufe.
3	f40r.10	saiin olcheey chdy ychey ka ar oky ykedy okair ody	Saatgutcharge III; trockne den Holzdrogenansatz vollständig; angetrocknet. Trockne hiervon bis zur Mittelstufe und schließe ab; erhitzte Wurzelfraktion I; leicht erhitzter Ansatz. Erhitze hiervon bis zur Mittelstufe und schließe ab; heiße Drogenfraktion II im Ansatz; fertiggestellter Ansatz.	ychey ist Referenzbefehl; ka|ar bleibt lokaler Wurzelfraktionsalias.
4	f95r1.11	ykaiin or chdy chekain ol dar ykar olkeey ldar chekal	Erhitze hiervon auf Stufe III; Drogenportion; angetrocknet; trockne bis zur Mittelstufe und erhitze dann auf Stufe II; Grundansatz; abgemessene Fraktion I. Nimm hiervon die erste erhitzte Drogenfraktion; vollständig erhitzter Holzdrogenansatz. Miss die erste Holzdrogenfraktion ab; Rohdroge I trocken auf Mittelstufe und heiß am Gradanfang.	ldar ist die zweite, holzbezogene Messhandlung; chekain bleibt gerichteter Trocken-Heiz-Schritt.
5	f107r.26	ol cheor shey cheey olcheol kaiin otair okal cheody	Grundansatz; trockener Drogenteil; Einweichmittelstufe; vollständig getrocknet. Trockne den Holzdrogenstoff im Ansatz bis zur Mittelstufe; heiß auf Stufe III; zweite kalte Drogenfraktion im Ansatz; Rohdroge I leicht erhitzt im Ansatz; getrockneter Ansatz.	olcheol bewahrt initialen Ansatz, Holzdroge, Trocknung und Ergebnisstoff.
6	f10r.7	dchy qokchol y kchaiin yty daiin cth dain dair am	Dosis Trockendroge in Grundform; heiß-trockenes Drogenmaterial; hierzu heiß-getrocknete Droge auf Stufe III. Kühle hiervon leicht ab; drei Maße; Kraut- oder Blattdroge; zwei Maße; abgemessene Fraktion II; ein Maß.	Freies cth ist nominale Krautdroge.
7	f116r.42	qo qokain sheckhy qokain shekain shkain shedy shey qokan cham	Nimm Folgendes: heiß auf Stufe II; feuchtes Arzneikompositum am Gradanfang; heiß auf Stufe II; bis zur Mittelstufe eingeweichte und auf Stufe II erhitzte Droge; eingeweichte und erhitzte Droge auf Stufe II; bis zur mittleren Einweichstufe gebracht; bis zur mittleren Einweichstufe; heiß im Befehlsrahmen auf Stufe I; ein Maß Trockendroge.	Beide SHK-Stufen bleiben getrennt; AIN ist hier Prozessstufe II statt Teilzahl.
8	f47v.2	dsheey shy cphy otchey daiidy chory daiiy	Vollständig angefeuchtete Dosis; leicht angefeuchtet; Arzneikompositum in Grundform; kalt-trockener Ansatz auf Mittelstufe; drei Maße vollständig abgeteilt; Pflanzenteil in Grundform; abgemessene Drogenportion, abgeschlossen.	daiiy bleibt gelernte nominale Ganzform ohne unsichtbares n.
9	f111r.11	dshey lkeedy lkeedy cheedy oteedaiin sheedy ar ay shkaiin chey daiin daram	Eine Dosis bis zur Mittelstufe angefeuchteter Droge; zweimal Drogenholz heiß am Gradende und abgeschlossen; vollständig getrocknet. Miss drei Dosen vollständig gekühlten Ansatzes ab; vollständig eingeweicht; Drogenfraktion I; gleicher Teil abgeschlossen; eingeweichte und erhitzte Droge auf Stufe III; bis zur mittleren Trockenstufe; drei Maße; ein Maß Fraktion I.	oteedaiin bewahrt Kühlendstufe, Messung und drei Dosen; chey bleibt gerichtet.
10	f9r.3	toiin cphy qotod otaiin cthy okor chey ctho d ram	Kalte Zubereitung Form III; Arzneikompositum in Grundform. Kühle den Ansatz und schließe ab; kalter Ansatz auf Stufe III; Krautdroge; heiße Drogenportion im Ansatz; bis zur mittleren Trockenstufe; Krautansatz; Dosis; Wurzeldroge in Maßform I.	qotod ist ausdrücklicher Kühlabschluss; die spätere Trockenstufe bleibt gerichtet.
11	f9v.4	ytey tch y kaiin cthor otol oty toldy	Kühle hiervon bis zur Mittelstufe und schließe ab; kalt und angetrocknet; hierzu heiß auf Stufe III; Drogenteil beziehungsweise Portion Blatt-/Krautdroge; kaltes Zubereitungsgut; kalter Ansatz am Gradanfang; fertiggestellter kalter Drogenstoff.	toldy bleibt nominal und bewahrt Kälte, Material und Fertigstellung.
12	f106r.14	ychol okaiin olcheey dolchedy otair otal chedy okeor	Trockne hiervon den Drogenstoff; Ansatz auf Heizstufe III; trockne den Holzdrogenansatz vollständig. Miss Drogenstoff ab, trockne ihn bis zur Mittelstufe und stelle ihn fertig; zweite kalte Drogenfraktion im Ansatz; Rohdroge I leicht gekühlt im Ansatz; bis zur mittleren Trockenstufe gebracht. Erhitze eine Portion Ansatz bis zur Mittelstufe.	dolchedy erhält drei Operationen; chedy bleibt gerichtete Trockenstufe.
