surface	positions	practical_meaning_de	composition	retained_rival_de
olaiin	39	drei Teile Holzdrogenansatz	O_PREP+L_WOOD+A+IIN_III	lexikalisierter Grundstoff, Menge III
olain	11	zwei Teile Holzdrogenansatz	O_PREP+L_WOOD+A+IN_II	lexikalisierter Grundstoff, Menge II
olal	5	Ansatz aus Holzrohstoff I	O_PREP+L_WOOD+AL_RAW_I	lexikalisierter Grundansatz aus Rohstoff I
oldal	2	Ansatz aus abgemessenem Holzrohstoff I	O_PREP+L_WOOD+D_MEASURE+AL_RAW_I	lexikalisierter abgemessener Drogenrohstoff I
oldy	25	fertiger Holzdrogenansatz	O_PREP+L_WOOD+DY_FINISHED	fertiger lexikalisierter Grundansatz
olkaiin	28	Holzdrogenansatz auf Heizstufe III	O_PREP+L_WOOD+K_HOT+A+IIN_III	lexikalisierte Drogenbasis, Heizstufe III
olkain	33	Holzdrogenansatz auf Heizstufe II	O_PREP+L_WOOD+K_HOT+A+IN_II	lexikalisierte Drogenbasis, Heizstufe II
olkam	11	ein Maß heißer Holzdrogenansatz	O_PREP+L_WOOD+K_HOT+AM_UNIT_I	lexikalisierte heiße Drogenbasis, ein Maß
olkchdy	4	heiß-trocken fertiggestellter Holzdrogenansatz	O_PREP+L_WOOD+K_HOT+CH_DRY+DY_FINISHED	lexikalisierte heiß-trockene Drogenbasis
olkedy	22	erhitzter Holzdrogenansatz, fertig	O_PREP+L_WOOD+K_HOT+E_MIDDLE+DY_FINISHED	lexikalisierte erwärmte Drogenbasis
olkeeo	4	stark erhitzter Holzdrogenauszug	O_PREP+L_WOOD+K_HOT+EE_END+O_EXTRACT	lexikalisierter stark erhitzter Drogenauszug
olkol	3	heißer Holzabsud	O_PREP+L_WOOD+KOL_HOT_EXTRACT	lexikalisierter heißer Drogenauszug
olor	26	eine Holzdrogenportion im Ansatz	O_PREP+L_WOOD+OR_PORTION	lexikalisierte Drogenportion
ols	17	eine Charge Holzdrogenansatz	O_PREP+L_WOOD+S_SPECIES	lexikalisierte Grundansatzspecies
olshdy	3	angefeuchteter Holzdrogenansatz, fertig	O_PREP+L_WOOD+SH_MOIST+DY_FINISHED	lexikalisierte feuchte Drogenbasis
olsheedy	1	vollständig eingeweichter Holzdrogenansatz	O_PREP+L_WOOD+SHEE_MOIST_END+DY_FINISHED	lexikalisierte vollständig eingeweichte Drogenbasis
olshey	13	Holzdrogenansatz bis zur mittleren Einweichstufe	O_PREP+L_WOOD+SHEY_MOIST_MIDDLE	lexikalisierte eingeweichte Drogenbasis
oltedy	6	Holzdrogenansatz bis zur mittleren Kühlstufe, fertig	O_PREP+L_WOOD+T_COLD+E_MIDDLE+DY_FINISHED	lexikalisierte kalte Drogenbasis
olteedy	3	Holzdrogenansatz vollständig abgekühlt und fertig	O_PREP+L_WOOD+T_COLD+EE_END+DY_FINISHED	lexikalisierte vollständig gekühlte Drogenbasis
