rank	locus	zl3b_line	manual_workshop_translation_de	notes
1	f112v.21	saiin chekain cheol qoeedy chol keedy qokaiin shedy qokeol kain	Saatgutcharge III; zwei Teile bis zur Mittelstufe getrockneter und erhitzter Droge; trockener Drogenstoff; vollständig fertig aufbereitete Form; Trockengut; Heizendstufe; heiß auf Stufe III; Einweichmittelstufe abgeschlossen. Erhitze den Drogenstoff bis zur Mittelstufe; heiß auf Stufe II.	qoeedy nominal zwischen zwei Trockenkarten.
2	f81v.24	ytey okchedy qokal okeey qol cheedy sal teol dchdy ly	Kühle hiervon bis zur Mittelstufe und schließe ab; heiß-trockener Ansatz auf Mittelstufe abgeschlossen; Rohdroge I heiß am Gradanfang; Heizendstufe. Gib Folgendes hinzu: vollständig getrocknet; Saat-Rohstoff I; Drogenstoff auf mittlerer Kühlstufe. Miss Trockendroge ab und stelle sie fertig; rohes Drogenholz.	teol bleibt nominaler Kühlzustand.
3	f40r.10	saiin olcheey chdy ychey ka ar oky ykedy okair ody	Saatgutcharge III; trockne den Holzdrogenansatz vollständig; angetrocknet. Trockne hiervon bis zur Mittelstufe und schließe ab; erhitzte Wurzelfraktion I; leicht erhitzter Ansatz. Erhitze hiervon bis zur Mittelstufe und schließe ab; heiße Drogenfraktion II im Ansatz; fertiggestellter Ansatz.	ychey ist Referenzbefehl; ka|ar bleibt lokaler Wurzelfraktionsalias.
4	f95r1.11	ykaiin or chdy chekain ol dar ykar olkeey ldar chekal	Erhitze hiervon auf Stufe III; Drogenportion; angetrocknet; zwei Teile bis zur Mittelstufe getrockneter und erhitzter Droge; Grundansatz; abgemessene Fraktion I. Nimm hiervon die erste erhitzte Drogenfraktion; vollständig erhitzter Holzdrogenansatz. Miss die erste Holzdrogenfraktion ab; Rohdroge I trocken auf Mittelstufe und heiß am Gradanfang.	ldar ist die zweite, holzbezogene Messhandlung.
5	f107r.26	ol cheor shey cheey olcheol kaiin otair okal cheody	Grundansatz; trockener Drogenteil; Einweichmittelstufe; vollständig getrocknet; Drogenstoff bis zur Mittelstufe getrocknet; heiß auf Stufe III; zweite kalte Drogenfraktion im Ansatz; Rohdroge I leicht erhitzt im Ansatz; getrockneter Ansatz.	olcheol bleibt Zustand, nicht zusätzlicher Befehl.
6	f10r.7	dchy qokchol y kchaiin yty daiin cth dain dair am	Dosis Trockendroge in Grundform; heiß-trockenes Drogenmaterial; hierzu heiß-getrocknete Droge auf Stufe III. Kühle hiervon leicht ab; drei Maße; Kraut- oder Blattdroge; zwei Maße; abgemessene Fraktion II; ein Maß.	Freies cth ist nominale Krautdroge.
7	f116r.42	qo qokain sheckhy qokain shekain shkain shedy shey qokan cham	Nimm Folgendes: heiß auf Stufe II; feuchtes Arzneikompositum am Gradanfang; heiß auf Stufe II; zwei Teile bis zur Mittelstufe eingeweichter und erhitzter Droge; zwei Teile eingeweichter und erhitzter Droge; Einweichmittelstufe abgeschlossen; Einweichmittelstufe; heiß im Befehlsrahmen auf Stufe I; ein Maß Trockendroge.	Beide SHK-Stufen bleiben getrennt.
8	f47v.2	dsheey shy cphy otchey daiidy chory daiiy	Vollständig angefeuchtete Dosis; leicht angefeuchtet; Arzneikompositum in Grundform; kalt-trockener Ansatz auf Mittelstufe; drei Maße vollständig abgeteilt; Pflanzenteil in Grundform. Miss zwei Teile ab und schließe ab.	daiiy gelernte Abschlussmessung.
9	f111r.11	dshey lkeedy lkeedy cheedy oteedaiin sheedy ar ay shkaiin chey daiin daram	Eine Dosis bis zur Mittelstufe angefeuchteter Droge; zweimal Drogenholz heiß am Gradende und abgeschlossen; vollständig getrocknet; drei Dosen Ansatz auf Kühlendstufe; vollständig eingeweicht; Drogenfraktion I; gleicher Teil abgeschlossen; eingeweichte und erhitzte Droge auf Stufe III; Trockenmittelstufe; drei Maße; ein Maß Fraktion I.	oteedaiin nominale Dreidosis.
10	f9r.3	toiin cphy qotod otaiin cthy okor chey ctho d ram	Kalte Zubereitung Form III; Arzneikompositum in Grundform. Kühle den Ansatz und schließe ab; kalter Ansatz auf Stufe III; Krautdroge; heiße Drogenportion im Ansatz; Trockenmittelstufe; Krautansatz; Dosis; Wurzeldroge in Maßform I.	qotod ist ausdrücklicher Kühlabschluss.
11	f9v.4	ytey tch y kaiin cthor otol oty toldy	Kühle hiervon bis zur Mittelstufe und schließe ab; kalt und angetrocknet; hierzu heiß auf Stufe III; Drogenteil beziehungsweise Portion Blatt-/Krautdroge; kaltes Zubereitungsgut; kalter Ansatz am Gradanfang. Stelle den kalten Drogenstoff fertig.	toldy bewahrt Kälte, Material und Fertigstellung.
12	f106r.14	ychol okaiin olcheey dolchedy otair otal chedy okeor	Trockne hiervon den Drogenstoff; Ansatz auf Heizstufe III; trockne den Holzdrogenansatz vollständig. Miss Drogenstoff ab, trockne ihn bis zur Mittelstufe und stelle ihn fertig; zweite kalte Drogenfraktion im Ansatz; Rohdroge I leicht gekühlt im Ansatz; Trockenmittelstufe abgeschlossen. Erhitze eine Portion Ansatz bis zur Mittelstufe.	dolchedy erhält drei Operationen.
13	f15r.7	daiin shkaiin cthy sho keocthy	Drei Maße; eingeweichte und erhitzte Droge auf Stufe III; Krautdroge; feuchter Ansatz. Erhitze den Krautansatz bis zur Mittelstufe und schließe ab.	keocthy ist der Schlussbefehl.
14	f105r.37	otoiir chedaiin otair otaly	Kalter Ansatz, Fraktion III; abgemessene Trockendroge, Dosis III; zweite kalte Drogenfraktion im Ansatz. Kühle den Rohstoff-I-Ansatz leicht und schließe ab.	otoiir gelernte nominale Fraktion.
15	f18r.14	ychekch y kchaiin	Trockne hiervon bis zur Mittelstufe, erhitze und trockne erneut; hierzu heiß-getrocknete Droge auf Stufe III.	Alle drei Operationen bleiben geordnet.
16	f114r.38	qoeedy qokchedy cheey raiin ar ain aiin al chol	Vollständig fertig aufbereitete Form; heiß-trocken auf Mittelstufe abgeschlossen; vollständig getrocknet; Wurzelcharge III; Drogenfraktion I; zwei Teile; drei Teile; Rohdroge I; Trockengut.	Zweiter nominaler qoeedy-Beleg.
17	f44v.12	ychey teol chaiin chcthy ctho cthol	Trockne hiervon bis zur Mittelstufe und schließe ab; Drogenstoff auf mittlerer Kühlstufe; trocken auf Stufe III; trockene Kraut- oder Blattdroge; Krautansatz; Krautdrogenstoff beziehungsweise Blatt-/Krautdroge.	Gemeinsamer YCHEY/TEOL-Test.
18	f75r.48	daly ychey	Abgemessene Rohstoffmenge I in Grundform. Trockne hiervon bis zur Mittelstufe und schließe ab.	Kurzer Richtungsbeleg für ychey.
19	f80v.28	olcheol qokain or al chain qokain ol kaiin okeedy qokey ly	Drogenstoff bis zur Mittelstufe getrocknet; heiß auf Stufe II; Drogenportion; Rohdroge I; trocken auf Stufe II; heiß auf Stufe II; Grundansatz; heiß auf Stufe III; Ansatz auf Heizendstufe abgeschlossen; Heizmittelstufe; rohes Drogenholz.	Zweiter nominaler olcheol-Beleg.
20	f111v.21	sair air ain qol rar ain cheey lkeey lkain cheokain sheo qo qokain chear alam	Samenfraktion II; zweite Drogenfraktion; zwei Teile. Gib Folgendes hinzu: Wurzelfraktion I; zwei Teile; vollständig getrocknet; Drogenholz heiß am Gradende; Holzdroge heiß auf Stufe II. Trockne den Trockenansatz bis zur Mittelstufe und bringe ihn auf Heizstufe II; Feuchtzubereitung. Nimm Folgendes: heiß auf Stufe II; trockene Fraktion I; ein Maß Rohdroge I.	V47-vollständige Kontrollpassage ohne neue Zielkarte.
