surface	working_meaning_de	composition	strongest_rival_de	family
qoeedy	nimm den vollständig fertiggestellten Ansatz	QO_COMMAND+O_PREP+EE_END+DY_FINISHED	stelle den Ansatz vollständig fertig	COMMAND
teol	Drogenstoff bis zur Mittelstufe abkühlen	T_COLD+E_MIDDLE+OL_MATERIAL	Drogenstoff auf mittlerer Kühlstufe	COLD_MATERIAL
ychey	trockne hiervon bis zur Mittelstufe und schließe ab	Y_REFERENCE+CH_DRY+E_MIDDLE+Y_START_OR_CLOSE	getrocknete Mittelstufe hiervon, abgeschlossen	DRY_COMMAND
ldar	erste Holzdrogenfraktion abmessen	L_WOOD+D_MEASURE+AR_FRACTION_I	abgemessene erste Fraktion Holzdroge	WOOD_MEASURE
olcheol	Holzdrogenstoff im Ansatz bis zur Mittelstufe trocknen	O_PREP+L_WOOD+CH_DRY+E_MIDDLE+OL_MATERIAL	bis zur Mittelstufe getrockneter Holzdrogenstoff im Ansatz	WOOD_DRY
cth	Kraut- oder Blattdroge	CTH_HERB	Krautansatz	HERB
shekain	zwei Teile bis zur Mittelstufe einweichen und erhitzen	SH_MOIST+E_MIDDLE+K_HOT+AIN_II	zwei Teile eingeweichte und erhitzte Droge der Mittelstufe	MOIST_HEAT
daiiy	abgemessene Drogenportion, abgeschlossen	LEARNED_DAIIY_WHOLE	einen gleichen Teil zweimal abmessen und abschließen	MEASURE
oteedaiin	drei Dosen vollständig gekühlten Ansatzes abmessen	O_PREP+T_COLD+EE_END+D_MEASURE+AIIN_III	vollständig gekühlter Ansatz, drei Dosen	COLD_MEASURE
qotod	nimm den Kaltansatz und ziehe ihn ab	QO_COMMAND+T_COLD+O_PREP+D_TERM_CLOSE	kühle den Ansatz und schließe ab	COMMAND
toldy	gekühlten Drogenstoff fertigstellen	T_COLD+OL_MATERIAL+DY_FINISHED	fertiggestellter gekühlter Drogenstoff	COLD_FINISH
dolchedy	Drogenstoff abmessen, bis zur Mittelstufe trocknen und fertigstellen	D_MEASURE+OL_MATERIAL+CH_DRY+E_MIDDLE+DY_FINISHED	abgemessener, fertig getrockneter Drogenstoff	MEASURE_DRY
keocthy	Krautansatz bis zur Mittelstufe erhitzen und abschließen	K_HOT+E_MIDDLE+O_PREP+CTH_HERB+Y_START_OR_CLOSE	Krautansatz auf mittlerer Heizstufe, abgeschlossen	HERB_HEAT
otoiir	Wurzelansatz als vollständig gekühlte Zubereitung	LEARNED_OTOIIR_WHOLE	Wurzelansatz in kalter Zubereitungsform III	ROOT_PREPARATION
ychekch	trockne hiervon bis zur Mittelstufe, erhitze und trockne nach	Y_REFERENCE+CH_DRY+E_MIDDLE+K_HOT+CH_DRY	mittlere Trockenstufe hiervon, heiß nachgetrocknet	DRY_HEAT_COMMAND
