surface	working_meaning_de	composition	strongest_rival_de	family
qoeedy	vollständig fertig aufbereitete Form	LEARNED_QOEEDY_WHOLE	nimm die vollständig fertiggestellte Zubereitung	FINISHED_FORM
teol	Drogenstoff auf mittlerer Kühlstufe	T_COLD+E_MIDDLE+OL_MATERIAL	Drogenstoff bis zur Mittelstufe abkühlen	COOL_MATERIAL_MIDDLE
ychey	trockne hiervon bis zur Mittelstufe und schließe ab	Y_REFERENCE+CH_DRY+E_MIDDLE+Y_START_OR_CLOSE	mitteltrockene Grundform hierzu	REFERENCE_DRY_MIDDLE
ldar	erste Holzdrogenfraktion abmessen	L_WOOD+D_MEASURE+AR_FRACTION_I	abgemessene Holzfraktion I	WOOD_MEASURE_FRACTION_I
olcheol	Drogenstoff bis zur Mittelstufe getrocknet	OL_MATERIAL+CH_DRY+E_MIDDLE+OL_MATERIAL	Drogenstoff bis zur Mittelstufe trocknen	MATERIAL_DRY_MIDDLE
cth	Kraut- oder Blattdroge	CTH_HERB	Krautansatz	HERB_MATERIAL
shekain	zwei Teile bis zur Mittelstufe eingeweichter und erhitzter Droge	SH_MOIST+E_MIDDLE+K_HOT+AIN_II	feucht-heiß auf Stufe II	MOIST_HEAT_II
daiiy	zwei Teile abmessen und abschließen	LEARNED_DAIIY_WHOLE	abgemessene Zubereitungsform II	MEASURE_II_CLOSE
oteedaiin	drei Dosen Ansatz auf Kühlendstufe	O_PREP+T_COLD+EE_END+D_MEASURE+AIIN_III	drei Dosen bis zur Endstufe gekühlten Ansatzes	PREP_COOL_END_DOSE_III
qotod	kühle den Ansatz und schließe ab	QO_COMMAND+T_COLD+O_PREP+D_TERM_CLOSE	kalten Ansatz nehmen und abschließen	COOL_PREP_CLOSE
toldy	kalten Drogenstoff fertigstellen	T_COLD+OL_MATERIAL+DY_FINISHED	fertiger kalter Drogenstoff	COLD_MATERIAL_FINISH
dolchedy	Drogenstoff abmessen, bis zur Mittelstufe trocknen und fertigstellen	D_MEASURE+OL_MATERIAL+CH_DRY+E_MIDDLE+DY_FINISHED	abgemessener mitteltrockener Drogenstoff	MEASURE_MATERIAL_DRY_FINISH
keocthy	Krautansatz bis zur Mittelstufe erhitzen und abschließen	K_HOT+E_MIDDLE+O_PREP+CTH_HERB+Y_START_OR_CLOSE	heißer Krautansatz auf Mittelstufe	HERB_PREP_HEAT_CLOSE
otoiir	kalter Ansatz, Fraktion III	LEARNED_OTOIIR_WHOLE	dritte kalte Drogenfraktion im Ansatz	COLD_PREP_FRACTION_III
ychekch	trockne hiervon bis zur Mittelstufe, erhitze und trockne erneut	Y_REFERENCE+CH_DRY+E_MIDDLE+K_HOT+CH_DRY	mitteltrockene Droge hierzu erneut erhitzen und trocknen	REFERENCE_DRY_REHEAT
