clause_serial	clause_id	statement_id	record_id	page	image_owner	head_event_id	member_event_ids	member_event_count	surface_sequence	atom_sequence	action_head	source_clause_family	short_head_de	latin_like_source_clause	german_clause_reading_de
1	H1-S001-U01	H1-S001	H1	f10r	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	E002	E002|E001|E003	3	dchey cthoor char	DCHE+Y | CTH+OR | AR	CTH	READY	bereitstellen	ad statum para ab fonte in praeparato hoc.	Vorgabe Wurzel als aktueller Posten: Halte den Ansatz bereit; dazu aus dem Ansatz
2	H1-S001-U02	H1-S001	H1	f10r	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	E004	E004|E005	2	chty os	PARTITION+TY | OS	PARTITION	DIVIDE	abteilen	divide partem.	Trenne einen Teil ab; dazu Mischgefäß
3	H1-S001-U03	H1-S001	H1	f10r	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	E007	E007|E006	2	chair otytchol	AIR | OT+TY+OL	OL	CONTINUE	fortsetzen	continua partem per cursum.	Vorgabe Wasserzulauf: Führe den nächsten Teil fort
4	H1-S001-U04	H1-S001	H1	f10r	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	E008	E008|E009|E010	3	oky daiin etyd	OK+Y | AIIN | E+TY	OK	SET	ansetzen	pone partem ad mensuram breviter hoc.	Setze den aktuellen Posten; dazu Sollmaß; kleiner Restteil
5	H1-S002-U01	H1-S002	H1	f10r	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	E011	E011	1	qokchy	OK+Y	OK	SET	ansetzen	pone hoc.	Setze den aktuellen Posten
6	H1-S002-U02	H1-S002	H1	f10r	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	E012	E012	1	qotchol	OT+OL	OL	CONTINUE	fortsetzen	continua.	Danach führe fort
7	H1-S002-U03	H1-S002	H1	f10r	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	E013	E013	1	chol	OL	OL	CONTINUE	fortsetzen	continua.	Führe fort
8	H1-S002-U04	H1-S002	H1	f10r	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	E014	E014	1	cthy	CTH+Y	CTH	READY	bereitstellen	ad statum para hoc.	Halte den Posten bereit
9	H2-S001-U01	H2-S001	H2	f10r	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	E016	E016|E015|E017	3	ycheor cthy chor	Y+CHEO+OR | CTH+Y | OR	CTH	READY	bereitstellen	ad statum para extractum in praeparato hoc.	Vorgabe Auszugsansatz: Halte den Posten bereit; dazu Ansatz
10	H2-S001-U02	H2-S001	H2	f10r	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	E018	E018	1	cthaiin	CTH+AIIN	CTH	READY	bereitstellen	ad statum para ad mensuram.	Stelle den Bereitwert ein
11	H2-S001-U03	H2-S001	H2	f10r	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	E019	E019|E020|E021|E022|E023	5	qoctholy dy chy taiin shy	CTH+OL+Y | Y | Y | AIIN | Y	CTH	READY	bereitstellen	ad statum para ad mensuram hoc.	Führe den bereiten Posten fort; dazu dieser Posten; dieser Posten; Sollmaß; dieser Posten
12	H2-S002-U01	H2-S002	H2	f10r	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	E026	E026|E024|E025	3	qotchor chor otol	OT+OR | OR | OT+OL	OL	CONTINUE	fortsetzen	continua in praeparato.	Vorgabe Folgeansatz; Ansatz: Danach führe fort
13	H2-S002-U02	H2-S002	H2	f10r	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	E027	E027	1	chol	OL	OL	CONTINUE	fortsetzen	continua.	Führe fort
14	H2-S002-U03	H2-S002	H2	f10r	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	E028	E028	1	cholor	OL+OR	OL	CONTINUE	fortsetzen	continua in praeparato.	Führe den Ansatz weiter
