statement_id	record_id	page	image_owner	clause_count	group_count	clause_ids	source_clause_chain	latin_like_source_chain	surface_sequence	current_surface_sequence	german_clause_chain_de	continuous_owner_reading_de	surface_chain_matches_current
H1-S001	H1	f10r	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	4	10	H1-S001-U01|H1-S001-U02|H1-S001-U03|H1-S001-U04	READY ; DIVIDE ; CONTINUE ; SET	ad statum para ab fonte in praeparato hoc. divide partem. continua partem per cursum. pone partem ad mensuram breviter hoc.	dchey cthoor char chty os chair otytchol oky daiin etyd	dchey cthoor char chty os chair otytchol oky daiin etyd	Vorgabe Wurzel als aktueller Posten: Halte den Ansatz bereit; dazu aus dem Ansatz / Trenne einen Teil ab; dazu Mischgefäß / Vorgabe Wasserzulauf: Führe den nächsten Teil fort / Setze den aktuellen Posten; dazu Sollmaß; kleiner Restteil	Von der abgebildeten, unbenannten Pflanze nimm einen Teil der Wurzel. Säubere ihn. Führe ihn als denselben Arbeitsansatz weiter. Zerschneide ihn. Gib die Stücke in ein Gefäß. Gieße Quellwasser darüber. Fange den ersten Auszug in einem Glas auf. Gebrauche diesen Auszug innerlich. Nimm davon das örtlich vorgeschriebene kleine Maß. Gebrauche es bei Stechen im Leib und verwahre den übrigen Wurzelvorrat verschlossen.	YES
H1-S002	H1	f10r	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	4	4	H1-S002-U01|H1-S002-U02|H1-S002-U03|H1-S002-U04	SET ; CONTINUE ; CONTINUE ; READY	pone hoc. continua. continua. ad statum para hoc.	qokchy qotchol chol cthy	qokchy qotchol chol cthy	Setze den aktuellen Posten / Danach führe fort / Führe fort / Halte den Posten bereit	Nimm erneut von dem frischen ersten Auszug. Erwärme ihn gelinde. Führe ihn als denselben laufenden Ansatz fort. Sobald er zum Gebrauch bereit ist, gebrauche ihn.	YES
H2-S001	H2	f10r	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	3	9	H2-S001-U01|H2-S001-U02|H2-S001-U03	READY ; READY ; READY	ad statum para extractum in praeparato hoc. ad statum para ad mensuram. ad statum para ad mensuram hoc.	ycheor cthy chor cthaiin qoctholy dy chy taiin shy	ycheor cthy chor cthaiin qoctholy dy chy taiin shy	Vorgabe Auszugsansatz: Halte den Posten bereit; dazu Ansatz / Stelle den Bereitwert ein / Führe den bereiten Posten fort; dazu dieser Posten; dieser Posten; Sollmaß; dieser Posten	Nimm die jungen Spitzen mit Blütenständen und Blättern derselben unbenannten Pflanze. Sammle sie, wenn sie sich eben öffnen. Führe sie als frischen Ansatz. Zerstoße das Kraut. Presse den Saft durch ein Tuch. Fange die erste Fraktion auf. Gib Olivenöl hinzu. Nimm das örtlich vorgeschriebene Maß. Erwärme gelinde.	YES
H2-S002	H2	f10r	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	4	8	H2-S002-U01|H2-S002-U02|H2-S002-U03|H2-S002-U04	CONTINUE ; CONTINUE ; CONTINUE ; CONTINUE	continua in praeparato. continua. continua in praeparato. continua ad mensuram ab fonte.	qotchor chor otol chol cholor chol daiin dar	qotchor chor otol chol cholor chol daiin dar	Vorgabe Folgeansatz; Ansatz: Danach führe fort / Führe fort / Führe den Ansatz weiter / Führe fort; dazu Sollmaß; aus dem Ansatz	Nimm vor voller Blüte eine zweite Portion der Spitzen. Führe den ersten Ansatz weiter. Nimm eine Handvoll. Verknüpfe diese Fraktion mit dem laufenden Arbeitsstand. Nimm den vorherigen Posten hinzu. Führe beide als neuen aktiven Posten. Gib von beiden das gleiche örtliche Maß. Vereinige die beiden Fraktionen.	YES
H2-S003	H2	f10r	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	1	7	H2-S003-U01	PROCESS	opera materiam ad mensuram ad gradum in praeparato hoc.	oykchor shor chor chy kaiiin dy chodaiin	oykchor shor chor chy kaiiin dy chodaiin	Bearbeite den aktuellen Ansatz; dazu Ansatz; Ansatz; dieser Posten; Weichstufe; dieser Posten; Zutatenmaß	Gib sie in ein glasiertes Gefäß. Führe die Mischung als Salbenansatz. Der wiederholte Ansatzvermerk bestätigt hier denselben Salbenposten. Rühre bei kleinem Feuer. Bis eine weiche Salbe entsteht. Bewahre sie bedeckt. Lege sie äußerlich auf ein Geschwür oder eine harte Schwellung.	YES
H3-S001	H3	f11r	WHOLE_DENSE_BLUE_FLOWERED_CROWN_PLANT	4	7	H3-S001-U01|H3-S001-U02|H3-S001-U03|H3-S001-U04	LEAD_OUT ; SQUEEZE ; HOLD ; STRAIN_AGAIN	educ materiam ad locum. exprime hoc. tene ad mensuram. itera cola materiam hoc et comple.	tshol schoal cfhy shfydaiin cphy shey tchody	tshol schoal cfhy shfydaiin cphy shey tchody	Entnimm den Eingangsposten; dazu Zutat an die Arbeitsstelle geben / Wringe den aktuellen Posten aus / Halte bis zum Vorgabewert / Seihe den aktuellen Posten nach; dazu klarer Auszug; Eingangsposten beiseitestellen; Schluss	Nimm im ersten Frühjahr Blüten und junge Blätter der unbenannten Pflanze. Koche sie in reinem Wein. Wring den Ansatz durch ein feines Tuch. Lass den Auszug stehen. Seihe ihn nochmals durch ein Tuch. Warte, bis der örtlich verlangte klare Zustand erreicht ist. Lass ihn abkühlen; damit endet der erste Posten.	YES
H3-S002	H3	f11r	WHOLE_DENSE_BLUE_FLOWERED_CROWN_PLANT	1	1	H3-S002-U01	OWNER_ACTION	fac de imagine materiam partem hoc WHOLE_DENSE_BLUE_FLOWERED_CROWN_PLANT.	shoyty	shoyty	Nimm einen Teil des Eingangspostens	Behalte einen Teil der frischen Blüten für eine zweite Arznei zurück.	YES
H3-S003	H3	f11r	WHOLE_DENSE_BLUE_FLOWERED_CROWN_PLANT	1	5	H3-S003-U01	PROCESS	opera ad mensuram hoc.	dchol chy kchy dy daiin	dchol chy kchy dy daiin	Vorgabe vorigen Posten fortsetzen; dieser Posten: Bearbeite den aktuellen Posten; dazu dieser Posten; Sollmaß	Nimm den ersten Auszug wieder auf. Nimm davon einen Anteil. Gib ihn als Trank. Gebrauche ihn bei bedrücktem Gemüt und beschwerter Brust. Gib ein kleines örtliches Maß.	YES
H3-S004	H3	f11r	WHOLE_DENSE_BLUE_FLOWERED_CROWN_PLANT	2	4	H3-S004-U01|H3-S004-U02	SET ; READY	pone hoc. ad statum para hoc.	qotchy okchol cthy dy	qotchy okchol cthy dy	Vorgabe anschließender Arbeitsposten: Setze die Fortsetzung / Halte den Posten bereit; dazu dieser Posten	Nimm die zurückbehaltenen Blüten. Erwärme sie in Olivenöl. Warte, bis der örtliche Bereitschaftszustand erreicht ist. Streiche das Öl äußerlich um die Lider, ohne das Auge zu berühren.	YES
H4-S001	H4	f55v	WHOLE_BROAD_LEAF_PANICLED_PLANT_WITH_MNEMONIC_ROOT	2	5	H4-S001-U01|H4-S001-U02	SET ; WITHDRAW	pone portionem ad mensuram hoc. remove portionem hoc.	qokaiin chaiin ykain ykan ody	qokaiin chaiin ykain ykan ody	Stelle auf den Vorgabewert ein; dazu Sollmaß; Postenportion / Vorgabe dieser Anteil: Nimm zurück	Setze den ersten Posten an. Nimm ein örtlich vorgeschriebenes Maß. Zerstoße breite Blätter der unbenannten Pflanze. Gib Weißwein hinzu. Verschließe das Gefäß und lass es kühl stehen; damit endet der Posten.	YES
H4-S002	H4	f55v	WHOLE_BROAD_LEAF_PANICLED_PLANT_WITH_MNEMONIC_ROOT	2	3	H4-S002-U01|H4-S002-U02	TRANSFER ; STORE	transfer ad mensuram hoc. serva ad locum ad locum.	daiin chedy talam	daiin chedy talam	Vorgabe Sollmaß: Übertrage den aktuellen Posten / Verwahre am Ziel	Miss eine Portion des Ansatzes ab. Wring sie durch Leinwand und lass sie klar absetzen. Verwahre den klaren Auszug; damit endet der Posten.	YES
H4-S003	H4	f55v	WHOLE_BROAD_LEAF_PANICLED_PLANT_WITH_MNEMONIC_ROOT	2	4	H4-S003-U01|H4-S003-U02	WARM ; CONTINUE	calefac extractum ad mensuram ab fonte diutius hoc. continua et comple.	ykaiin cheoar cheeky oldy	ykaiin cheoar cheeky oldy	Vorgabe Postenmaß; Auszug entnehmen: Wärme länger / Führe fort und schließe	Wasche damit eine unreine äußere Wunde. Verwende dazu den klaren Auszug. Einmal oder nach örtlicher Vorschrift. Beende diesen Gebrauch.	YES
H4-S004	H4	f55v	WHOLE_BROAD_LEAF_PANICLED_PLANT_WITH_MNEMONIC_ROOT	2	6	H4-S004-U01|H4-S004-U02	SET ; CONTINUE	pone ad mensuram ad locum. continua portionem in praeparato hoc.	aiin okal oltchy or y orain	aiin okal oltchy or y orain	Vorgabe Sollmaß: Setze am Ziel / Führe den bereiten Posten fort; dazu Ansatz; dieser Posten; Ansatzportion	Nimm ein örtliches Maß der zurückbehaltenen Blätter. Lege sie an die bezeichnete äußere Stelle. Erwärme sie gelinde. Führe sie als zweiten Ansatz. Mische sie mit Honig. Lege den warmen Umschlag frisch auf.	YES
H5-S001	H5	f56r	WHOLE_MULTIHEAD_SPINY_OR_EMBLEMATIC_HERB	2	9	H5-S001-U01|H5-S001-U02	PROCESS ; SET	opera materiam ad mensuram ad locum in praeparato hoc. pone ad locum in praeparato hoc.	chochor cho chodaly daiin sho kchol otchor choky dal	chochor cho chodaly daiin sho kchol otchor choky dal	Vorgabe Zutatenansatz; Zutat; diese Zutat zur Stelle bringen; Sollmaß; Zutat: Bearbeite weiter / Vorgabe Folgeansatz: Setze den aktuellen Posten; dazu dorthin	Von der abgebildeten, unbenannten Pflanze. Sammle das ganze oberirdische Kraut an einem feuchten Standort. Nimm es zu Beginn der Blüte. Nimm nur ein kleines örtliches Maß. Zerstoße die frischen klebrigen Blätter. Lege sie als Auflage auf. Auf eine einzelne Warze oder ein Hühnerauge. Lass die Auflage nur kurz einwirken. An der örtlich bezeichneten Hautstelle.	YES
H5-S002	H5	f56r	WHOLE_MULTIHEAD_SPINY_OR_EMBLEMATIC_HERB	2	4	H5-S002-U01|H5-S002-U02	SET ; PASSAGE	pone materiam hoc. per conductum duc materiam diutius et comple.	schol choy choky cheeckhody	schol choy choky cheeckhody	Vorgabe vorigen Posten fortsetzen; diese Zutat: Setze den aktuellen Posten / Führe den Eingangsposten länger und schließe	Nimm die Auflage wieder ab. Wasche die Stelle mit Wasser. Wiederhole den Gebrauch nur, wenn er vertragen wird. Beende die äußere Anwendung.	YES
