custom_type	record_unit_id	master_card_id	schedule_rule	custom_habit_or_priority	workshop_reading
RECORD_ACCENT	B1	ANY_AVAILABLE_CARD	B_FIELD_INTERIOR	BARE_OR_INTERNAL > Q_CELL_ENTRY > S_FLOW_ENTRY > HARD_D_T_ENTRY > OPEN_CH_ENTRY	B1 nutzt in B_FIELD_INTERIOR seine lokale Handrangfolge.
RECORD_ACCENT	B3	ANY_AVAILABLE_CARD	B_FIELD_INTERIOR	HARD_D_T_ENTRY > Q_CELL_ENTRY > OPEN_CH_ENTRY > BARE_OR_INTERNAL > S_FLOW_ENTRY	B3 nutzt in B_FIELD_INTERIOR seine lokale Handrangfolge.
RECORD_ACCENT	H3	ANY_AVAILABLE_CARD	H_FIELD_INTERIOR	HARD_D_T_ENTRY > BARE_OR_INTERNAL > Q_CELL_ENTRY > S_FLOW_ENTRY > OPEN_CH_ENTRY	H3 nutzt in H_FIELD_INTERIOR seine lokale Handrangfolge.
CARD_POSITION_CUSTOM	ANY_RECORD	MC123	B_FIELD_INTERIOR	OPEN_CH_ENTRY	Karte dies behält in B_FIELD_INTERIOR ihre gelernte Hausform.
CARD_POSITION_CUSTOM	ANY_RECORD	MC039	B_FIELD_INTERIOR	HARD_D_T_ENTRY	Karte Sollmaß behält in B_FIELD_INTERIOR ihre gelernte Hausform.
CARD_POSITION_CUSTOM	ANY_RECORD	MC039	H_FIELD_INTERIOR	HARD_D_T_ENTRY	Karte Sollmaß behält in H_FIELD_INTERIOR ihre gelernte Hausform.
CARD_POSITION_CUSTOM	ANY_RECORD	MC161	H_FIELD_INTERIOR	BARE_OR_INTERNAL	Karte bereit behält in H_FIELD_INTERIOR ihre gelernte Hausform.
CARD_POSITION_CUSTOM	ANY_RECORD	MC017	B_FIELD_INTERIOR	BARE_OR_INTERNAL	Karte Anteil zugeben behält in B_FIELD_INTERIOR ihre gelernte Hausform.
CARD_POSITION_CUSTOM	ANY_RECORD	MC128	B_SINGLE_CELL	S_FLOW_ENTRY	Karte kurz absetzen; Schluss behält in B_SINGLE_CELL ihre gelernte Hausform.
CARD_POSITION_CUSTOM	ANY_RECORD	MC153	B_FIELD_INTERIOR	BARE_OR_INTERNAL	Karte weiter behält in B_FIELD_INTERIOR ihre gelernte Hausform.
RECORD_CARD_CUSTOM	B3	MC154	ANY_POSITION	HARD_D_T_ENTRY	B3 schreibt dorthin durchgehend in seiner lokalen Form.
RECORD_CARD_CUSTOM	B6	MC153	ANY_POSITION	BARE_OR_INTERNAL	B6 schreibt weiter durchgehend in seiner lokalen Form.
RECORD_CARD_CUSTOM	B2	MC119	ANY_POSITION	OPEN_CH_ENTRY	B2 schreibt Klarauszug durchgehend in seiner lokalen Form.
