record_unit_id	page	shared_events	habit_matches	remaining_local_habit_overrides	exact_surface_matches	second_registered_spellings	custom_uses	custom_inventory	master_card_failures
H1	f10r	7	6	1	4	2	1	CARD_POSITION_CUSTOM:1	0
H2	f10r	17	13	4	8	5	3	CARD_POSITION_CUSTOM:3	0
H3	f11r	7	5	2	5	0	5	CARD_POSITION_CUSTOM:1|RECORD_ACCENT:4	0
H4	f55v	10	6	4	5	1	1	CARD_POSITION_CUSTOM:1	0
H5	f56r	14	13	1	13	0	0	NONE	0
B1	f81v	49	40	9	38	2	33	CARD_POSITION_CUSTOM:11|RECORD_ACCENT:22	0
B2	f82r	36	31	5	30	1	7	CARD_POSITION_CUSTOM:5|RECORD_CARD_CUSTOM:2	0
B3	f83r	63	55	8	47	8	31	CARD_POSITION_CUSTOM:5|RECORD_ACCENT:23|RECORD_CARD_CUSTOM:3	0
B4	f83r	36	32	4	30	2	4	CARD_POSITION_CUSTOM:4	0
B5	f83r	7	4	3	3	1	1	CARD_POSITION_CUSTOM:1	0
B6	f83r	5	4	1	4	0	4	CARD_POSITION_CUSTOM:2|RECORD_CARD_CUSTOM:2	0
