event_serial	statement_id	record_unit_id	page	locus	field_id	field_position	locus_position	master_card_id	card_value_de	observed_surface	observed_habit	base_schedule_rule	base_predicted_habit	applied_layers	custom_predicted_habit	predicted_canonical_surface	habit_match	exact_surface_match	apprentice_treatment	master_recovery
3	H1-S001	H1	f10r	f10r.2	F001	MIDDLE	MIDDLE	MC055	davon	char	OPEN_CH_ENTRY	H_FIELD_INTERIOR	OPEN_CH_ENTRY	R160_POSITIONAL_RULE	OPEN_CH_ENTRY	char	YES	YES	CUSTOM_SCHEDULE_EXACT	EXACT
4	H1-S001	H1	f10r	f10r.2	F001	MIDDLE	MIDDLE	MC086	Anteil	chty	OPEN_CH_ENTRY	H_FIELD_INTERIOR	OPEN_CH_ENTRY	R160_POSITIONAL_RULE	OPEN_CH_ENTRY	chety	YES	NO	SECOND_REGISTERED_SPELLING_IN_CORRECT_HABIT	EXACT
8	H1-S001	H1	f10r	f10r.2	F001	MIDDLE	MIDDLE	MC026	einsetzen	oky	BARE_OR_INTERNAL	H_FIELD_INTERIOR	OPEN_CH_ENTRY	R160_POSITIONAL_RULE	OPEN_CH_ENTRY	choky	NO	NO	LOCAL_REGISTERED_OVERRIDE_REMAINS	EXACT
9	H1-S001	H1	f10r	f10r.2	F001	MIDDLE	MIDDLE	MC039	Sollmaß	daiin	HARD_D_T_ENTRY	H_FIELD_INTERIOR	OPEN_CH_ENTRY	R160_POSITIONAL_RULE > CARD_POSITION_CUSTOM	HARD_D_T_ENTRY	daiin	YES	YES	CUSTOM_SCHEDULE_EXACT	EXACT
11	H1-S002	H1	f10r	f10r.5	F002	FIRST	FIRST	MC103	weiterbearbeiten	qokchy	Q_CELL_ENTRY	H_FIELD_OPEN	Q_CELL_ENTRY	R160_POSITIONAL_RULE	Q_CELL_ENTRY	qokchy	YES	YES	CUSTOM_SCHEDULE_EXACT	EXACT
13	H1-S002	H1	f10r	f10r.5	F002	MIDDLE	MIDDLE	MC153	weiter	chol	OPEN_CH_ENTRY	H_FIELD_INTERIOR	OPEN_CH_ENTRY	R160_POSITIONAL_RULE	OPEN_CH_ENTRY	cheol	YES	NO	SECOND_REGISTERED_SPELLING_IN_CORRECT_HABIT	EXACT
14	H1-S002	H1	f10r	f10r.5	F002	LAST	LAST	MC161	bereit	cthy	BARE_OR_INTERNAL	H_FIELD_CLOSE	BARE_OR_INTERNAL	R160_POSITIONAL_RULE	BARE_OR_INTERNAL	cthy	YES	YES	CUSTOM_SCHEDULE_EXACT	EXACT
16	H2-S001	H2	f10r	f10r.6	F003	MIDDLE	MIDDLE	MC161	bereit	cthy	BARE_OR_INTERNAL	H_FIELD_INTERIOR	OPEN_CH_ENTRY	R160_POSITIONAL_RULE > CARD_POSITION_CUSTOM	BARE_OR_INTERNAL	cthy	YES	YES	CUSTOM_SCHEDULE_EXACT	EXACT
17	H2-S001	H2	f10r	f10r.6	F003	MIDDLE	MIDDLE	MC080	Ansatz	chor	OPEN_CH_ENTRY	H_FIELD_INTERIOR	OPEN_CH_ENTRY	R160_POSITIONAL_RULE	OPEN_CH_ENTRY	chor	YES	YES	CUSTOM_SCHEDULE_EXACT	EXACT
20	H2-S001	H2	f10r	f10r.6	F003	MIDDLE	MIDDLE	MC123	dies	dy	HARD_D_T_ENTRY	H_FIELD_INTERIOR	OPEN_CH_ENTRY	R160_POSITIONAL_RULE	OPEN_CH_ENTRY	chey	NO	NO	LOCAL_REGISTERED_OVERRIDE_REMAINS	EXACT
