card_no	component_parse	invariant_card_reading_de	occurrences	records	pages	visible_surfaces	event_ids	cross_record	default_policy
PROC003	AR	von dort	2	H1|H2	f10r	char|dar	E003|E031	YES	ONE_CARD_ONE_WORKSHOP_READING
PROC008	OK+Y	ansetzen · dies	3	H1|H5	f10r|f56r	oky|choky	E008|E081|E085	YES	ONE_CARD_ONE_WORKSHOP_READING
PROC009	AIIN	Maß	9	H1|H2|H3|H4|H5	f10r|f11r|f55v|f56r	daiin|taiin|chaiin|aiin	E009|E022|E030|E051|E057|E061|E068|E077|E100	YES	ONE_CARD_ONE_WORKSHOP_READING
PROC011	OK+Y	ansetzen · dies	3	H1|H5	f10r|f56r	qokchy|okchy|chokchy	E011|E091|E095	YES	ONE_CARD_ONE_WORKSHOP_READING
PROC013	OL	fortsetzen	3	H1|H2	f10r	chol	E013|E027|E029	YES	ONE_CARD_ONE_WORKSHOP_READING
PROC014	CTH+Y	bereit · dies	3	H1|H2|H3	f10r|f11r	cthy	E014|E016|E054	YES	ONE_CARD_ONE_WORKSHOP_READING
PROC016	OR	Ansatz	5	H2|H4	f10r|f55v	chor|shor|or	E017|E025|E033|E034|E071	YES	ONE_CARD_ONE_WORKSHOP_READING
PROC019	Y	dies	9	H2|H3|H4	f10r|f11r|f55v	dy|chy|shy|y	E020|E021|E023|E035|E037|E048|E050|E055|E072	YES	ONE_CARD_ONE_WORKSHOP_READING
PROC020	OT+CH+OR	danach · abziehen · Ansatz	2	H2|H5	f10r|f56r	qotchor|otchor	E024|E080	YES	ONE_CARD_ONE_WORKSHOP_READING
PROC034	OL	fortsetzen	2	H3|H5	f11r|f56r	dchol|schol	E047|E083	YES	ONE_CARD_ONE_WORKSHOP_READING
