statement_id	page	record	loci	event_ids	surfaces	card_literal_de	fluent_working_reading_de	visible_owner_de	terminal	physical_line_is_sentence_boundary
H1-S001	f10r	H1	f10r.2	E001|E002|E003|E004|E005|E006|E007|E008|E009|E010	dchey cthoor char chty os chair otytchol oky daiin etyd	diesen Posten kurz abziehen; den bereiten Ansatz aktivieren; von dort nehmen; diesen Posten eintragen; das Arbeitsfach wählen; durch den Lauf abziehen; danach diesen Posten eintragen, abziehen und fortsetzen; diesen Posten ansetzen; das vorgeschriebene Maß setzen; diesen Posten kurz eintragen	Vom sichtbaren Wurzel-/Speicherposten kurz abziehen und den bereiten Ansatz aktivieren. Davon den Posten ins Arbeitsfach eintragen und durch den Lauf führen; danach weiter abziehen, nach Maß ansetzen und kurz eintragen.	sichtbarer Wurzel-/Speicherposten	NO	NO
H1-S002	f10r	H1	f10r.5	E011|E012|E013|E014	qokchy qotchol chol cthy	diesen Posten ansetzen; danach abziehen und fortsetzen; fortsetzen; diesen Posten bereit halten	Diesen Posten ansetzen, danach weiter abziehen und ihn bereit halten.	sichtbarer Wurzel-/Speicherposten	NO	NO
H2-S001	f10r	H2	f10r.6	E015|E016|E017|E018|E019|E020|E021|E022|E023	ycheor cthy chor cthaiin qoctholy dy chy taiin shy	diesen Posten kurz aus dem Ansatz abziehen; diesen Posten bereit halten; den Ansatz nehmen; das Bereitschaftsmaß setzen; diesen Arbeitsgang bereit fortsetzen; diesen Posten weiterführen; diesen Posten nehmen; das vorgeschriebene Maß setzen; diesen Posten an die Zielstelle bringen	Vom sichtbaren oberen Sprossposten kurz aus dem Ansatz abziehen und ihn bereit halten. Den Ansatz auf das Bereitschaftsmaß bringen, weiterführen, abmessen und an die Zielstelle geben.	sichtbarer oberer Sprossposten	NO	NO
H2-S002	f10r	H2	f10r.8	E024|E025|E026|E027|E028|E029|E030|E031	qotchor chor otol chol cholor chol daiin dar	danach aus dem Ansatz abziehen; den Ansatz nehmen; danach fortsetzen; fortsetzen; den Ansatz weiterführen; fortsetzen; das vorgeschriebene Maß setzen; von dort nehmen	Danach aus dem Ansatz abziehen, den Ansatz weiterführen, nach Maß davon nehmen.	sichtbarer oberer Sprossposten	NO	NO
H2-S003	f10r	H2	f10r.9	E032|E033|E034|E035|E036|E037|E038	oykchor shor chor chy kaiiin dy chodaiin	diesem Arbeitsgang den Ansatz zuführen; den Ansatz nehmen; den Ansatz nehmen; diesen Posten nehmen; bis zur Sollstufe zuführen; diesen Posten nehmen; das Arbeitsmaß abziehen	Den laufenden Posten dem Ansatz zuführen, ihn bis zur Sollstufe bringen und das Arbeitsmaß abziehen.	sichtbarer oberer Sprossposten	NO	NO
H3-S001	f11r	H3	f11r.1	E039|E040|E041|E042|E043|E044|E045	tshol schoal cfhy shfydaiin cphy shey tchody	Weiter unter Halten eintragen; an der Zielstelle in Arbeit halten; auswringen; diesen Posten nach Maß halten; hineinführen; Empfangsbestand nehmen; abziehen und schließen.	Die abgebildete Pflanze an der Arbeitsstelle weiter bearbeiten und auswringen. Den gewonnenen Posten für das vorgeschriebene Maß stehen lassen, in den Empfänger geben und den Empfangsbestand abziehen.	die abgebildete dichtkronige Pflanze	YES	NO
H3-S002	f11r	H3	f11r.1	E046	shoyty	Diesen Arbeitsposten halten.	Den abgezogenen Empfangsbestand zurückhalten.	die abgebildete dichtkronige Pflanze	NO	NO
H3-S003	f11r	H3	f11r.4	E047|E048|E049|E050|E051	dchol chy kchy dy daiin	Fortsetzen; diesen Posten zuführen; nach dem vorgeschriebenen Maß.	Davon die vorgeschriebene Menge weiter zuführen.	die abgebildete dichtkronige Pflanze	NO	NO
H3-S004	f11r	H3	f11r.7	E052|E053|E054|E055	qotchy okchol cthy dy	Danach diesen Posten; den Arbeitsgang weiter ansetzen; diesen Posten bereit halten.	Danach den laufenden Arbeitsgang fortsetzen und den Posten bis zur Bereitschaft halten.	die abgebildete dichtkronige Pflanze	NO	NO
H4-S001	f55v	H4	f55v.5	E056|E057|E058|E059|E060	qokaiin chaiin ykain ykan ody	Ein Maß für den Arbeitsgang setzen; das Maß nehmen; diesem Posten zwei aufeinanderfolgende Portionen zuführen; schließen.	Für die abgebildete Pflanze das vorgeschriebene Maß setzen, zwei Portionen zuführen und den Schritt schließen.	die abgebildete breitblättrige Pflanze	YES	NO
H4-S002	f55v	H4	f55v.5	E061|E062|E063	daiin chedy talam	Das vorgeschriebene Maß nehmen; diesen Posten umsetzen; verwahren.	Eine weitere Menge abmessen, den Posten umsetzen und verwahren.	die abgebildete breitblättrige Pflanze	NO	NO
H4-S003	f55v	H4	f55v.11	E064|E065|E066|E067	ykaiin cheoar cheeky oldy	Diesem Posten das vorgeschriebene Maß zuführen; kurz von dort abziehen; länger wärmen; fortsetzen und schließen.	Die vorgeschriebene Menge zuführen, kurz aus dem Arbeitsbestand abziehen, länger wärmen und den Schritt schließen.	die abgebildete breitblättrige Pflanze	YES	NO
H4-S004	f55v	H4	f55v.11	E068|E069|E070|E071|E072|E073	aiin okal oltchy or y orain	Das Maß nehmen; an der Zielstelle ansetzen; diesen Posten weiter eintragen; Ansatz; dieser Posten; Ansatzportion.	Nach Maß an der Zielstelle ansetzen, den Posten weiter eintragen und eine Portion des Ansatzes zuführen.	die abgebildete breitblättrige Pflanze	NO	NO
H5-S001	f56r	H5	f56r.5|f56r.7	E074|E075|E076|E077|E078|E079|E080|E081|E082	chochor cho chodaly daiin sho kchol otchor choky dal	Gabe aus Ansatz abziehen; Gabe an Zielstelle; Maß; weitere Gabe zuführen und fortsetzen; danach aus Ansatz abziehen; Posten ansetzen; Zielstelle.	Eine Gabe aus dem Ansatz nehmen und nach Maß an der Zielstelle ansetzen. Eine weitere Gabe zuführen; danach erneut aus dem Ansatz nehmen und an der Zielstelle ansetzen.	die abgebildete mehrköpfige Pflanze	NO	NO
H5-S002	f56r	H5	f56r.8	E083|E084|E085|E086	schol choy choky cheeckhody	Fortsetzen; diese Gabe; Posten ansetzen; länger durch den Durchlass führen; schließen.	Die Anwendung fortsetzen, diese Gabe ansetzen und den Posten länger durch den Durchlass führen; schließen.	die abgebildete mehrköpfige Pflanze	YES	NO
H5-S003	f56r	H5	f56r.12	E087|E088|E089|E090	sh cho kchey qokokchy	Halten; Gabe; kurz zuführen; erneut ansetzen.	Eine Gabe halten, kurz zuführen und am laufenden Posten erneut ansetzen.	die abgebildete mehrköpfige Pflanze	NO	NO
H5-S004	f56r	H5	f56r.13	E091|E092|E093	okchy chokcheo kchal	Posten ansetzen; Auszug ansetzen; zur Zielstelle zuführen.	Den laufenden Posten und den Auszug ansetzen, dann zur Zielstelle zuführen.	die abgebildete mehrköpfige Pflanze	NO	NO
H5-S005	f56r	H5	f56r.18	E094|E095|E096|E097	sho chokchy kchoar sotodan	Gabe; Posten ansetzen; Gabe von dort zuführen; danach Arbeitsportion.	Eine Gabe ansetzen, eine weitere Gabe aus derselben Quelle zuführen und danach eine Arbeitsportion nehmen.	die abgebildete mehrköpfige Pflanze	NO	NO
H5-S006	f56r	H5	f56r.19	E098|E099|E100	otchey keol daiin	Danach diesen Posten; kurz zuführen und fortsetzen; Maß.	Danach den Posten kurz weiter zuführen, nach dem vorgeschriebenen Maß.	die abgebildete mehrköpfige Pflanze	NO	NO
