event_id	page	record	statement_id	locus	surface	card_no	component_parse	invariant_card_reading_de	minimum_source_clause_de	visible_owner_de	primitive	terminal
E001	f10r	H1	H1-S001	f10r.2	dchey	PROC001	CH+E+Y	abziehen · kurz · dies	diesen Posten kurz abziehen	sichtbarer Wurzel-/Speicherposten	SOURCE_DRAW	NO
E002	f10r	H1	H1-S001	f10r.2	cthoor	PROC002	CTH+O+OR	bereit · Arbeitsgang · Ansatz	den bereiten Ansatz aktivieren	sichtbarer Wurzel-/Speicherposten	ACTIVATE_CHARGE	NO
E003	f10r	H1	H1-S001	f10r.2	char	PROC003	AR	von dort	von dort nehmen	sichtbarer Wurzel-/Speicherposten	SOURCE_DRAW	NO
E004	f10r	H1	H1-S001	f10r.2	chty	PROC004	T+Y	eintragen · dies	diesen Posten eintragen	sichtbarer Wurzel-/Speicherposten	ACTIVATE_CHARGE	NO
E005	f10r	H1	H1-S001	f10r.2	os	PROC005	OS	Arbeitsfach	das Arbeitsfach wählen	sichtbarer Wurzel-/Speicherposten	TARGET_HANDOFF	NO
E006	f10r	H1	H1-S001	f10r.2	chair	PROC006	CH+AIR	abziehen · Lauf	durch den Lauf abziehen	sichtbarer Wurzel-/Speicherposten	SOURCE_DRAW	NO
E007	f10r	H1	H1-S001	f10r.2	otytchol	PROC007	OT+Y+T+CH+OL	danach · dies · eintragen · abziehen · fortsetzen	danach diesen Posten eintragen, abziehen und fortsetzen	sichtbarer Wurzel-/Speicherposten	SOURCE_DRAW	NO
E008	f10r	H1	H1-S001	f10r.2	oky	PROC008	OK+Y	ansetzen · dies	diesen Posten ansetzen	sichtbarer Wurzel-/Speicherposten	CONTINUE_USE	NO
E009	f10r	H1	H1-S001	f10r.2	daiin	PROC009	AIIN	Maß	das vorgeschriebene Maß setzen	sichtbarer Wurzel-/Speicherposten	METER_CHECK	NO
E010	f10r	H1	H1-S001	f10r.2	etyd	PROC010	E+T+Y	kurz · eintragen · dies	diesen Posten kurz eintragen	sichtbarer Wurzel-/Speicherposten	ACTIVATE_CHARGE	NO
E011	f10r	H1	H1-S002	f10r.5	qokchy	PROC011	OK+Y	ansetzen · dies	diesen Posten ansetzen	sichtbarer Wurzel-/Speicherposten	ACTIVATE_CHARGE	NO
E012	f10r	H1	H1-S002	f10r.5	qotchol	PROC012	OT+CH+OL	danach · abziehen · fortsetzen	danach abziehen und fortsetzen	sichtbarer Wurzel-/Speicherposten	SOURCE_DRAW	NO
E013	f10r	H1	H1-S002	f10r.5	chol	PROC013	OL	fortsetzen	fortsetzen	sichtbarer Wurzel-/Speicherposten	CONTINUE_USE	NO
E014	f10r	H1	H1-S002	f10r.5	cthy	PROC014	CTH+Y	bereit · dies	diesen Posten bereit halten	sichtbarer Wurzel-/Speicherposten	HOLD_STATE	NO
E015	f10r	H2	H2-S001	f10r.6	ycheor	PROC015	Y+CH+E+OR	dies · abziehen · kurz · Ansatz	diesen Posten kurz aus dem Ansatz abziehen	sichtbarer oberer Sprossposten	SOURCE_DRAW	NO
E016	f10r	H2	H2-S001	f10r.6	cthy	PROC014	CTH+Y	bereit · dies	diesen Posten bereit halten	sichtbarer oberer Sprossposten	HOLD_STATE	NO
E017	f10r	H2	H2-S001	f10r.6	chor	PROC016	OR	Ansatz	den Ansatz nehmen	sichtbarer oberer Sprossposten	ACTIVATE_CHARGE	NO
E018	f10r	H2	H2-S001	f10r.6	cthaiin	PROC017	CTH+AIIN	bereit · Maß	das Bereitschaftsmaß setzen	sichtbarer oberer Sprossposten	METER_CHECK	NO
E019	f10r	H2	H2-S001	f10r.6	qoctholy	PROC018	O+CTH+OL+Y	Arbeitsgang · bereit · fortsetzen · dies	diesen Arbeitsgang bereit fortsetzen	sichtbarer oberer Sprossposten	CONTINUE_USE	NO
E020	f10r	H2	H2-S001	f10r.6	dy	PROC019	Y	dies	diesen Posten weiterführen	sichtbarer oberer Sprossposten	MOVE_PASS	NO
E021	f10r	H2	H2-S001	f10r.6	chy	PROC019	Y	dies	diesen Posten nehmen	sichtbarer oberer Sprossposten	CONTINUE_USE	NO
E022	f10r	H2	H2-S001	f10r.6	taiin	PROC009	AIIN	Maß	das vorgeschriebene Maß setzen	sichtbarer oberer Sprossposten	METER_CHECK	NO
E023	f10r	H2	H2-S001	f10r.6	shy	PROC019	Y	dies	diesen Posten an die Zielstelle bringen	sichtbarer oberer Sprossposten	TARGET_HANDOFF	NO
E024	f10r	H2	H2-S002	f10r.8	qotchor	PROC020	OT+CH+OR	danach · abziehen · Ansatz	danach aus dem Ansatz abziehen	sichtbarer oberer Sprossposten	ACTIVATE_CHARGE	NO
E025	f10r	H2	H2-S002	f10r.8	chor	PROC016	OR	Ansatz	den Ansatz nehmen	sichtbarer oberer Sprossposten	ACTIVATE_CHARGE	NO
E026	f10r	H2	H2-S002	f10r.8	otol	PROC021	OT+OL	danach · fortsetzen	danach fortsetzen	sichtbarer oberer Sprossposten	CONTINUE_USE	NO
E027	f10r	H2	H2-S002	f10r.8	chol	PROC013	OL	fortsetzen	fortsetzen	sichtbarer oberer Sprossposten	CONTINUE_USE	NO
E028	f10r	H2	H2-S002	f10r.8	cholor	PROC022	OL+OR	fortsetzen · Ansatz	den Ansatz weiterführen	sichtbarer oberer Sprossposten	ACTIVATE_CHARGE	NO
E029	f10r	H2	H2-S002	f10r.8	chol	PROC013	OL	fortsetzen	fortsetzen	sichtbarer oberer Sprossposten	CONTINUE_USE	NO
E030	f10r	H2	H2-S002	f10r.8	daiin	PROC009	AIIN	Maß	das vorgeschriebene Maß setzen	sichtbarer oberer Sprossposten	METER_CHECK	NO
E031	f10r	H2	H2-S002	f10r.8	dar	PROC003	AR	von dort	von dort nehmen	sichtbarer oberer Sprossposten	SOURCE_DRAW	NO
