page	physical_folio	annotation_rows	relation_rows	positive_relation_rows	channels	review_scope	formal_access_state
f100r	f100	130	56	4	CONTACT_GAP;HUMAN_OBJECT_FIGURE;HUMAN_OBJECT_PLANT;HUMAN_OBJECT_STAR_OR_SKY;HUMAN_OBJECT_WATER_OR_APPARATUS;HUMAN_REL_ARRAY_GROUP;HUMAN_REL_ATTACHMENT;HUMAN_REL_CONTACT;HUMAN_REL_ENCLOSURE	COMPLETE_PAGE_CONNECTOR_CENSUS	SEALED
f100v	f100	108	52	0	CONTACT_GAP;HUMAN_OBJECT_FIGURE;HUMAN_OBJECT_PLANT;HUMAN_OBJECT_STAR_OR_SKY;HUMAN_OBJECT_WATER_OR_APPARATUS;HUMAN_REL_ARRAY_GROUP;HUMAN_REL_ATTACHMENT;HUMAN_REL_CONTACT;HUMAN_REL_ENCLOSURE	COMPLETE_PAGE_CONNECTOR_CENSUS	SEALED
f102r1	f102	16	8	0	HUMAN_OBJECT_FIGURE;HUMAN_OBJECT_PLANT;HUMAN_OBJECT_STAR_OR_SKY;HUMAN_OBJECT_WATER_OR_APPARATUS;HUMAN_REL_ARRAY_GROUP;HUMAN_REL_ATTACHMENT;HUMAN_REL_CONTACT;HUMAN_REL_ENCLOSURE	COMPLETE_PAGE_CONNECTOR_CENSUS	SEALED
f102r2	f102	16	8	0	HUMAN_OBJECT_FIGURE;HUMAN_OBJECT_PLANT;HUMAN_OBJECT_STAR_OR_SKY;HUMAN_OBJECT_WATER_OR_APPARATUS;HUMAN_REL_ARRAY_GROUP;HUMAN_REL_ATTACHMENT;HUMAN_REL_CONTACT;HUMAN_REL_ENCLOSURE	COMPLETE_PAGE_CONNECTOR_CENSUS	SEALED
f102v1	f102	64	32	0	HUMAN_OBJECT_FIGURE;HUMAN_OBJECT_PLANT;HUMAN_OBJECT_STAR_OR_SKY;HUMAN_OBJECT_WATER_OR_APPARATUS;HUMAN_REL_ARRAY_GROUP;HUMAN_REL_ATTACHMENT;HUMAN_REL_CONTACT;HUMAN_REL_ENCLOSURE	COMPLETE_PAGE_CONNECTOR_CENSUS	SEALED
f102v2	f102	142	70	2	HUMAN_OBJECT_FIGURE;HUMAN_OBJECT_PLANT;HUMAN_OBJECT_STAR_OR_SKY;HUMAN_OBJECT_WATER_OR_APPARATUS;HUMAN_REL_ARRAY_GROUP;HUMAN_REL_ATTACHMENT;HUMAN_REL_CONTACT;HUMAN_REL_ENCLOSURE	COMPLETE_PAGE_CONNECTOR_CENSUS	SEALED
f39v	f39	4	0	0	HUMAN_OBJECT_FIGURE;HUMAN_OBJECT_PLANT;HUMAN_OBJECT_STAR_OR_SKY;HUMAN_OBJECT_WATER_OR_APPARATUS	COMPLETE_PAGE_CONNECTOR_CENSUS	SEALED
f3v	f3	8	4	0	HUMAN_OBJECT_FIGURE;HUMAN_OBJECT_PLANT;HUMAN_OBJECT_STAR_OR_SKY;HUMAN_OBJECT_WATER_OR_APPARATUS;HUMAN_REL_ARRAY_GROUP;HUMAN_REL_ATTACHMENT;HUMAN_REL_CONTACT;HUMAN_REL_ENCLOSURE	COMPLETE_PAGE_CONNECTOR_CENSUS	SEALED
f40v	f40	4	0	0	HUMAN_OBJECT_FIGURE;HUMAN_OBJECT_PLANT;HUMAN_OBJECT_STAR_OR_SKY;HUMAN_OBJECT_WATER_OR_APPARATUS	COMPLETE_PAGE_CONNECTOR_CENSUS	SEALED
f42r	f42	4	0	0	HUMAN_OBJECT_FIGURE;HUMAN_OBJECT_PLANT;HUMAN_OBJECT_STAR_OR_SKY;HUMAN_OBJECT_WATER_OR_APPARATUS	COMPLETE_PAGE_CONNECTOR_CENSUS	SEALED
