old_teaching_unit_id	new_teaching_unit_id	surface	component_recipe	root_sum_default_de	old_specialist_headword_de	contextual_expansions_de	occurrences	pages	event_ids	new_status	scribe_instruction_de
L001	C-L001-01	torshor	T+OR+SH+OR	STELLEN · ANSATZ · HALTEN · ANSATZ	WURZELKRONE	Artikelkopf: die große sichtbare Speicherwurzel/Krone aktivieren.	1	f13r	P912-E0152	ROOTED_CONTEXTUAL_COMPOSITION__NO_NEW_PORTABLE_WORD	Wurzeln lesen; Bildbesitzer und lokales Exemplar liefern erst danach die konkrete Sache oder Fachhandlung.
L002	C-L002-01	dchg	D_ADDR+CH+LOCAL_CHAR_G	TEIL · NEHMEN · EINMAL	BRUTKNÖLLCHEN	Einen der kleinen sichtbaren Rundkörper am Wurzelhals abnehmen.	1	f13r	P912-E0160	ROOTED_CONTEXTUAL_COMPOSITION__NO_NEW_PORTABLE_WORD	Wurzeln lesen; Bildbesitzer und lokales Exemplar liefern erst danach die konkrete Sache oder Fachhandlung.
L003	C-L003-01	tshy	T+Y	STELLEN · POSTEN	BLÜTENANTEIL	Den Anteil aus dem endständigen Blütenstand wählen.	1	f13r	P912-E0188	ROOTED_CONTEXTUAL_COMPOSITION__NO_NEW_PORTABLE_WORD	Wurzeln lesen; Bildbesitzer und lokales Exemplar liefern erst danach die konkrete Sache oder Fachhandlung.
L004	C-L004-01	cfholdy	CFH+OL+DY	TRENNEN · FORTSETZEN · SCHLUSS	AUSPRESSEN	Den ersten Ansatz weiter auspressen und den Teilgang schließen.	1	f13r	P912-E0193	ROOTED_CONTEXTUAL_COMPOSITION__NO_NEW_PORTABLE_WORD	Wurzeln lesen; Bildbesitzer und lokales Exemplar liefern erst danach die konkrete Sache oder Fachhandlung.
L005	C-L005-01	shochy	HO+Y	TEILSTOFF · POSTEN	BLATTANTEIL	Einen Anteil aus der breiten Blattkrone nehmen.	1	f13r	P912-E0212	ROOTED_CONTEXTUAL_COMPOSITION__NO_NEW_PORTABLE_WORD	Wurzeln lesen; Bildbesitzer und lokales Exemplar liefern erst danach die konkrete Sache oder Fachhandlung.
W001	C-W001-01	chary	AR+Y	QUELLE · POSTEN	ABKÜHLEN	abkühlen	1	f83r	P912-E1475	ROOTED_CONTEXTUAL_COMPOSITION__NO_NEW_PORTABLE_WORD	Wurzeln lesen; Bildbesitzer und lokales Exemplar liefern erst danach die konkrete Sache oder Fachhandlung.
W001	C-W001-02	ral	R+AL	MERKEN · ZIEL	ABKÜHLEN	abkühlen	1	f81v	P912-E1018	ROOTED_CONTEXTUAL_COMPOSITION__NO_NEW_PORTABLE_WORD	Wurzeln lesen; Bildbesitzer und lokales Exemplar liefern erst danach die konkrete Sache oder Fachhandlung.
W002	C-W002-01	lar	L+AR	LEITEN · QUELLE	ABLAUF	Bodenablauf	2	f82r	P912-E1302|P912-E1320	ROOTED_CONTEXTUAL_COMPOSITION__NO_NEW_PORTABLE_WORD	Wurzeln lesen; Bildbesitzer und lokales Exemplar liefern erst danach die konkrete Sache oder Fachhandlung.
W002	C-W002-02	lo	L+O	LEITEN · AUSFÜHREN	ABLAUF	Bodenablauf	2	f83r	P912-E1450|P912-E1507	ROOTED_CONTEXTUAL_COMPOSITION__NO_NEW_PORTABLE_WORD	Wurzeln lesen; Bildbesitzer und lokales Exemplar liefern erst danach die konkrete Sache oder Fachhandlung.
W002	C-W002-03	sheey	SH+EE+Y	HALTEN · LÄNGER · POSTEN	ABLAUF	Ablauf	1	f83r	P912-E1642	ROOTED_CONTEXTUAL_COMPOSITION__NO_NEW_PORTABLE_WORD	Wurzeln lesen; Bildbesitzer und lokales Exemplar liefern erst danach die konkrete Sache oder Fachhandlung.
